Seed,Vehicle ID,Visit Number,Station ID,Time (minutes),Day,Hour,Minute,Time Since Previous Visit (minutes)
1,V0,1,S0,420,0,7,0,0.0
1,V0,2,S21,439.35,0,7,19,19.35
1,V0,3,S0,448.7,0,7,28,9.35
1,V0,4,S21,473.05,0,7,53,24.35
1,V0,5,S8,478.98,0,7,58,5.92
1,V0,6,S8,506.98,0,8,26,28.0
1,V0,7,S21,523.63,0,8,43,16.65
1,V0,8,S8,534.55,0,8,54,10.92
1,V0,9,S8,562.55,0,9,22,28.0
1,V0,10,S8,585.55,0,9,45,23.0
1,V0,11,S21,606.48,0,10,6,20.92
1,V0,12,S42,612.89,0,10,12,6.41
1,V0,13,S35,617.2,0,10,17,4.31
1,V0,14,S35,645.2,0,10,45,28.0
1,V0,15,S57,648.92,0,10,48,3.73
1,V0,16,S57,676.92,0,11,16,28.0
1,V0,17,S57,704.92,0,11,44,28.0
1,V0,18,S57,732.92,0,12,12,28.0
1,V0,19,S57,760.92,0,12,40,28.0
1,V0,20,S57,788.92,0,13,8,28.0
1,V0,21,S35,793.15,0,13,13,4.23
1,V0,22,S35,821.15,0,13,41,28.0
1,V0,23,S29,836.09,0,13,56,14.95
1,V0,24,S10,844.75,0,14,4,8.66
1,V0,25,S54,853.97,0,14,13,9.21
1,V0,26,S54,881.97,0,14,41,28.0
1,V0,27,S55,890.92,0,14,50,8.95
1,V0,28,S55,918.92,0,15,18,28.0
1,V0,29,S3,941.04,0,15,41,22.12
1,V0,30,S55,950.66,0,15,50,9.62
1,V0,31,S55,978.66,0,16,18,28.0
1,V0,32,S62,990.37,0,16,30,11.72
1,V0,33,S40,995.61,0,16,35,5.23
1,V0,34,S40,1023.61,0,17,3,28.0
1,V0,35,S40,1051.61,0,17,31,28.0
1,V0,36,S62,1059.11,0,17,39,7.5
1,V0,37,S62,1087.11,0,18,7,28.0
1,V0,38,S62,1115.11,0,18,35,28.0
1,V0,39,S33,1125.03,0,18,45,9.92
1,V0,40,S33,1153.03,0,19,13,28.0
1,V0,41,S33,1180.03,0,19,40,27.0
1,V0,42,S33,1208.03,0,20,8,28.0
1,V0,43,S33,1236.03,0,20,36,28.0
1,V0,44,S33,1264.03,0,21,4,28.0
1,V0,45,S33,1292.03,0,21,32,28.0
1,V0,46,S33,1320.03,0,22,0,28.0
1,V0,47,S33,1343.03,0,22,23,23.0
1,V0,48,S33,1366.03,0,22,46,23.0
1,V0,49,S33,1861.03,1,7,1,495.0
1,V0,50,S33,1889.03,1,7,29,28.0
1,V0,51,S62,1902.03,1,7,42,13.0
1,V0,52,S45,1911.8,1,7,51,9.77
1,V0,53,S45,1939.8,1,8,19,28.0
1,V0,54,S45,1967.8,1,8,47,28.0
1,V0,55,S45,1990.8,1,9,10,23.0
1,V0,56,S54,1996.5,1,9,16,5.7
1,V0,57,S54,2024.5,1,9,44,28.0
1,V0,58,S54,2051.5,1,10,11,27.0
1,V0,59,S54,2079.5,1,10,39,28.0
1,V0,60,S54,2107.5,1,11,7,28.0
1,V0,61,S56,2112.2,1,11,12,4.7
1,V0,62,S56,2140.2,1,11,40,28.0
1,V0,63,S56,2166.2,1,12,6,26.0
1,V0,64,S55,2173.74,1,12,13,7.53
1,V0,65,S55,2200.74,1,12,40,27.0
1,V0,66,S54,2209.68,1,12,49,8.95
1,V0,67,S54,2237.68,1,13,17,28.0
1,V0,68,S55,2246.63,1,13,26,8.95
1,V0,69,S55,2274.63,1,13,54,28.0
1,V0,70,S32,2280.3,1,14,0,5.67
1,V0,71,S32,2306.3,1,14,26,26.0
1,V0,72,S32,2334.3,1,14,54,27.99
1,V0,73,S56,2347.3,1,15,7,13.0
1,V0,74,S55,2351.83,1,15,11,4.53
1,V0,75,S55,2379.83,1,15,39,28.0
1,V0,76,S55,2406.83,1,16,6,27.0
1,V0,77,S55,2433.83,1,16,33,27.0
1,V0,78,S54,2446.33,1,16,46,12.5
1,V0,79,S56,2462.53,1,17,2,16.2
1,V0,80,S56,2490.53,1,17,30,28.0
1,V0,81,S55,2494.57,1,17,34,4.03
1,V0,82,S55,2522.57,1,18,2,28.0
1,V0,83,S54,2526.52,1,18,6,3.95
1,V0,84,S54,2554.52,1,18,34,28.0
1,V0,85,S53,2560.48,1,18,40,5.96
1,V0,86,S53,2588.48,1,19,8,28.0
1,V0,87,S53,2616.48,1,19,36,28.0
1,V0,88,S53,2644.48,1,20,4,28.0
1,V0,89,S53,2672.48,1,20,32,28.0
1,V0,90,S53,2698.48,1,20,58,26.0
1,V0,91,S53,2726.48,1,21,26,28.0
1,V0,92,S63,2740.96,1,21,40,14.49
1,V0,93,S63,2768.96,1,22,8,28.0
1,V0,94,S63,2796.96,1,22,36,28.0
1,V0,95,S63,3301.96,2,7,1,505.0
1,V0,96,S63,3329.96,2,7,29,28.0
1,V0,97,S62,3335.92,2,7,35,5.96
1,V0,98,S33,3341.85,2,7,41,5.92
1,V0,99,S33,3369.85,2,8,9,28.0
1,V0,100,S52,3374.08,2,8,14,4.23
1,V0,101,S52,3402.08,2,8,42,28.0
1,V0,102,S52,3430.08,2,9,10,28.0
1,V0,103,S52,3458.08,2,9,38,28.0
1,V0,104,S62,3462.63,2,9,42,4.55
1,V0,105,S10,3473.82,2,9,53,11.18
1,V0,106,S10,3501.82,2,10,21,28.0
1,V0,107,S45,3513.48,2,10,33,11.67
1,V0,108,S16,3518.32,2,10,38,4.84
1,V0,109,S44,3522.06,2,10,42,3.73
1,V0,110,S44,3550.06,2,11,10,28.0
1,V0,111,S44,3573.06,2,11,33,23.0
1,V0,112,S63,3581.52,2,11,41,8.47
1,V0,113,S53,3599.52,2,11,59,18.0
1,V0,114,S53,3626.52,2,12,26,27.0
1,V0,115,S53,3654.52,2,12,54,28.0
1,V0,116,S46,3659.9,2,12,59,5.37
1,V0,117,S53,3670.77,2,13,10,10.87
1,V0,118,S36,3681.68,2,13,21,10.92
1,V0,119,S51,3687.8,2,13,27,6.11
1,V0,120,S48,3700.8,2,13,40,13.0
1,V0,121,S51,3709.64,2,13,49,8.84
1,V0,122,S46,3715.78,2,13,55,6.14
1,V0,123,S53,3721.2,2,14,1,5.42
1,V0,124,S45,3724.75,2,14,4,3.56
1,V0,125,S63,3728.92,2,14,8,4.16
1,V0,126,S63,3754.92,2,14,34,26.0
1,V0,127,S44,3763.38,2,14,43,8.47
1,V0,128,S63,3771.85,2,14,51,8.47
1,V0,129,S43,3775.99,2,14,55,4.14
1,V0,130,S43,3803.99,2,15,23,28.0
1,V0,131,S16,3807.56,2,15,27,3.58
1,V0,132,S44,3815.56,2,15,35,8.0
1,V0,133,S44,3843.56,2,16,3,28.0
1,V0,134,S16,3846.8,2,16,6,3.23
1,V0,135,S44,3855.03,2,16,15,8.23
1,V0,136,S44,3878.03,2,16,38,23.0
1,V0,137,S44,3901.03,2,17,1,23.0
1,V0,138,S16,3904.76,2,17,4,3.73
1,V0,139,S16,3932.76,2,17,32,28.0
1,V0,140,S60,3944.95,2,17,44,12.19
1,V0,141,S60,3972.95,2,18,12,28.0
1,V0,142,S60,4000.95,2,18,40,28.0
1,V0,143,S60,4028.95,2,19,8,28.0
1,V0,144,S60,4056.95,2,19,36,28.0
1,V0,145,S60,4084.95,2,20,4,28.0
1,V0,146,S60,4112.95,2,20,32,28.0
1,V0,147,S60,4140.95,2,21,0,28.0
1,V0,148,S60,4168.95,2,21,28,28.0
1,V0,149,S60,4196.95,2,21,56,28.0
1,V0,150,S18,4201.41,2,22,1,4.46
1,V0,151,S18,4229.41,2,22,29,28.0
1,V0,152,S18,4252.41,2,22,52,23.0
1,V0,153,S18,4742.41,3,7,2,490.0
1,V0,154,S61,4750.91,3,7,10,8.5
1,V0,155,S27,4761.19,3,7,21,10.28
1,V0,156,S61,4781.47,3,7,41,20.28
1,V0,157,S61,4804.47,3,8,4,23.0
1,V0,158,S4,4808.84,3,8,8,4.37
1,V0,159,S4,4836.84,3,8,36,28.0
1,V0,160,S4,4863.84,3,9,3,27.0
1,V0,161,S4,4891.84,3,9,31,28.0
1,V0,162,S60,4901.95,3,9,41,10.11
1,V0,163,S47,4907.14,3,9,47,5.18
1,V0,164,S47,4935.14,3,10,15,28.0
1,V0,165,S47,4963.14,3,10,43,28.0
1,V0,166,S47,4990.14,3,11,10,27.0
1,V0,167,S47,5018.14,3,11,38,28.0
1,V0,168,S47,5041.14,3,12,1,23.0
1,V0,169,S64,5047.66,3,12,7,6.53
1,V0,170,S64,5074.66,3,12,34,27.0
1,V0,171,S18,5083.18,3,12,43,8.52
1,V0,172,S64,5086.71,3,12,46,3.52
1,V0,173,S64,5112.21,3,13,12,25.5
1,V0,174,S60,5116.16,3,13,16,3.95
1,V0,175,S60,5144.16,3,13,44,28.0
1,V0,176,S59,5149.31,3,13,49,5.15
1,V0,177,S59,5176.31,3,14,16,27.0
1,V0,178,S59,5204.31,3,14,44,28.0
1,V0,179,S59,5232.31,3,15,12,28.0
1,V0,180,S18,5237.24,3,15,17,4.93
1,V0,181,S64,5245.76,3,15,25,8.52
1,V0,182,S60,5250.22,3,15,30,4.45
1,V0,183,S60,5278.22,3,15,58,28.0
1,V0,184,S60,5306.22,3,16,26,28.0
1,V0,185,S41,5310.08,3,16,30,3.87
1,V0,186,S41,5338.08,3,16,58,28.0
1,V0,187,S41,5366.08,3,17,26,28.0
1,V0,188,S41,5394.08,3,17,54,28.0
1,V0,189,S61,5399.32,3,17,59,5.24
1,V0,190,S59,5405.17,3,18,5,5.85
1,V0,191,S59,5433.17,3,18,33,28.0
1,V0,192,S49,5447.85,3,18,47,14.68
1,V0,193,S49,5475.85,3,19,15,28.0
1,V0,194,S49,5495.35,3,19,35,19.5
1,V0,195,S39,5505.19,3,19,45,9.84
1,V0,196,S37,5511.74,3,19,51,6.55
1,V0,197,S58,5515.95,3,19,55,4.21
1,V0,198,S58,5542.95,3,20,22,27.0
1,V0,199,S58,5569.95,3,20,49,27.0
1,V0,200,S58,5596.95,3,21,16,27.0
1,V0,201,S58,5624.95,3,21,44,28.0
1,V0,202,S58,5652.95,3,22,12,28.0
1,V0,203,S58,5680.95,3,22,40,28.0
1,V0,204,S58,6182.95,4,7,2,502.0
1,V0,205,S60,6189.0,4,7,9,6.05
1,V0,206,S60,6215.0,4,7,35,26.0
1,V0,207,S60,6243.0,4,8,3,28.0
1,V0,208,S59,6248.16,4,8,8,5.15
1,V0,209,S60,6254.31,4,8,14,6.15
1,V0,210,S60,6275.31,4,8,35,21.0
1,V0,211,S41,6279.68,4,8,39,4.37
1,V0,212,S41,6306.68,4,9,6,27.0
1,V0,213,S41,6334.68,4,9,34,28.0
1,V0,214,S60,6339.04,4,9,39,4.37
1,V0,215,S60,6366.04,4,10,6,27.0
1,V0,216,S60,6392.04,4,10,32,26.0
1,V0,217,S60,6420.04,4,11,0,28.0
1,V0,218,S30,6424.82,4,11,4,4.77
1,V0,219,S30,6451.82,4,11,31,27.0
1,V0,220,S41,6465.74,4,11,45,13.92
1,V0,221,S60,6474.6,4,11,54,8.87
1,V0,222,S30,6494.37,4,12,14,19.77
1,V0,223,S47,6501.06,4,12,21,6.68
1,V0,224,S47,6529.06,4,12,49,28.0
1,V0,225,S47,6552.56,4,13,12,23.5
1,V0,226,S41,6562.01,4,13,22,9.45
1,V0,227,S41,6587.01,4,13,47,25.0
1,V0,228,S41,6615.01,4,14,15,28.0
1,V0,229,S41,6642.01,4,14,42,27.0
1,V0,230,S41,6666.51,4,15,6,24.5
1,V0,231,S60,6670.87,4,15,10,4.37
1,V0,232,S60,6698.87,4,15,38,28.0
1,V0,233,S33,6706.07,4,15,46,7.2
1,V0,234,S63,6713.62,4,15,53,7.55
1,V0,235,S63,6741.62,4,16,21,28.0
1,V0,236,S44,6745.09,4,16,25,3.47
1,V0,237,S44,6773.09,4,16,53,28.0
1,V0,238,S59,6783.91,4,17,3,10.83
1,V0,239,S59,6811.91,4,17,31,28.0
1,V0,240,S59,6839.91,4,17,59,28.0
1,V0,241,S59,6867.91,4,18,27,28.0
1,V0,242,S59,6895.91,4,18,55,28.0
1,V0,243,S18,6899.84,4,18,59,3.93
1,V0,244,S18,6927.84,4,19,27,28.0
1,V0,245,S33,6933.62,4,19,33,5.77
1,V0,246,S52,6939.85,4,19,39,6.23
1,V0,247,S52,6967.85,4,20,7,28.0
1,V0,248,S52,6995.85,4,20,35,28.0
1,V0,249,S33,6999.58,4,20,39,3.73
1,V0,250,S58,7007.16,4,20,47,7.58
1,V0,251,S58,7035.16,4,21,15,28.0
1,V0,252,S59,7044.36,4,21,24,9.19
1,V0,253,S18,7048.79,4,21,28,4.43
1,V0,254,S66,7056.29,4,21,36,7.5
1,V0,255,S66,7084.29,4,22,4,28.0
1,V0,256,S66,7112.29,4,22,32,28.0
