Seed,Day,Hour,Time (minutes),Starvations,Bike Starvations,Long Congestions,Short Congestions,Maintenance Violations,Maintenance Starvations,Bike Pickups,Bike Deliveries,Maintenance Time (minutes),Avg Bike Criticality
1,0,7,420,0,0,0,0,0,0,0,0,0.0,0.4354
1,0,8,480,1,1,0,0,1,0,0,0,0,0.4407
1,0,9,540,0,0,0,0,2,0,0,0,0,0.4491
1,0,10,600,0,0,0,0,1,0,0,0,0,0.46
1,0,11,660,1,0,0,0,4,1,0,0,0,0.4718
1,0,12,720,0,0,1,5,2,0,0,0,0,0.4823
1,0,13,780,6,6,8,2,4,0,0,0,0,0.5011
1,0,14,840,0,0,0,9,7,0,0,0,0,0.5187
1,0,15,900,31,4,10,5,5,27,0,0,0,0.5393
1,0,16,960,12,0,6,4,6,12,0,0,0,0.5589
1,0,17,1020,27,6,0,5,5,21,0,0,0,0.5721
1,0,18,1080,12,2,5,0,5,10,0,0,0,0.58
1,0,19,1140,6,0,10,2,4,6,0,0,0,0.5907
1,0,20,1200,0,0,7,0,5,0,0,0,0,0.5976
1,0,21,1260,5,0,4,4,3,5,0,0,0,0.6062
1,0,22,1320,0,0,2,3,2,0,0,0,0,0.6115
1,0,23,1380,0,0,1,0,1,0,0,0,0,0.6137
1,1,24,1440,0,0,0,0,0,0,0,0,0,0.6137
1,1,1,1500,0,0,0,0,0,0,0,0,0,0.6137
1,1,2,1560,0,0,0,0,0,0,0,0,0,0.6137
1,1,3,1620,0,0,0,0,0,0,0,0,0,0.6137
1,1,4,1680,0,0,0,0,0,0,0,0,0,0.6137
1,1,5,1740,0,0,0,0,0,0,0,0,0,0.6143
1,1,6,1800,7,0,5,12,6,7,0,0,0,0.6258
1,1,7,1860,12,0,3,6,11,12,0,0,0,0.6418
1,1,8,1920,3,0,8,12,4,3,0,0,0,0.652
1,1,9,1980,5,1,6,6,4,4,0,0,0,0.6588
1,1,10,2040,12,0,3,13,5,12,0,0,0,0.6701
1,1,11,2100,12,0,1,3,3,12,0,0,0,0.6798
1,1,12,2160,10,0,0,5,6,10,0,0,0,0.6884
1,1,13,2220,6,0,1,3,6,6,0,0,0,0.7014
1,1,14,2280,10,0,2,4,12,10,0,0,0,0.7188
1,1,15,2340,30,0,2,5,13,30,0,0,0,0.7378
1,1,16,2400,18,2,1,3,11,16,0,0,0,0.7509
1,1,17,2460,5,0,0,2,12,5,0,0,0,0.7611
1,1,18,2520,15,0,1,1,9,15,0,0,0,0.7721
1,1,19,2580,6,0,1,0,10,6,0,0,0,0.7837
1,1,20,2640,15,0,0,1,8,15,0,0,0,0.7915
1,1,21,2700,4,0,0,1,9,4,0,0,0,0.797
1,1,22,2760,4,0,2,6,4,4,0,0,0,0.8006
1,1,23,2820,0,0,0,0,0,0,0,0,0,0.8014
1,2,24,2880,0,0,0,0,0,0,0,0,0,0.8014
1,2,1,2940,0,0,0,0,0,0,0,0,0,0.8014
1,2,2,3000,0,0,0,0,0,0,0,0,0,0.8014
1,2,3,3060,0,0,0,0,0,0,0,0,0,0.8014
1,2,4,3120,0,0,0,0,0,0,0,0,0,0.8014
1,2,5,3180,4,0,0,0,1,4,0,0,0,0.8025
1,2,6,3240,17,0,1,3,14,17,0,0,0,0.8105
1,2,7,3300,24,0,0,1,9,24,0,0,0,0.8197
1,2,7,3300,0,0,0,0,0,0,0,0,0,0.8197
