Seed,Day,Hour,Time (minutes),Starvations,Bike Starvations,Long Congestions,Short Congestions,Maintenance Violations,Maintenance Starvations,Bike Pickups,Bike Deliveries,Maintenance Time (minutes),Avg Bike Criticality
1,0,7,420,0,0,0,0,0,0,0,0,0.0,0.4443
1,0,8,480,1,0,0,0,2,1,0,0,0,0.4514
1,0,9,540,2,2,0,0,3,0,0,0,0,0.4629
1,0,10,600,0,0,0,9,2,0,0,0,0,0.4718
1,0,11,660,2,2,0,11,4,0,0,0,0,0.4816
1,0,12,720,11,11,0,5,8,0,0,0,0,0.4957
1,0,13,780,9,5,2,1,5,4,0,0,0,0.5088
1,0,14,840,21,14,6,21,6,7,0,0,0,0.5212
1,0,15,900,97,51,22,25,12,46,0,0,0,0.5451
1,0,16,960,31,17,12,15,15,14,0,0,0,0.5629
1,0,17,1020,29,7,8,16,14,22,0,0,0,0.5771
1,0,18,1080,14,3,9,12,7,11,0,0,0,0.5879
1,0,19,1140,8,1,23,9,10,7,0,0,0,0.5978
1,0,20,1200,12,0,9,4,7,12,0,0,0,0.6057
1,0,21,1260,4,0,11,2,6,4,0,0,0,0.6123
1,0,22,1320,5,2,11,1,3,3,0,0,0,0.6153
1,0,23,1380,0,0,0,0,2,0,0,0,0,0.6159
1,1,24,1440,0,0,0,0,1,0,0,0,0,0.6167
1,1,1,1500,0,0,0,0,0,0,0,0,0,0.6167
1,1,2,1560,0,0,0,0,0,0,0,0,0,0.6167
1,1,3,1620,0,0,0,0,0,0,0,0,0,0.6167
1,1,4,1680,0,0,0,0,0,0,0,0,0,0.6167
1,1,5,1740,3,1,0,0,2,2,0,0,0,0.6182
1,1,6,1800,7,0,8,7,9,7,0,0,0,0.6283
1,1,7,1860,21,2,9,12,8,19,0,0,0,0.6431
1,1,8,1920,8,2,12,30,10,6,0,0,0,0.6534
1,1,9,1980,9,1,3,15,6,8,0,0,0,0.6604
1,1,10,2040,23,0,4,11,8,23,0,0,0,0.6674
1,1,11,2100,23,1,3,9,6,22,0,0,0,0.6756
1,1,12,2160,9,3,5,11,16,6,0,0,0,0.6861
1,1,13,2220,38,2,10,15,14,36,0,0,0,0.6989
