Seed,Day,Hour,Time (minutes),Starvations,Bike Starvations,Long Congestions,Short Congestions,Maintenance Violations,Maintenance Starvations,Bike Pickups,Bike Deliveries,Maintenance Time (minutes),Avg Bike Criticality
1,0,7,420,0,0,0,0,0,0,0,0,0.0,0.4443
1,0,8,480,0,0,0,0,0,0,0,0,48.65,0.4396
1,0,9,540,0,0,0,0,0,0,17,1,34.5,0.4344
1,0,10,600,2,1,0,2,0,1,9,20,12.83,0.4318
1,0,11,660,0,0,0,0,0,0,17,13,31.67,0.4273
1,0,12,720,0,0,2,0,0,0,23,16,0.0,0.4273
1,0,13,780,6,4,4,0,0,2,16,32,1.22,0.4274
1,0,14,840,4,4,1,1,0,0,27,12,10.71,0.4257
1,0,15,900,44,44,8,13,0,0,24,19,14.08,0.4243
1,0,16,960,18,17,11,9,0,1,0,20,21.45,0.4225
1,0,17,1020,27,27,21,14,0,0,24,20,4.69,0.4218
1,0,18,1080,5,5,4,1,0,0,7,11,28.5,0.4168
1,0,19,1140,0,0,4,2,0,0,23,11,40.78,0.4101
1,0,20,1200,3,3,12,3,0,0,8,11,24.05,0.4066
1,0,21,1260,1,1,0,2,0,0,15,9,21.0,0.4046
1,0,22,1320,1,0,4,3,0,1,12,10,31.46,0.3999
1,0,23,1380,0,0,0,0,0,0,2,12,32.0,0.3972
1,1,24,1440,0,0,0,0,0,0,0,0,0.0,0.3972
1,1,1,1500,0,0,0,0,0,0,0,0,0.0,0.3972
1,1,2,1560,0,0,0,0,0,0,0,0,0.0,0.3972
1,1,3,1620,0,0,0,0,0,0,0,0,0.0,0.3972
1,1,4,1680,0,0,0,0,0,0,0,0,0.0,0.3972
1,1,5,1740,0,0,0,0,0,0,0,0,0.0,0.3972
1,1,6,1800,2,2,5,1,0,0,0,0,0.0,0.3973
1,1,7,1860,7,7,8,4,0,0,0,0,0.0,0.3973
1,1,8,1920,6,6,2,3,0,0,32,20,15.1,0.3945
1,1,9,1980,5,3,2,3,0,2,13,19,18.5,0.3917
1,1,10,2040,12,12,8,5,0,0,12,17,25.08,0.3884
1,1,11,2100,13,13,2,3,0,0,8,16,25.0,0.3849
1,1,12,2160,9,8,1,2,0,1,23,4,43.79,0.3783
1,1,13,2220,9,9,3,1,0,0,9,8,29.9,0.375
1,1,14,2280,26,26,9,4,0,0,10,30,0.0,0.375
1,1,15,2340,16,16,16,4,0,0,30,21,15.0,0.3727
1,1,16,2400,14,10,18,3,0,4,18,14,28.99,0.3678
1,1,17,2460,7,7,3,12,0,0,11,23,9.0,0.3664
1,1,18,2520,5,5,11,6,0,0,8,9,31.61,0.3616
1,1,19,2580,11,9,12,1,0,2,32,12,24.11,0.3564
1,1,20,2640,5,5,4,6,0,0,7,22,20.55,0.3531
1,1,21,2700,7,7,7,3,0,0,22,10,13.2,0.3507
1,1,22,2760,1,1,6,4,0,0,8,16,17.5,0.3479
1,1,23,2820,0,0,4,0,0,0,10,17,16.5,0.3458
1,2,24,2880,0,0,0,0,0,0,0,0,0.0,0.3458
1,2,1,2940,0,0,0,0,0,0,0,0,0.0,0.3458
1,2,2,3000,0,0,0,0,0,0,0,0,0.0,0.3458
1,2,3,3060,0,0,0,0,0,0,0,0,0.0,0.3458
1,2,4,3120,0,0,0,0,0,0,0,0,0.0,0.3458
