Seed,time,vehicle_id,station_id,action_next_station,action_pickups,action_deliveries,expected_value_V,td_error,squared_starvation_penalty,squared_congestion_penalty,work_ratio,imbalance_concentration
9000,420.0,V0,S0,S39,0,0,-248.98576280176565,0.0,0.18704716672151703,0.11804971041251242,1.0,0.039301310043668124
9000,437.76276528657337,V0,S39,S52,18,0,-247.18469527051118,0.0,0.18218183256536993,0.10892130653401924,1.0,0.042709867452135494
9000,454.42712068298886,V0,S52,S65,2,0,-247.98861690427745,0.0,0.1742761202715566,0.1287275242900324,1.0,0.04101838755304102
9000,464.60800540515055,V0,S65,S22,0,12,-247.61173973862472,0.0,0.1682289040366359,0.1346747610550314,1.0,0.04148783977110158
9000,474.9687134714929,V0,S22,S66,0,8,-246.01688431476106,0.0,0.15273469603614315,0.14403679574822062,1.0,0.044733044733044736
9000,486.39818747151395,V0,S66,S35,0,0,-246.25695408423007,0.0,0.1656263062034845,0.12601915505035471,1.0,0.04748201438848921
9000,497.626943778415,V0,S35,S56,9,0,-245.65545133949092,0.0,0.16967333603449614,0.11416082361578021,1.0,0.047619047619047616
9000,507.56610705819827,V0,S56,S29,6,0,-245.89630974070866,0.0,0.17528954178696965,0.1075748478626444,1.0,0.048600883652430045
9000,515.8485076232787,V0,S29,S12,5,0,-244.05365612228292,0.0,0.16078229282972503,0.11315206102811642,1.0,0.050946142649199416
9000,530.7013260154271,V0,S12,S62,0,12,-243.66676170911933,0.0,0.15206474859453536,0.12303561067130385,1.0,0.054814814814814816
9000,547.5314463756408,V0,S62,S15,0,8,-242.44088463263083,0.0,0.14281475023646384,0.12616319176889232,1.0,0.05530642750373692
9000,557.3206888302741,V0,S15,S44,0,0,-245.89262459767357,0.0,0.16663219060167975,0.12078298942445242,1.0,0.055162659123055166
9000,565.2797627558484,V0,S44,S37,10,0,-246.96902866965436,0.0,0.17395765327567933,0.11924312502015919,1.0,0.05563480741797432
9000,574.6349366428783,V0,S37,S52,10,0,-247.95789091697392,0.0,0.18144559559033427,0.11681512655478861,1.0,0.051893408134642355
9000,583.8154215186066,V0,S52,S15,0,0,-247.68992499425167,0.0,0.16949853778856344,0.13283163294126601,1.0,0.055793991416309016
9000,591.0249955786638,V0,S15,S40,0,14,-246.91063045076396,0.0,0.16568343834011193,0.13197009570686077,1.0,0.04694167852062589
9000,603.5252476289363,V0,S40,S26,0,6,-245.34761788579894,0.0,0.15777075839606577,0.12963941346839905,1.0,0.05401459854014599
9000,614.6157286786095,V0,S26,S63,0,0,-244.29901577038348,0.0,0.16242414417357598,0.11296982768810636,1.0,0.047976011994003
9000,625.5911407667776,V0,S63,S49,14,0,-242.71582363552542,0.0,0.16053392171580375,0.10125807141981258,1.0,0.050078247261345854
9000,640.4864723206078,V0,S49,S65,6,0,-237.74974871259818,0.0,0.13753312564206777,0.09125511677341021,1.0,0.05432937181663837
9000,650.855993200852,V0,S65,S26,0,12,-233.8922016155514,0.0,0.11626985277554551,0.08933814163363045,1.0,0.044036697247706424
9000,666.2865635378787,V0,S26,S42,0,8,-232.60289537523823,0.0,0.10490976898459692,0.09523291067471708,1.0,0.04308797127468582
9000,680.2321883783529,V0,S42,S32,0,0,-235.68400535590018,0.0,0.11830259598241873,0.10280757424264667,1.0,0.04047217537942664
9000,688.4598401730026,V0,S32,S52,9,0,-235.28608917999816,0.0,0.11858572377180035,0.09861623410377646,1.0,0.04258943781942078
9000,699.6837687107668,V0,S52,S59,9,0,-237.78106224742731,0.0,0.1283936966274595,0.10631102592634589,1.0,0.04187604690117253
9000,709.7762838766555,V0,S59,S58,2,0,-240.0815169687956,0.0,0.12901679997358448,0.12637538588194455,1.0,0.04538341158059468
