Seed,Day,Hour,Time (minutes),Starvations,Bike Starvations,Long Congestions,Short Congestions,Maintenance Violations,Maintenance Starvations,Bike Pickups,Bike Deliveries,Maintenance Time (minutes),Avg Bike Criticality
1,0,7,420,0,0,0,0,0,0,0,0,0.0,0.4443
1,0,8,480,0,0,0,0,0,0,0,0,61.73,0.4391
1,0,9,540,0,0,0,0,0,0,3,0,37.15,0.4348
1,0,10,600,0,0,0,0,0,0,9,12,23.47,0.4308
1,0,11,660,0,0,0,0,0,0,19,6,28.0,0.4264
1,0,12,720,4,4,0,0,0,0,26,24,15.15,0.4238
1,0,13,780,8,8,2,7,0,0,5,20,14.55,0.4217
1,0,14,840,20,20,3,16,0,0,31,15,15.56,0.4195
1,0,15,900,38,38,14,7,0,0,18,32,0.0,0.4208
1,0,16,960,19,13,17,5,0,6,20,13,8.5,0.4192
1,0,17,1020,19,18,15,4,0,1,10,18,28.56,0.4134
1,0,18,1080,3,1,21,5,0,2,21,8,40.0,0.4072
1,0,19,1140,2,2,10,5,1,0,2,5,44.52,0.4032
1,0,20,1200,4,4,3,8,0,0,8,11,44.5,0.3991
1,0,21,1260,3,3,7,2,0,0,5,11,23.38,0.3972
1,0,22,1320,7,7,11,0,0,0,20,4,20.61,0.3946
1,0,23,1380,0,0,2,1,0,0,2,5,38.69,0.3888
1,1,24,1440,0,0,0,0,0,0,0,0,0.0,0.3888
1,1,1,1500,0,0,0,0,0,0,0,0,0.0,0.3888
1,1,2,1560,0,0,0,0,0,0,0,0,0.0,0.3888
1,1,3,1620,0,0,0,0,0,0,0,0,0.0,0.3888
1,1,4,1680,0,0,0,0,0,0,0,0,0.0,0.3888
1,1,5,1740,0,0,0,0,0,0,0,0,0.0,0.3888
1,1,6,1800,13,13,3,13,0,0,0,0,0.0,0.389
1,1,7,1860,23,23,6,22,0,0,0,0,0.0,0.3896
1,1,8,1920,16,14,14,8,0,2,13,20,22.25,0.3862
1,1,9,1980,3,2,10,6,0,1,19,14,23.02,0.3817
1,1,10,2040,14,14,6,5,0,0,14,25,24.07,0.379
1,1,11,2100,18,18,2,3,0,0,17,17,7.9,0.3779
1,1,12,2160,5,5,0,1,0,0,11,6,31.17,0.373
1,1,13,2220,20,20,1,12,0,0,24,23,5.0,0.3727
1,1,14,2280,26,26,3,4,0,0,17,24,4.53,0.3717
1,1,15,2340,17,17,2,1,0,0,24,24,3.65,0.3715
1,1,16,2400,16,14,15,4,0,2,21,9,31.34,0.3667
1,1,17,2460,2,2,6,3,0,0,13,17,20.5,0.3646
1,1,18,2520,11,11,12,6,0,0,11,2,24.5,0.3624
1,1,19,2580,2,2,9,5,0,0,22,29,15.2,0.3593
1,1,20,2640,1,1,5,5,0,0,17,10,26.0,0.3571
1,1,21,2700,2,2,1,7,0,0,15,20,1.04,0.3571
1,1,22,2760,1,1,0,0,0,0,7,0,46.5,0.3524
1,1,23,2820,0,0,0,0,0,0,0,0,75.0,0.3503
1,2,24,2880,0,0,0,0,0,0,0,0,0.0,0.3503
1,2,1,2940,0,0,0,0,0,0,0,0,0.0,0.3503
1,2,2,3000,0,0,0,0,0,0,0,0,0.0,0.3503
1,2,3,3060,0,0,0,0,0,0,0,0,0.0,0.3503
1,2,4,3120,0,0,0,0,0,0,0,0,0.0,0.3503
1,2,5,3180,2,2,1,0,0,0,0,0,0.0,0.3505
1,2,6,3240,13,13,2,15,1,0,0,0,0.0,0.3511
1,2,7,3300,29,29,2,13,1,0,0,0,0.0,0.3514
1,2,8,3360,17,16,7,3,0,1,24,24,7.48,0.3503
1,2,9,3420,7,6,4,4,0,1,6,20,30.76,0.3459
1,2,10,3480,8,8,7,6,0,0,14,8,28.18,0.3428
1,2,11,3540,6,6,5,5,0,0,17,14,37.38,0.3386
1,2,12,3600,12,11,3,5,0,1,10,7,19.98,0.3357
1,2,13,3660,17,17,9,5,0,0,18,18,11.97,0.3339
1,2,14,3720,23,23,7,4,1,0,9,20,13.88,0.3324
1,2,15,3780,14,14,44,4,0,0,29,18,0.0,0.333
1,2,16,3840,11,11,23,6,0,0,14,16,26.81,0.329
1,2,17,3900,35,35,7,6,0,0,8,24,4.0,0.3293
1,2,18,3960,2,2,6,8,0,0,23,3,29.12,0.3246
1,2,19,4020,5,3,8,11,0,2,4,22,14.04,0.3234
1,2,20,4080,7,2,3,4,1,5,27,14,25.54,0.3199
1,2,21,4140,2,1,8,5,0,1,5,15,9.7,0.3184
1,2,22,4200,1,1,6,0,0,0,20,5,43.0,0.3152
1,2,23,4260,0,0,1,0,0,0,1,13,16.76,0.3121
1,3,24,4320,0,0,0,0,0,0,0,0,0.0,0.3121
1,3,1,4380,0,0,0,0,0,0,0,0,0.0,0.3121
1,3,2,4440,0,0,0,0,0,0,0,0,0.0,0.3121
1,3,3,4500,0,0,0,0,0,0,0,0,0.0,0.3121
1,3,4,4560,0,0,0,0,0,0,0,0,0.0,0.3121
1,3,5,4620,0,0,3,0,0,0,0,0,0.0,0.3121
1,3,6,4680,14,14,7,2,0,0,0,0,0.0,0.3122
1,3,7,4740,23,18,9,15,0,5,0,0,0.0,0.3124
1,3,8,4800,18,14,12,16,0,4,22,10,21.45,0.3105
1,3,9,4860,9,9,7,8,0,0,8,12,33.76,0.3066
1,3,10,4920,22,22,5,15,0,0,12,23,16.5,0.3045
1,3,11,4980,19,19,6,12,0,0,19,6,40.5,0.3003
1,3,12,5040,10,7,8,7,0,3,6,4,38.5,0.2982
1,3,13,5100,24,14,6,6,0,10,18,18,16.84,0.2958
1,3,14,5160,39,35,14,5,0,4,9,29,0.0,0.2966
1,3,15,5220,32,30,5,8,0,2,8,6,32.5,0.2942
1,3,16,5280,11,10,8,10,0,1,22,17,15.55,0.2937
1,3,17,5340,12,6,3,9,0,6,17,17,15.0,0.2915
1,3,18,5400,14,5,1,8,0,9,2,9,15.67,0.2894
1,3,19,5460,8,6,5,14,0,2,20,13,19.81,0.2883
