Seed,Vehicle ID,Visit Number,Station ID,Time (minutes),Day,Hour,Minute,Time Since Previous Visit (minutes)
1,V0,1,S0,420,0,7,0,0.0
1,V0,2,S21,438.0,0,7,18,18.0
1,V0,3,S0,442.85,0,7,22,4.85
1,V0,4,S0,470.85,0,7,50,28.0
1,V0,5,S35,477.32,0,7,57,6.47
1,V0,6,S54,486.22,0,8,6,8.91
1,V0,7,S53,493.19,0,8,13,6.96
1,V0,8,S52,499.69,0,8,19,6.51
1,V0,9,S16,506.76,0,8,26,7.07
1,V0,10,S63,512.06,0,8,32,5.31
1,V0,11,S43,520.7,0,8,40,8.64
1,V0,12,S37,527.36,0,8,47,6.66
1,V0,13,S61,534.89,0,8,54,7.54
1,V0,14,S31,540.9,0,9,0,6.01
1,V0,15,S60,545.3,0,9,5,4.39
1,V0,16,S44,556.8,0,9,16,11.5
1,V0,17,S32,563.22,0,9,23,6.42
1,V0,18,S57,572.61,0,9,32,9.4
1,V0,19,S35,578.34,0,9,38,5.73
1,V0,20,S57,588.06,0,9,48,9.73
1,V0,21,S50,594.7,0,9,54,6.64
1,V0,22,S10,603.48,0,10,3,8.78
1,V0,23,S29,608.65,0,10,8,5.16
1,V0,24,S54,619.07,0,10,19,10.43
1,V0,25,S55,628.02,0,10,28,8.95
1,V0,26,S53,637.18,0,10,37,9.16
1,V0,27,S33,643.82,0,10,43,6.64
1,V0,28,S61,652.49,0,10,52,8.67
1,V0,29,S31,660.5,0,11,0,8.01
1,V0,30,S66,667.39,0,11,7,6.88
1,V0,31,S62,675.81,0,11,15,8.42
1,V0,32,S44,685.01,0,11,25,9.2
1,V0,33,S16,691.24,0,11,31,6.23
1,V0,34,S43,695.82,0,11,35,4.58
1,V0,35,S63,701.95,0,11,41,6.14
1,V0,36,S46,713.98,0,11,53,12.02
1,V0,37,S37,722.76,0,12,2,8.79
1,V0,38,S4,730.01,0,12,10,7.25
1,V0,39,S61,735.88,0,12,15,5.87
1,V0,40,S31,748.16,0,12,28,12.28
1,V0,41,S66,760.05,0,12,40,11.88
1,V0,42,S33,767.78,0,12,47,7.73
1,V0,43,S63,774.82,0,12,54,7.05
1,V0,44,S16,780.13,0,13,0,5.31
1,V0,45,S44,788.36,0,13,8,8.23
1,V0,46,S63,793.83,0,13,13,5.47
1,V0,47,S46,798.85,0,13,18,5.02
