Seed,Day,Hour,Time (minutes),Starvations,Bike Starvations,Long Congestions,Short Congestions,Maintenance Violations,Maintenance Starvations,Bike Pickups,Bike Deliveries,Maintenance Time (minutes),Avg Bike Criticality
1,0,7,420,0,0,0,0,0,0,0,0,0.0,0.4443
1,0,8,480,0,0,0,0,0,0,0,0,43.65,0.4396
1,0,9,540,0,0,0,4,0,0,0,0,53.11,0.4314
1,0,10,600,1,1,0,1,0,0,0,0,55.0,0.426
1,0,11,660,4,4,0,1,0,0,0,0,33.62,0.4233
1,0,12,720,6,6,6,0,0,0,0,0,34.08,0.4192
1,0,13,780,18,18,4,2,0,0,0,0,54.77,0.4172
1,0,14,840,13,13,10,1,1,0,0,0,39.27,0.4118
1,0,15,900,48,48,49,8,1,0,0,0,49.27,0.4055
1,0,16,960,24,24,44,4,0,0,0,0,50.0,0.3968
1,0,17,1020,11,10,20,9,0,1,0,0,50.0,0.392
1,0,18,1080,16,16,13,8,0,0,0,0,50.0,0.3901
1,0,19,1140,8,8,17,6,0,0,0,0,50.0,0.3889
1,0,20,1200,0,0,11,1,1,0,0,0,54.75,0.3808
1,0,21,1260,6,6,8,4,0,0,0,0,50.0,0.3786
1,0,22,1320,3,3,8,5,0,0,0,0,50.0,0.3776
1,0,23,1380,0,0,3,1,0,0,0,0,70.0,0.3766
1,1,24,1440,0,0,0,0,0,0,0,0,0.0,0.3766
1,1,1,1500,0,0,0,0,0,0,0,0,0.0,0.3766
1,1,2,1560,0,0,0,0,0,0,0,0,0.0,0.3766
1,1,3,1620,0,0,0,0,0,0,0,0,0.0,0.3766
1,1,4,1680,0,0,0,0,0,0,0,0,0.0,0.3766
1,1,5,1740,1,1,0,0,0,0,0,0,0.0,0.3766
1,1,6,1800,20,20,3,14,0,0,0,0,0.0,0.3769
1,1,7,1860,25,25,4,21,0,0,0,0,0.0,0.3773
1,1,8,1920,14,14,0,8,0,0,0,0,75.0,0.3703
1,1,9,1980,7,7,1,18,0,0,0,0,30.0,0.365
1,1,10,2040,5,5,3,10,0,0,0,0,54.77,0.3629
1,1,11,2100,1,1,2,7,0,0,0,0,50.0,0.3586
1,1,12,2160,3,3,5,5,0,0,0,0,60.0,0.3523
1,1,13,2220,10,10,4,24,0,0,0,0,30.0,0.3475
1,1,14,2280,42,42,10,13,0,0,0,0,39.77,0.3442
1,1,15,2340,63,63,21,28,0,0,0,0,50.0,0.3406
1,1,16,2400,26,26,20,18,0,0,0,0,35.0,0.3384
1,1,17,2460,17,17,5,11,0,0,0,0,48.99,0.3346
1,1,18,2520,13,13,2,6,0,0,0,0,50.0,0.332
1,1,19,2580,11,11,0,5,0,0,0,0,50.0,0.3275
1,1,20,2640,2,2,8,9,0,0,0,0,50.0,0.3252
1,1,21,2700,6,6,6,6,0,0,0,0,75.0,0.3234
1,1,22,2760,3,3,3,9,0,0,0,0,29.42,0.3229
1,1,23,2820,0,0,1,4,0,0,0,0,49.92,0.3173
1,2,24,2880,0,0,0,0,0,0,0,0,0.0,0.3173
1,2,1,2940,0,0,0,0,0,0,0,0,0.0,0.3173
1,2,2,3000,0,0,0,0,0,0,0,0,0.0,0.3173
1,2,3,3060,0,0,0,0,0,0,0,0,0.0,0.3173
1,2,4,3120,0,0,0,0,0,0,0,0,0.0,0.3173
1,2,5,3180,3,3,2,2,0,0,0,0,0.0,0.3173
1,2,6,3240,19,19,8,20,0,0,0,0,0.0,0.3175
1,2,7,3300,34,34,9,40,0,0,0,0,0.0,0.3176
