Seed,Day,Hour,Time (minutes),Starvations,Bike Starvations,Long Congestions,Short Congestions,Maintenance Violations,Maintenance Starvations,Bike Pickups,Bike Deliveries,Maintenance Time (minutes),Avg Bike Criticality,Bikes Critical (>0.83),Bikes High (0.60-0.83),Bikes Medium (0.30-0.60),Bikes Low (<=0.30)
1,0,7,420,0,0,0,0,0,0,0,0,0.0,0.4443,35,153,376,204
1,0,8,480,0,0,0,0,0,0,0,0,48.65,0.4415,36,151,369,212
1,0,9,540,2,1,0,0,2,1,22,4,12.76,0.4415,33,153,371,211
1,0,10,600,0,0,0,0,1,0,19,21,5.5,0.4429,32,156,370,210
1,0,11,660,0,0,0,0,1,0,22,18,3.0,0.4456,30,158,374,206
1,0,12,720,7,7,0,1,1,0,20,25,4.0,0.4482,35,156,373,204
1,0,13,780,4,3,4,7,1,1,14,25,10.48,0.4494,35,154,380,199
1,0,14,840,24,20,7,13,3,4,20,22,6.98,0.453,37,155,380,196
1,0,15,900,39,27,14,17,2,12,34,28,0.0,0.4606,41,160,376,191
1,0,16,960,18,12,16,17,3,6,13,8,19.0,0.462,42,160,380,186
1,0,17,1020,29,18,8,5,2,11,15,21,28.79,0.4615,45,153,384,186
1,0,18,1080,16,8,8,8,0,8,17,14,26.27,0.4613,46,151,385,186
1,0,19,1140,16,3,3,7,1,13,8,7,31.0,0.4603,45,153,382,188
1,0,20,1200,15,0,8,5,0,15,9,12,32.08,0.4572,45,148,378,197
1,0,21,1260,2,1,1,11,1,1,15,13,22.5,0.4553,45,145,376,202
1,0,22,1320,6,3,5,6,0,3,10,7,35.0,0.4514,45,143,370,210
1,0,23,1380,0,0,5,0,0,0,8,21,13.5,0.4496,44,142,367,215
1,1,24,1440,0,0,0,0,0,0,0,0,0.0,0.3982,0,142,367,259
1,1,1,1500,0,0,0,0,0,0,0,0,0.0,0.3982,0,142,367,259
1,1,2,1560,0,0,0,0,0,0,0,0,0.0,0.3982,0,142,367,259
1,1,3,1620,0,0,0,0,0,0,0,0,0.0,0.3982,0,142,367,259
1,1,4,1680,0,0,0,0,0,0,0,0,0.0,0.3982,0,142,367,259
1,1,5,1740,4,4,1,0,0,0,0,0,0.0,0.3988,1,141,367,259
1,1,6,1800,12,12,0,2,0,0,0,0,0.0,0.4011,3,141,368,256
1,1,7,1860,9,9,0,14,0,0,0,0,0.0,0.4041,4,145,369,250
1,1,8,1920,8,8,4,18,1,0,25,13,3.2,0.4074,5,145,375,243
1,1,9,1980,8,6,3,5,0,2,20,12,17.94,0.4065,5,143,374,246
1,1,10,2040,12,8,2,10,1,4,11,31,7.85,0.4075,5,143,378,242
1,1,11,2100,6,4,3,6,0,2,22,6,19.38,0.4069,5,142,379,242
1,1,12,2160,7,7,7,5,0,0,26,27,9.35,0.4085,6,142,382,238
1,1,13,2220,10,10,2,3,1,0,16,14,14.79,0.4097,8,137,386,237
1,1,14,2280,24,24,14,18,2,0,23,29,0.5,0.4158,9,144,385,230
1,1,15,2340,23,20,2,16,0,3,13,23,7.8,0.4199,11,145,387,225
1,1,16,2400,7,7,15,7,0,0,31,17,11.09,0.4232,13,143,391,221
1,1,17,2460,5,5,12,5,0,0,8,20,0.5,0.427,13,147,394,214
1,1,18,2520,8,8,3,3,0,0,19,22,5.87,0.4295,11,153,392,212
1,1,19,2580,3,3,4,4,0,0,19,12,30.5,0.4274,12,147,392,217
1,1,20,2640,1,1,4,5,0,0,15,4,19.7,0.426,12,145,391,220
1,1,21,2700,6,6,3,6,0,0,8,26,11.36,0.4254,13,142,389,224
1,1,22,2760,0,0,0,5,0,0,18,2,27.7,0.4214,12,138,388,230
1,1,23,2820,0,0,0,2,0,0,14,28,24.82,0.4167,12,132,388,236
1,2,24,2880,0,0,0,0,0,0,0,0,0.0,0.4027,0,132,388,248
1,2,1,2940,0,0,0,0,0,0,0,0,0.0,0.4027,0,132,388,248
1,2,2,3000,0,0,0,0,0,0,0,0,0.0,0.4027,0,132,388,248
1,2,3,3060,0,0,0,0,0,0,0,0,0.0,0.4027,0,132,388,248
1,2,4,3120,0,0,0,0,0,0,0,0,0.0,0.4027,0,132,388,248
1,2,5,3180,3,3,0,0,0,0,0,0,0.0,0.4032,0,132,388,248
1,2,6,3240,7,7,4,2,0,0,0,0,0.0,0.4059,0,133,390,245
1,2,7,3300,13,13,1,26,0,0,0,0,0.0,0.4093,2,136,392,238
1,2,8,3360,31,31,10,35,0,0,28,25,2.26,0.4112,2,138,393,235
1,2,9,3420,5,5,17,10,0,0,22,13,31.62,0.408,2,132,396,238
1,2,10,3480,12,12,16,12,0,0,25,27,6.03,0.4098,4,130,399,235
1,2,11,3540,9,9,2,11,0,0,15,26,1.0,0.4122,6,128,402,232
1,2,12,3600,6,6,11,11,0,0,30,12,38.86,0.4096,7,127,396,238
1,2,13,3660,21,21,5,24,1,0,1,20,6.67,0.4122,8,129,399,232
1,2,14,3720,35,35,8,12,0,0,25,24,1.03,0.4166,9,135,399,225
1,2,15,3780,44,44,3,5,1,0,26,21,15.61,0.4204,13,131,403,221
1,2,16,3840,11,11,7,9,1,0,15,21,10.57,0.424,14,136,403,215
1,2,17,3900,9,9,18,10,0,0,19,4,17.0,0.4256,16,135,406,211
1,2,18,3960,6,6,7,12,0,0,19,15,22.03,0.4271,17,132,408,211
1,2,19,4020,12,12,2,17,1,0,21,20,33.66,0.4243,17,130,405,216
1,2,20,4080,5,5,3,9,1,0,11,23,6.88,0.4259,17,135,402,214
1,2,21,4140,7,7,7,17,1,0,19,19,13.32,0.4251,16,137,401,214
1,2,22,4200,1,1,6,8,0,0,12,11,26.53,0.4218,16,131,401,220
1,2,23,4260,0,0,1,4,0,0,18,9,24.07,0.4186,16,128,397,227
1,3,24,4320,0,0,0,0,0,0,0,0,0.0,0.4002,0,128,398,242
1,3,1,4380,0,0,0,1,0,0,0,0,0.0,0.4002,0,128,398,242
1,3,2,4440,0,0,0,0,0,0,0,0,0.0,0.4002,0,128,398,242
1,3,3,4500,0,0,0,1,0,0,0,0,0.0,0.4002,0,128,398,242
1,3,4,4560,0,0,0,0,0,0,0,0,0.0,0.4002,0,128,398,242
1,3,5,4620,1,1,1,0,0,0,0,0,0.0,0.4007,0,128,398,242
1,3,6,4680,15,15,1,11,0,0,0,0,0.0,0.4033,0,133,394,241
1,3,7,4740,22,22,1,18,1,0,0,0,0.0,0.4067,2,137,393,236
1,3,8,4800,14,14,22,10,0,0,17,27,4.91,0.4086,2,140,392,234
1,3,9,4860,6,6,13,4,0,0,11,15,25.05,0.4071,2,139,388,239
1,3,10,4920,7,7,3,4,0,0,19,6,20.82,0.4062,3,135,389,241
1,3,11,4980,16,16,9,3,0,0,19,21,38.0,0.4048,5,133,388,242
1,3,12,5040,19,19,3,7,0,0,6,10,9.84,0.4065,4,138,387,239
1,3,13,5100,25,25,9,7,0,0,19,20,11.55,0.4083,5,135,391,237
1,3,14,5160,24,22,30,18,1,2,19,10,23.07,0.41,5,136,390,237
1,3,15,5220,46,46,23,12,2,0,13,32,0.0,0.4164,6,141,394,227
1,3,16,5280,22,22,27,15,1,0,28,26,2.03,0.4215,9,144,396,219
1,3,17,5340,18,18,7,3,0,0,29,11,14.75,0.4245,10,144,401,213
1,3,18,5400,6,6,11,6,0,0,10,15,14.07,0.4252,12,140,404,212
1,3,19,5460,10,10,6,0,0,0,13,21,12.0,0.4261,13,139,406,210
1,3,20,5520,6,6,2,0,1,0,16,6,23.45,0.4242,14,133,410,211
1,3,21,5580,11,8,0,0,0,3,15,12,26.8,0.4224,14,132,405,217
1,3,22,5640,5,5,5,2,0,0,15,20,17.5,0.4216,14,133,400,221
1,3,23,5700,0,0,0,0,0,0,12,15,15.2,0.4192,15,127,405,221
1,4,24,5760,0,0,0,0,1,0,0,0,0.0,0.4026,1,127,404,236
1,4,1,5820,0,0,0,0,0,0,0,0,0.0,0.4026,1,127,404,236
1,4,2,5880,0,0,0,0,0,0,0,0,0.0,0.4026,1,127,404,236
1,4,3,5940,0,0,0,0,0,0,0,0,0.0,0.4026,1,127,404,236
1,4,4,6000,0,0,0,0,0,0,0,0,0.0,0.4026,1,127,404,236
1,4,5,6060,0,0,0,0,0,0,0,0,0.0,0.403,1,127,405,235
1,4,6,6120,10,10,0,3,0,0,0,0,0.0,0.405,1,128,407,232
1,4,7,6180,22,22,0,4,0,0,0,0,0.0,0.4072,2,130,405,231
1,4,8,6240,13,13,0,2,0,0,9,21,11.57,0.4085,2,131,404,231
1,4,9,6300,9,9,7,10,0,0,24,15,7.01,0.4086,2,129,410,227
1,4,10,6360,6,6,5,1,0,0,24,24,5.0,0.4101,3,128,412,225
1,4,11,6420,12,12,0,11,0,0,27,21,28.65,0.4082,3,122,417,226
1,4,12,6480,8,8,2,11,0,0,10,22,0.0,0.4129,3,127,415,223
1,4,13,6540,14,14,4,8,1,0,18,19,10.77,0.4158,6,131,411,220
1,4,14,6600,18,18,0,8,0,0,16,18,2.62,0.4206,9,133,417,209
1,4,15,6660,18,18,1,16,0,0,20,20,2.0,0.4261,9,136,422,201
1,4,16,6720,5,5,7,3,1,0,24,24,4.45,0.4297,9,144,415,200
1,4,17,6780,9,9,4,2,0,0,24,9,33.0,0.4293,9,147,407,205
1,4,18,6840,9,9,5,4,0,0,11,16,5.0,0.4313,10,148,411,199
1,4,19,6900,3,3,0,6,0,0,15,17,20.02,0.4319,10,152,403,203
1,4,20,6960,2,2,0,11,0,0,17,17,21.5,0.43,11,150,399,208
1,4,21,7020,0,0,2,6,0,0,15,21,2.15,0.4308,10,150,404,204
1,4,22,7080,11,11,0,2,0,0,29,17,6.85,0.4309,10,147,409,202
1,4,23,7140,0,0,0,0,0,0,20,20,2.0,0.4312,10,146,413,199
1,5,24,7200,0,0,0,0,0,0,0,0,0.0,0.4197,0,146,413,209
1,5,1,7260,0,0,0,0,0,0,0,0,0.0,0.4197,0,146,413,209
1,5,2,7320,0,0,0,0,0,0,0,0,0.0,0.4197,0,146,413,209
1,5,3,7380,0,0,0,0,0,0,0,0,0.0,0.4197,0,146,413,209
1,5,4,7440,0,0,0,0,0,0,0,0,0.0,0.4197,0,146,413,209
1,5,5,7500,0,0,1,0,0,0,0,0,0.0,0.4201,0,146,414,208
1,5,6,7560,0,0,0,0,0,0,0,0,0.0,0.4202,0,146,414,208
1,5,7,7620,2,2,0,0,0,0,0,0,0.0,0.4207,0,146,414,208
1,5,7,7620,0,0,0,0,0,0,0,0,0.0,0.4207,0,146,414,208
