Seed,Vehicle ID,Visit Number,Station ID,Time (minutes),Day,Hour,Minute,Time Since Previous Visit (minutes)
2,V0,1,S0,420,0,7,0,0.0
2,V0,2,S11,439.89,0,7,19,19.89
2,V0,3,S35,450.61,0,7,30,10.71
2,V0,4,S50,465.21,0,7,45,14.61
2,V0,5,S29,474.5,0,7,54,9.29
2,V0,6,S54,483.43,0,8,3,8.93
2,V0,7,S40,492.1,0,8,12,8.67
2,V0,8,S33,501.61,0,8,21,9.51
2,V0,9,S52,506.34,0,8,26,4.73
2,V0,10,S44,513.18,0,8,33,6.83
2,V0,11,S43,517.97,0,8,37,4.79
2,V0,12,S63,525.6,0,8,45,7.64
2,V0,13,S46,530.62,0,8,50,5.02
2,V0,14,S53,536.5,0,8,56,5.87
2,V0,15,S40,544.26,0,9,4,7.77
2,V0,16,S55,552.52,0,9,12,8.25
2,V0,17,S35,561.56,0,9,21,9.04
2,V0,18,S29,573.01,0,9,33,11.45
2,V0,19,S50,579.3,0,9,39,6.29
2,V0,20,S29,588.59,0,9,48,9.29
2,V0,21,S54,593.02,0,9,53,4.43
2,V0,22,S55,611.02,0,10,11,18.0
2,V0,23,S62,622.23,0,10,22,11.22
2,V0,24,S61,633.3,0,10,33,11.06
2,V0,25,S31,641.3,0,10,41,8.01
2,V0,26,S41,650.57,0,10,50,9.27
2,V0,27,S60,655.94,0,10,55,5.37
2,V0,28,S62,666.13,0,11,6,10.19
2,V0,29,S40,671.36,0,11,11,5.23
2,V0,30,S29,681.44,0,11,21,10.08
2,V0,31,S54,692.87,0,11,32,11.43
2,V0,32,S53,702.83,0,11,42,9.96
2,V0,33,S46,707.2,0,11,47,4.37
2,V0,34,S63,716.22,0,11,56,9.02
2,V0,35,S44,721.69,0,12,1,5.47
2,V0,36,S37,726.54,0,12,6,4.86
2,V0,37,S44,735.4,0,12,15,8.86
2,V0,38,S4,744.82,0,12,24,9.43
2,V0,39,S64,754.09,0,12,34,9.27
2,V0,40,S49,761.89,0,12,41,7.8
2,V0,41,S60,769.95,0,12,49,8.05
2,V0,42,S66,775.21,0,12,55,5.27
2,V0,43,S27,787.39,0,13,7,12.18
2,V0,44,S16,801.62,0,13,21,14.23
2,V0,45,S43,807.19,0,13,27,5.58
2,V0,46,S48,819.0,0,13,39,11.81
2,V0,47,S45,830.08,0,13,50,11.08
2,V0,48,S52,837.54,0,13,57,7.46
2,V0,49,S44,843.37,0,14,3,5.83
2,V0,50,S32,852.29,0,14,12,8.92
2,V0,51,S55,860.96,0,14,20,8.67
2,V0,52,S54,865.41,0,14,25,4.45
2,V0,53,S61,878.24,0,14,38,12.83
2,V0,54,S66,885.37,0,14,45,7.13
2,V0,55,S39,898.96,0,14,58,13.59
2,V0,56,S16,916.4,0,15,16,17.44
2,V0,57,S43,923.48,0,15,23,7.08
2,V0,58,S37,933.14,0,15,33,9.66
2,V0,59,S38,943.96,0,15,43,10.82
2,V0,60,S31,954.77,0,15,54,10.81
2,V0,61,S66,967.15,0,16,7,12.38
2,V0,62,S31,974.54,0,16,14,7.38
2,V0,63,S65,983.73,0,16,23,9.2
2,V0,64,S2,992.29,0,16,32,8.56
2,V0,65,S23,1001.06,0,16,41,8.77
2,V0,66,S7,1008.37,0,16,48,7.31
2,V0,67,S7,1036.37,0,17,16,28.0
2,V0,68,S13,1060.37,0,17,40,24.0
2,V0,69,S13,1087.37,0,18,7,27.0
2,V0,70,S5,1096.92,0,18,16,9.55
2,V0,71,S5,1124.92,0,18,44,28.0
2,V0,72,S5,1149.42,0,19,9,24.5
2,V0,73,S65,1159.78,0,19,19,10.37
2,V0,74,S65,1187.78,0,19,47,28.0
2,V0,75,S31,1193.98,0,19,53,6.2
2,V0,76,S27,1204.24,0,20,4,10.27
2,V0,77,S15,1210.07,0,20,10,5.82
2,V0,78,S40,1220.57,0,20,20,10.5
2,V0,79,S46,1226.57,0,20,26,6.01
2,V0,80,S63,1234.6,0,20,34,8.02
2,V0,81,S44,1248.06,0,20,48,13.47
2,V0,82,S37,1252.92,0,20,52,4.86
2,V0,83,S44,1260.77,0,21,0,7.86
2,V0,84,S43,1268.07,0,21,8,7.29
2,V0,85,S16,1274.07,0,21,14,6.0
2,V0,86,S51,1282.16,0,21,22,8.09
2,V0,87,S36,1289.05,0,21,29,6.89
2,V0,88,S51,1298.93,0,21,38,9.89
2,V0,89,S63,1314.43,0,21,54,15.5
2,V0,90,S43,1320.57,0,22,0,6.14
2,V0,91,S44,1329.36,0,22,9,8.79
2,V0,92,S58,1337.15,0,22,17,7.79
2,V0,93,S49,1347.0,0,22,27,9.86
2,V0,94,S39,1355.84,0,22,35,8.84
2,V0,95,S38,1370.63,0,22,50,14.78
2,V0,96,S59,1375.87,0,22,55,5.24
2,V0,97,S4,1862.16,1,7,2,486.29
2,V0,98,S61,1872.31,1,7,12,10.15
2,V0,99,S31,1880.32,1,7,20,8.01
2,V0,100,S60,1887.22,1,7,27,6.89
2,V0,101,S41,1895.58,1,7,35,8.37
2,V0,102,S47,1904.53,1,7,44,8.95
