Seed,Day,Hour,Time (minutes),Starvations,Bike Starvations,Long Congestions,Short Congestions,Maintenance Violations,Maintenance Starvations,Bike Pickups,Bike Deliveries,Maintenance Time (minutes),Avg Bike Criticality
1,0,7,420,0,0,0,0,0,0,0,0,0.0,0.4443
1,0,8,480,2,0,0,0,2,2,0,0,43.69,0.4437
1,0,9,540,1,1,0,3,3,0,0,0,64.47,0.4442
1,0,10,600,0,0,0,2,1,0,0,0,33.81,0.4495
1,0,11,660,6,4,2,3,8,2,3,0,35.5,0.4593
1,0,12,720,17,14,1,2,5,3,0,2,50.0,0.4637
1,0,13,780,8,7,2,8,4,1,0,0,50.0,0.4683
1,0,14,840,18,10,5,13,3,8,1,2,37.75,0.4792
1,0,15,900,40,30,24,17,11,10,0,0,65.5,0.4936
1,0,16,960,25,17,17,5,14,8,2,1,36.5,0.5051
1,0,17,1020,35,15,30,7,8,20,0,1,52.32,0.5068
1,0,18,1080,22,15,11,3,5,7,5,0,55.0,0.5171
1,0,19,1140,13,9,12,4,5,4,0,0,54.0,0.5163
1,0,20,1200,3,2,11,8,4,1,5,0,37.5,0.5173
1,0,21,1260,5,0,5,3,1,5,0,0,45.0,0.5144
1,0,22,1320,8,4,7,4,1,4,3,0,34.0,0.5156
1,0,23,1380,0,0,0,1,1,0,0,3,65.0,0.5137
1,1,24,1440,0,0,0,0,0,0,0,0,0.0,0.5137
1,1,1,1500,0,0,0,0,0,0,0,0,0.0,0.5137
1,1,2,1560,0,0,0,0,1,0,0,0,0.0,0.5146
1,1,3,1620,0,0,0,0,0,0,0,0,0.0,0.5146
1,1,4,1680,0,0,0,0,0,0,0,0,0.0,0.5146
1,1,5,1740,3,0,0,1,0,3,0,0,0.0,0.5165
1,1,6,1800,17,8,6,10,2,9,0,0,0.0,0.5267
1,1,7,1860,18,4,6,3,3,14,0,0,0.0,0.5373
1,1,8,1920,9,5,9,6,7,4,11,1,55.0,0.5371
1,1,9,1980,8,5,4,13,4,3,0,0,60.5,0.5339
1,1,10,2040,12,10,2,11,5,2,0,2,33.01,0.5371
1,1,11,2100,16,7,3,6,8,9,0,1,59.5,0.5449
1,1,12,2160,11,0,10,4,9,11,0,0,53.42,0.5539
1,1,13,2220,18,1,3,5,14,17,0,4,46.69,0.557
1,1,14,2280,45,12,3,2,14,33,0,6,30.05,0.5659
1,1,15,2340,54,10,9,13,13,44,0,7,59.5,0.5773
1,1,16,2400,16,7,10,17,11,9,0,0,35.0,0.5891
1,1,17,2460,14,4,4,11,6,10,0,0,45.0,0.5909
1,1,18,2520,17,3,5,6,13,14,0,0,35.0,0.5981
