Seed,Vehicle ID,Visit Number,Station ID,Time (minutes),Day,Hour,Minute,Time Since Previous Visit (minutes)
1,V0,1,S0,420,0,7,0,0.0
1,V0,2,S42,430.26,0,7,10,10.26
1,V0,3,S35,443.26,0,7,23,13.0
1,V0,4,S1,471.79,0,7,51,28.53
1,V0,5,S35,480.32,0,8,0,8.53
1,V0,6,S57,494.04,0,8,14,13.73
1,V0,7,S1,517.7,0,8,37,23.66
1,V0,8,S35,525.7,0,8,45,8.0
1,V0,9,S35,558.7,0,9,18,33.0
1,V0,10,S42,568.01,0,9,28,9.31
1,V0,11,S1,586.01,0,9,46,18.0
1,V0,12,S57,589.67,0,9,49,3.66
1,V0,13,S35,598.39,0,9,58,8.73
1,V0,14,S1,611.92,0,10,11,13.53
1,V0,15,S35,620.45,0,10,20,8.53
1,V0,16,S35,653.45,0,10,53,33.0
1,V0,17,S29,660.4,0,11,0,6.95
1,V0,18,S50,665.69,0,11,5,5.29
1,V0,19,S50,698.69,0,11,38,33.0
1,V0,20,S1,723.82,0,12,3,25.13
1,V0,21,S35,732.34,0,12,12,8.53
1,V0,22,S35,765.34,0,12,45,33.0
1,V0,23,S57,784.07,0,13,4,18.73
1,V0,24,S1,793.23,0,13,13,9.16
1,V0,25,S57,801.89,0,13,21,8.66
1,V0,26,S1,810.55,0,13,30,8.66
1,V0,27,S35,827.82,0,13,47,17.27
1,V0,28,S42,842.13,0,14,2,14.31
1,V0,29,S1,851.32,0,14,11,9.19
1,V0,30,S55,858.04,0,14,18,6.72
1,V0,31,S55,891.04,0,14,51,33.0
1,V0,32,S55,924.04,0,15,24,33.0
1,V0,33,S53,939.2,0,15,39,15.16
1,V0,34,S53,970.2,0,16,10,31.0
1,V0,35,S63,993.2,0,16,33,23.0
1,V0,36,S16,1001.81,0,16,41,8.61
1,V0,37,S16,1033.81,0,17,13,32.0
1,V0,38,S16,1066.81,0,17,46,33.0
1,V0,39,S16,1097.31,0,18,17,30.5
1,V0,40,S48,1104.54,0,18,24,7.23
