Seed,Hour,Time (minutes),Starvations,Long Congestions,Short Congestions,Maintenance Violations,Maintenance Starvations,Bike Pickups,Bike Deliveries,Maintenance Time (minutes)
1,0,420,0,0,0,0,0,0,0,0.0
1,7,480,1,0,0,1,1,0,0,45.72
1,8,540,4,0,0,3,4,0,0,45.72
1,9,600,4,0,17,7,2,1,0,48.19
1,10,660,7,1,9,2,5,0,0,45.0
1,11,720,0,1,0,3,0,0,1,59.5
1,12,780,17,3,4,7,14,2,1,58.5
1,13,840,16,6,20,6,13,0,1,24.5
1,14,900,73,28,53,10,18,4,2,38.5
1,15,960,12,20,20,12,4,3,2,56.5
1,16,1020,38,21,20,3,11,0,3,40.0
1,17,1080,22,6,12,4,5,1,0,29.5
1,18,1140,17,25,8,3,11,0,0,63.64
1,19,1200,1,20,4,6,1,2,0,59.5
1,20,1260,3,8,4,5,2,0,0,0.0
1,21,1320,12,4,6,4,0,0,0,0.0
1,22,1380,0,0,1,0,0,0,0,0.0
1,23,1440,0,0,0,1,0,0,0,0.0
1,24,1500,0,0,0,0,0,0,0,0.0
1,25,1560,0,0,0,0,0,0,0,0.0
1,26,1620,0,0,0,0,0,0,0,0.0
1,27,1680,0,0,0,0,0,0,0,0.0
1,28,1740,0,0,2,0,0,0,0,0.0
1,29,1800,16,4,10,6,8,0,0,0.0
1,30,1860,23,14,19,12,19,0,0,0.0
1,31,1920,19,8,16,5,11,5,3,42.5
1,32,1980,2,5,7,5,1,1,5,61.0
1,33,2040,14,5,14,6,5,2,1,43.09
1,34,2100,10,3,8,4,8,0,0,30.0
1,35,2160,23,2,11,11,13,0,0,60.0
1,36,2220,12,6,5,5,8,2,1,58.0
1,37,2280,33,13,15,7,24,0,1,56.5
1,38,2340,43,14,13,20,26,0,0,35.0
1,39,2400,8,12,16,14,5,0,0,59.0
1,40,2460,9,22,15,11,8,1,0,39.5
1,41,2520,15,12,7,14,7,0,0,55.0
1,42,2580,30,10,3,9,30,0,0,58.0
1,43,2640,16,3,3,9,16,0,1,44.5
1,44,2700,20,4,9,6,20,0,0,0.0
1,45,2760,4,3,2,3,4,0,0,0.0
1,46,2820,0,1,3,0,0,0,0,0.0
1,47,2880,0,0,1,0,0,0,0,0.0
1,48,2940,0,0,0,0,0,0,0,0.0
1,49,3000,0,0,0,0,0,0,0,0.0
1,50,3060,0,0,0,0,0,0,0,0.0
1,51,3120,0,0,0,0,0,0,0,0.0
1,52,3180,4,0,0,1,4,0,0,0.0
1,53,3240,41,1,23,7,41,0,0,0.0
1,54,3300,46,3,25,15,43,0,0,0.0
1,55,3360,26,4,9,9,23,3,2,44.71
1,56,3420,19,0,11,10,17,0,3,38.5
1,57,3480,55,3,10,16,51,4,0,46.0
1,58,3540,19,3,9,13,19,2,1,55.5
1,59,3600,32,5,12,13,30,0,2,64.0
1,60,3660,38,11,5,11,36,1,3,28.24
1,61,3720,53,12,15,16,45,2,3,67.21
1,62,3780,54,12,5,31,52,0,0,30.0
1,63,3840,53,10,13,20,49,0,0,50.0
1,64,3900,52,8,11,14,48,0,0,48.67
1,65,3960,37,7,10,16,36,1,0,65.0
1,66,4020,38,13,4,11,36,1,0,39.5
1,67,4080,13,5,6,8,13,1,0,29.13
1,68,4140,18,11,9,4,18,0,0,0.0
1,69,4200,8,8,4,3,8,0,0,0.0
1,70,4260,0,1,0,1,0,0,0,0.0
1,71,4320,0,0,0,0,0,0,0,0.0
1,72,4380,0,0,0,0,0,0,0,0.0
1,73,4440,0,0,0,0,0,0,0,0.0
1,74,4500,0,0,0,0,0,0,0,0.0
1,75,4560,0,0,0,0,0,0,0,0.0
1,76,4620,6,6,1,2,6,0,0,0.0
1,77,4680,32,5,6,14,30,0,0,0.0
1,78,4740,52,2,11,19,46,0,0,0.0
1,79,4800,43,4,7,11,43,4,3,63.5
1,80,4860,25,5,8,8,22,0,3,29.5
1,81,4920,43,2,9,8,39,0,1,60.4
1,82,4980,46,5,8,16,46,2,1,48.5
1,83,5040,68,2,12,15,68,2,1,56.0
1,84,5100,64,0,9,12,64,2,4,26.17
1,85,5160,72,1,10,19,72,0,0,42.33
1,86,5220,77,8,8,43,76,0,0,30.0
1,87,5280,59,3,11,29,52,0,0,55.5
1,88,5340,60,6,10,21,55,0,0,58.0
1,89,5400,54,4,10,17,53,0,0,30.0
1,90,5460,41,1,3,15,40,0,0,60.0
1,91,5520,35,1,1,9,35,0,0,30.0
1,92,5580,23,1,3,4,23,0,0,0.0
1,93,5640,22,5,1,3,22,0,0,0.0
1,94,5700,0,1,0,3,0,0,0,0.0
1,95,5760,0,0,0,0,0,0,0,0.0
1,96,5820,0,0,0,0,0,0,0,0.0
1,97,5880,0,0,0,0,0,0,0,0.0
1,98,5940,0,0,0,0,0,0,0,0.0
1,99,6000,0,0,0,1,0,0,0,0.0
1,100,6060,12,0,4,3,12,0,0,0.0
1,101,6120,55,0,4,15,52,0,0,0.0
1,102,6180,93,0,7,6,92,0,0,0.0
1,103,6240,65,0,8,5,65,0,0,63.79
1,104,6300,26,0,3,5,26,2,0,55.0
1,105,6360,45,0,11,9,45,0,2,59.5
1,106,6420,44,0,4,5,44,0,0,28.0
1,107,6480,54,8,15,13,54,2,2,69.5
1,108,6540,85,4,7,18,83,0,0,30.0
1,109,6600,100,7,13,18,99,0,0,50.0
1,110,6660,103,3,7,23,103,0,0,65.0
1,111,6720,84,3,8,18,84,0,0,30.0
1,112,6780,61,5,12,10,59,0,0,65.0
1,113,6840,35,10,13,7,33,1,0,59.5
1,114,6900,27,10,6,8,27,0,0,49.25
1,115,6960,17,2,4,5,17,1,1,59.0
1,116,7020,13,2,0,3,13,0,0,0.0
1,117,7080,32,6,2,6,28,0,0,0.0
1,118,7140,0,0,0,1,0,0,0,0.0
1,119,7200,0,0,0,0,0,0,0,0.0
1,120,7260,0,0,0,1,0,0,0,0.0
1,121,7320,0,0,0,1,0,0,0,0.0
1,122,7380,0,0,0,0,0,0,0,0.0
1,123,7440,0,0,0,0,0,0,0,0.0
1,124,7500,4,1,0,1,4,0,0,0.0
1,125,7560,7,0,0,0,7,0,0,0.0
1,126,7620,14,0,0,3,14,0,0,0.0
1,127,7620,0,0,0,0,0,0,0,0.0
