episode,service_level,rebalancing_imbalance,anticipated_demand_shortfall,vehicle_functional_load,squared_starvation_penalty,squared_congestion_penalty,proximity_to_demand_gravity,delivery_potential,pickup_potential,starvation_gravity,congestion_gravity
0,0.9158739255014327,-0.39201990310298435,-0.029027985840239256,-0.12242953746057446,-0.10064352459519782,-0.12340495715073144,-0.10653466677823901,0.022047042466305768,-0.12164863533474808,0.00011649391404152049,-0.026919603724750645
1,0.9269186712485682,-0.41151721041663536,-0.03815276679173099,-0.0597298421047277,-0.17548688549121666,-0.1292854134361346,-0.10958448977866547,0.02780649596921184,-0.07331977755602419,0.006353161331625934,-0.02850948360840047
2,0.9055434537669946,-0.5293634975159395,-0.04798183489613642,-0.061719944231009155,-0.2660602751507778,-0.16249912503787248,-0.1304727162420807,0.03215204133042369,-0.06527845252650295,0.008304797036754024,-0.029841930957071962
3,0.9162364384586607,-0.5410834476166477,-0.06216870050132873,-0.018650974916637825,-0.35869017109531404,-0.16964143264030596,-0.14333745267788398,0.03389455088868285,-0.015041792380016671,0.006496483179358397,-0.03169656825463962
4,0.9131945741937895,-0.567770737651258,-0.07445073803465377,-0.010109763822720453,-0.4195742592852831,-0.18379251272844935,-0.1516349348011679,0.025046505084227254,-0.023064893705673828,0.00498810214502628,-0.03856522197096985
5,0.9156822041894697,-0.58422102697337,-0.08204951039691705,0.004044522833253098,-0.48061506938600096,-0.18982278554762025,-0.14882753120200268,0.01927464182195306,-0.008966015310544438,0.006190318189439271,-0.04325268880473437
6,0.9153238182934316,-0.5889270867041453,-0.09201026423209203,0.04708066018386381,-0.49654724125561445,-0.19787135532792147,-0.14542991677367026,0.03741132024855088,-0.0024974541005474784,0.008469668522279213,-0.04344071484924011
7,0.918561184009765,-0.5792425782121975,-0.09652943686105489,0.037963343516017864,-0.5437391304522444,-0.19670574222280846,-0.13509358768474902,0.009695556967882312,0.027273922235051706,0.006438306047311164,-0.04047018107957816
8,0.9254885528170356,-0.5547853903973816,-0.10329171696398956,0.06637627840009123,-0.5949794271915648,-0.19106672627075003,-0.13487777728005615,-0.012511971840077022,0.03910286768283594,0.0024642937327262956,-0.04241520056525618
9,0.9132756187788413,-0.668465571338653,-0.11196171356740436,-0.013319368420435806,-0.6407540957020126,-0.23093942759912903,-0.1536107376290606,-0.04154567243065079,-0.012620895939055295,-0.0013302331597963158,-0.05063664170325217
10,0.9074414935577176,-0.6922950925542337,-0.1163071541995186,-0.016871699699605947,-0.6748579636639935,-0.23933140834256708,-0.15848080747887622,-0.04808682829360667,-0.033099710806260584,-0.0013854495801948823,-0.05424252142408698
11,0.9198143466284291,-0.64486702967421,-0.12187405876934622,0.011406060966313901,-0.7095396466219177,-0.22943805882257817,-0.1414754296295524,-0.06314781246280336,0.00880766874384975,-0.003272578352119965,-0.05360389803207385
12,0.9251880694061165,-0.5621938452446846,-0.12581608585477722,0.05677186752492021,-0.733702352551709,-0.20546227400435182,-0.13889202027492092,-0.07661042106653873,0.03459808221516034,-0.005916292842587237,-0.053717695112531154
13,0.9198911503765004,-0.5512189454804202,-0.126973132732989,0.05435488882015583,-0.7766075925255557,-0.203449554681555,-0.11802053440054344,-0.0921462223684286,0.047776719915141035,-0.00838195329309251,-0.04758246360124392
14,0.9131505189000834,-0.6061873324409106,-0.1305889010308366,0.04849599398605096,-0.8081033622498707,-0.22349318196441278,-0.1165084109907082,-0.0922031446622845,0.015581775481217737,-0.005703887437293508,-0.05196578019119942
15,0.9215576880160679,-0.637020356043968,-0.13163837961366082,0.022015732865322084,-0.8311402746105416,-0.2346951798150576,-0.11334403018525716,-0.09925199101499471,0.010257174003201261,-0.008270295887621458,-0.05162639860074018
16,0.9105712658948567,-0.6385190026859706,-0.13833749415431404,0.04588517839867225,-0.8683451434000692,-0.23838060489294352,-0.11064165632046467,-0.09524309047426444,0.024951607988698717,-0.008322885717044537,-0.05128097420806691
17,0.9071783565636561,-0.6914017803379926,-0.14073135566870207,0.03200578939742435,-0.9003463926994577,-0.2589443738281942,-0.11830204366161318,-0.09468247878331842,0.012984644140612116,-0.0060409039749996915,-0.0544416964003014
18,0.9161871592973955,-0.6564724606719682,-0.14074932409823218,0.05593743817034695,-0.9320669573108729,-0.2513164336939773,-0.10347996856233685,-0.10746219503491158,0.02812581244837896,-0.008460866033865276,-0.05225150983125697
19,0.9115187584752147,-0.7051643026616721,-0.14804462461517623,0.006697129366170892,-0.9660746092046506,-0.2722631272717007,-0.1100911228607923,-0.12295771958285885,0.022793633779774385,-0.011691349134062093,-0.05104860080728849
20,0.922071090403547,-0.6470432671835855,-0.1476958708278563,0.06318140431894559,-0.9813712672299425,-0.25213854036469247,-0.10208674554698902,-0.1156328383927018,0.04286644544929629,-0.00999418901874598,-0.049913272098252415
21,0.9173556810954394,-0.6369084391912812,-0.14965611329716091,0.05639407356227439,-0.99896763209917,-0.24769288302166545,-0.10511121689376979,-0.12282423832478769,0.04762069160074339,-0.011189350467824639,-0.05183003229854928
22,0.9160374168826778,-0.647089776334304,-0.14827829268636358,0.07185320992231545,-1.0158821895978898,-0.2533304845769537,-0.09833724671790771,-0.10905325207033027,0.06440790523442037,-0.009896163229924709,-0.050809932239507354
23,0.9190330294425347,-0.6798529806302918,-0.15182837384877823,0.05103439562615458,-1.0374599649290133,-0.26457585184495747,-0.11179934573650234,-0.12140822823133475,0.04611266094392628,-0.01139494227090962,-0.05517556549933453
24,0.9205919371448187,-0.6759184745523774,-0.15323421265308554,0.047702040689658366,-1.048322645974376,-0.26259416767557414,-0.11134819588121576,-0.12812375149097677,0.04944436960123541,-0.011035376269498217,-0.05672698326837291
25,0.9133585020783281,-0.701650685370888,-0.15665215889427772,0.02729203842495631,-1.062447973862577,-0.2705222516610197,-0.12147422078894109,-0.12768475866627954,0.027970077059524225,-0.010895597029395878,-0.05945486135624906
26,0.9185723925920372,-0.6576726131235551,-0.1562418191190398,0.06414172091684403,-1.0753493946426194,-0.25808129162779214,-0.11842158177974717,-0.12770674613288616,0.05121872329070248,-0.01240339079927174,-0.06007364827596584
27,0.9167846889952154,-0.6546339716512788,-0.156191237246326,0.03989140856900308,-1.0780677867043782,-0.2562848346655226,-0.11814229307728143,-0.13258936861858475,0.041909020707647376,-0.01588717997939614,-0.06172871577416956
28,0.9165879284931403,-0.633782363365234,-0.1562909546679635,0.0550795234813957,-1.0900281650741757,-0.250470042155951,-0.11356251885989686,-0.13844114016314177,0.05098551713077381,-0.0159501286815034,-0.06074797240401029
29,0.9209244830686245,-0.613412630821094,-0.15734214573627045,0.06875774271690828,-1.09689921143244,-0.2451100621026913,-0.10994769128780109,-0.13822005035287188,0.05337829321086614,-0.016501952498554386,-0.05983878691725406
30,0.9095134800123954,-0.6435561470954766,-0.15937241159155638,0.033537389838550924,-1.1037573227236441,-0.2562160732011447,-0.11313025901037596,-0.14215265418923875,0.04258352589362411,-0.01848219081026082,-0.0601115576570173
31,0.9244013683010263,-0.6336082910939559,-0.1595662989167667,0.05480653263159953,-1.1027406698779554,-0.2550105523746208,-0.10186672538465495,-0.13106569622400766,0.04557390251389005,-0.017347799193907994,-0.06010876057073014
32,0.9184799032940465,-0.6120568263965321,-0.15985712542746705,0.06672384226408123,-1.1086850755442934,-0.24894838245089446,-0.09613886500655042,-0.12990785247519313,0.06114403300150833,-0.01639058702576727,-0.058312508808377614
33,0.9174112170583377,-0.6694192679205453,-0.16224435698277478,0.0332400679716287,-1.1258200638625313,-0.26862854655130475,-0.11249376781283815,-0.13179740737116222,0.03656238699561885,-0.016520058968499216,-0.06339001341551087
34,0.9185357437551571,-0.6630069312087591,-0.16205770972383485,0.0418061489426348,-1.1304709957499006,-0.2674148470188622,-0.10873322610934616,-0.12743580253256415,0.03939643010524413,-0.016304215485250774,-0.06457173041464366
35,0.9129207051820194,-0.6545016638887136,-0.16213455861326467,0.06719200412603323,-1.140992542628746,-0.265762641305024,-0.10295172485991942,-0.12074432892343066,0.04150085795823493,-0.015407701445671582,-0.06618989038820167
36,0.9147821498567767,-0.6683008163711663,-0.16268703967741724,0.028640436118649092,-1.1481104046326132,-0.2691495596779829,-0.10166288019576365,-0.13232547068436212,0.038604941078250896,-0.01756495278586505,-0.0654087334724563
37,0.9157759078159351,-0.6689949337841479,-0.16188280651366316,0.038108142724662925,-1.1502610174698256,-0.2692625256186065,-0.09987089424177568,-0.13297513612650813,0.032824566866629545,-0.017554396057732766,-0.06664799116891551
38,0.9204588332956003,-0.6745355384146814,-0.1607216453331395,0.03438347946157416,-1.1518183621532814,-0.2720930923225903,-0.09915082347932805,-0.13613431233483705,0.02186674635065164,-0.01791183674179187,-0.0669107077002626
39,0.9093868281604844,-0.6743820048992977,-0.16107324751853955,0.05245572512354471,-1.1673923191489721,-0.2744805900815706,-0.09507328532925453,-0.12941251489217515,0.03548516153381142,-0.015991699442167388,-0.06798265579762493
40,0.917438505921652,-0.6453071215320193,-0.1599507893316344,0.05819541740333586,-1.1711469406124688,-0.26520093862435523,-0.08902320868872811,-0.12898556334132236,0.05502302411999472,-0.0164240963773169,-0.06658944748155247
41,0.9226752210078705,-0.6406174720235629,-0.15897776006897799,0.05865750303858291,-1.1761807714553296,-0.265401946227488,-0.08214609992406631,-0.13135944857815746,0.05740036804836577,-0.01690461868287211,-0.06559652492704394
42,0.9186793959910236,-0.6340047062058746,-0.1609163335915342,0.059260174098433545,-1.1885330648707275,-0.2628775542139338,-0.08600101752726243,-0.13518521269103026,0.06356080985337936,-0.018023849480665485,-0.06656124416812846
43,0.9145912910618793,-0.6614071535803561,-0.16290163966522433,0.048681604326128454,-1.1968853997521949,-0.27148479789003455,-0.09072658873608361,-0.13304399576633777,0.05512323659305119,-0.01725929988528,-0.06789709249685558
44,0.9191948980720316,-0.6753813103401937,-0.16238481628670096,0.05167658352065771,-1.2001605794646422,-0.27649367589890145,-0.08978534650347707,-0.13165718690854453,0.03873078731623485,-0.017080939503317412,-0.06859421650315105
