seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
45,6,5,5,0,0,0,0,4,1,50,46,38,1,0,1,0,0,0,0.0106,0.0199
45,7,5,5,0,0,0,0,305,130,3048,2743,2748,12,6,18,0,0,0,0.0278,0.0265
45,8,5,5,0,0,0,0,340,89,3162,2822,2826,8,9,17,0,0,0,0.0384,0.0384
45,9,5,5,0,0,0,0,351,141,3268,2917,2914,12,16,28,0,0,0,0.053,0.0596
45,10,5,5,0,0,0,0,366,187,3528,3162,3159,17,13,30,0,0,0,0.0768,0.0768
45,11,5,5,0,0,0,0,375,179,3070,2695,2699,6,16,22,0,0,0,0.0848,0.098
45,12,5,5,0,0,0,0,316,126,2322,2006,2010,6,2,8,0,0,0,0.0927,0.1007
45,13,5,5,0,0,0,0,163,62,1664,1501,1497,5,6,11,0,0,0,0.0993,0.1086
45,14,5,5,0,0,0,0,587,119,2874,2287,2286,13,12,25,0,0,0,0.1166,0.1245
45,15,5,5,0,0,0,0,479,38,3204,2725,2725,7,7,14,0,0,0,0.1258,0.1338
45,16,5,5,0,0,0,0,486,101,3366,2880,2876,11,9,20,0,0,0,0.1404,0.1457
45,17,5,5,0,0,0,0,486,74,3344,2858,2864,16,15,31,0,0,0,0.1616,0.1656
45,18,5,5,0,0,0,0,480,125,2984,2504,2505,8,7,15,0,0,0,0.1722,0.1748
45,19,5,5,0,0,0,0,280,60,2252,1972,1972,9,4,13,0,0,0,0.1841,0.1801
45,20,5,5,0,0,0,0,225,76,1736,1511,1505,5,5,10,0,0,0,0.1907,0.1868
45,21,5,5,0,0,0,0,528,141,3096,2568,2568,11,15,26,0,0,0,0.2053,0.2053
45,22,5,5,0,0,0,0,505,116,3020,2515,2519,14,9,23,0,0,0,0.2225,0.2172
45,23,5,5,0,0,0,0,540,91,3228,2688,2684,10,13,23,0,0,0,0.2358,0.2344
45,24,5,5,0,0,0,0,675,97,3396,2721,2723,13,14,27,0,0,0,0.253,0.253
45,25,5,5,0,0,0,0,707,112,3000,2293,2291,5,8,13,0,0,0,0.2596,0.2636
45,26,5,5,0,0,0,0,403,83,2216,1813,1821,7,6,13,0,0,0,0.2689,0.2715
45,27,5,5,0,0,0,0,284,89,1692,1408,1408,5,5,10,0,0,0,0.2755,0.2781
