seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
42,6,5,5,0,0,0,0,1,0,34,33,21,1,0,1,0,0,0,0.0171,0.0303
42,7,5,5,268,273,3,10,156,106,3274,3118,3122,4,15,19,7,5,12,0.0132,0.0358
42,8,5,5,295,312,3,14,138,51,3104,2966,2973,17,5,22,10,12,22,0.0226,0.0239
42,9,5,5,288,287,2,4,131,71,3204,3073,3073,14,10,24,10,4,14,0.0279,0.0319
42,10,5,5,327,339,3,12,178,80,3486,3308,3302,11,11,22,16,12,28,0.0213,0.0306
42,11,5,5,270,277,2,7,150,48,3064,2914,2916,10,11,21,6,7,13,0.0266,0.0359
42,12,5,5,200,223,3,16,60,55,2380,2320,2322,8,17,25,12,14,26,0.0213,0.0373
42,13,5,5,236,227,3,10,57,59,1706,1649,1646,16,4,20,9,0,9,0.0311,0.0297
42,14,5,5,311,324,3,12,248,69,3136,2888,2884,10,13,23,14,13,27,0.0256,0.031
42,15,5,5,297,314,3,15,128,45,2974,2846,2849,17,14,31,15,17,32,0.0269,0.0296
42,16,5,5,272,280,2,8,189,43,3248,3059,3057,13,13,26,9,8,17,0.0323,0.0363
42,17,5,5,275,301,3,13,218,143,3518,3300,3300,13,13,26,16,23,39,0.0279,0.0359
42,18,5,5,276,276,3,13,134,46,3074,2940,2947,12,14,26,20,3,23,0.0176,0.0379
42,19,5,5,277,290,3,12,86,45,2422,2336,2337,4,10,14,4,13,17,0.0176,0.0353
42,20,5,5,200,215,3,12,62,92,1676,1614,1604,3,6,9,11,15,26,0.0068,0.0271
42,21,5,5,285,292,2,7,185,101,3088,2903,2908,10,14,24,7,7,14,0.0108,0.0366
42,22,5,5,319,325,2,6,126,45,3072,2946,2950,12,7,19,9,6,15,0.0149,0.038
42,23,5,5,284,309,3,14,156,23,3342,3186,3184,10,9,19,12,19,31,0.0122,0.0311
42,24,5,5,298,312,2,7,222,95,3370,3148,3144,12,7,19,7,10,17,0.0175,0.031
42,25,5,5,282,276,2,10,124,91,3066,2942,2949,11,8,19,11,4,15,0.0191,0.0286
42,26,5,5,278,296,2,8,95,39,2384,2289,2289,8,11,19,10,17,27,0.0162,0.0323
42,27,5,5,216,235,2,3,43,21,1660,1617,1616,8,5,13,8,8,16,0.016,0.0348
