seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_exponential_starvation_penalty,phi_exponential_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_time_remaining_fraction,phi_functional_bikes_time_penalty,phi_reachable_imbalance_fraction,phi_recoverable_imbalance_fraction,phi_imbalance_hotspot_distance,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
42,7,6,5,D0,True,16,0,16,0,0,0,0,0,4,"['B71', 'B242', 'B625', 'B319']",5.0,S41,2.23,20,0,20,0.0,-9.201354,,,-9.201354,True,True,,,,,,,0.66068,0.289516,0.141557,,,1.0,0.764286,,,0.154494,0.067084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,6,27,S41,False,20,0,20,19,0,0,1,0,0,"['B130', 'B500', 'B322', 'B487', 'B122', 'B762', 'B333', 'B633', 'B172', 'B563', 'B405', 'B641', 'B721', 'B324', 'B503', 'B82', 'B694', 'B71', 'B242', 'B625']",13.0,S47,1.45,1,1,2,0.0,-9.498844,,,-9.498844,True,True,,,,,,,0.685055,0.302114,0.152361,,,1.0,0.857937,,,0.13037,0.066389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,6,42,S47,False,1,1,2,0,17,0,0,0,0,"['B84', 'B742', 'B419', 'B716', 'B259', 'B765', 'B155', 'B457', 'B282', 'B428', 'B287', 'B350', 'B679', 'B587', 'B437', 'B746', 'B425']",11.5,S26,7.49,18,1,19,0.0,-9.393857,,,-9.393857,False,False,,,,,,,0.606799,0.251292,0.151309,,,1.0,0.90303,,,0.247911,0.059198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,7,1,S26,False,18,1,19,18,0,0,0,0,0,"['B319', 'B84', 'B742', 'B419', 'B716', 'B259', 'B765', 'B155', 'B457', 'B282', 'B428', 'B287', 'B350', 'B679', 'B587', 'B437', 'B746', 'B425']",12.0,S59,8.38,0,1,1,0.0,-9.356873,,,-9.356873,False,False,,,,,,,0.605516,0.272665,0.145033,,,1.0,0.876068,,,0.259379,0.06734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,7,21,S59,False,0,1,1,0,19,0,0,0,0,"['B374', 'B375', 'B313', 'B379', 'B178', 'B628', 'B147', 'B673', 'B17', 'B667', 'B95', 'B634', 'B460', 'B63', 'B197', 'B480', 'B258', 'B718', 'B654']",12.5,S24,9.52,19,1,20,0.0,-9.289271,,,-9.289271,False,False,,,,,,,0.588839,0.241621,0.15589,,,1.0,0.880147,,,0.248536,0.076893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,7,43,S24,False,19,1,20,15,0,0,0,0,0,"['B374', 'B375', 'B313', 'B379', 'B178', 'B628', 'B147', 'B673', 'B17', 'B667', 'B95', 'B634', 'B460', 'B63', 'B197']",10.5,S29,7.96,4,1,5,0.0,-9.150684,,,-9.150684,False,False,,,,,,,0.555484,0.220503,0.147744,,,1.0,0.8725,,,0.231391,0.082953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,8,2,S29,False,4,1,5,0,14,0,0,0,0,"['B710', 'B767', 'B323', 'B691', 'B558', 'B662', 'B415', 'B713', 'B441', 'B43', 'B674', 'B526', 'B232', 'B687']",10.0,S36,5.98,18,1,19,0.0,-9.174781,,,-9.174781,True,False,,,,,,,0.565747,0.210493,0.164953,,,1.0,0.8725,,,0.223545,0.102798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,8,18,S36,False,18,1,19,12,0,0,0,0,0,"['B480', 'B258', 'B718', 'B654', 'B710', 'B767', 'B323', 'B691', 'B558', 'B662', 'B415', 'B713']",9.0,S38,6.19,6,1,7,0.0,-9.113467,,,-9.113467,False,False,,,,,,,0.550353,0.217157,0.155344,,,1.0,0.86381,,,0.211577,0.101043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,8,33,S38,False,6,1,7,0,13,0,0,0,0,"['B9', 'B734', 'B665', 'B113', 'B144', 'B233', 'B161', 'B346', 'B169', 'B367', 'B646', 'B552', 'B269']",9.5,S6,11.75,19,1,20,0.0,-9.091012,,,-9.091012,False,False,,,,,,,0.536241,0.189053,0.159171,,,0.976923,0.882222,,,0.224882,0.10824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,8,54,S6,False,19,1,20,0,0,0,0,0,0,[],3.0,S22,5.96,19,1,20,0.0,-9.201394,,,-9.201394,False,False,,,,,,,0.555484,0.217884,0.150834,,,1.0,0.906364,,,0.14295,0.113661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
