seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
47,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107,0.0388
47,7,5,5,332,338,2,4,173,82,3062,2889,2885,12,11,23,1,6,7,0.0254,0.0481
47,8,5,5,320,329,2,3,172,113,3018,2846,2852,13,8,21,5,9,14,0.0358,0.0543
47,9,5,5,343,354,2,1,120,58,3170,3050,3045,11,10,21,8,10,18,0.0393,0.0654
47,10,5,5,307,315,2,3,184,60,3432,3248,3251,8,11,19,5,4,9,0.0431,0.0758
47,11,5,5,277,281,2,9,233,63,3062,2829,2829,14,11,25,12,0,12,0.0463,0.0794
47,12,5,5,257,266,2,13,57,30,2188,2131,2134,4,7,11,10,12,22,0.0384,0.0715
47,13,5,5,291,297,2,9,35,18,1730,1695,1693,3,4,7,8,12,20,0.0317,0.0646
47,14,5,5,292,312,2,6,204,47,3212,3008,3005,13,10,23,2,10,12,0.0459,0.0696
47,15,5,5,328,328,2,0,170,59,2970,2800,2804,12,11,23,5,0,5,0.0551,0.0827
47,16,5,5,295,305,2,9,203,63,3240,3037,3033,8,6,14,12,6,18,0.0501,0.0804
47,17,5,5,310,302,1,0,223,112,3364,3141,3144,14,15,29,8,0,8,0.058,0.1001
47,18,5,5,294,298,2,10,185,43,3024,2839,2839,13,14,27,4,9,13,0.0686,0.1055
47,19,5,5,267,287,2,13,85,40,2198,2113,2116,10,7,17,13,6,19,0.0652,0.0985
47,20,5,5,238,247,2,11,44,30,1678,1634,1622,3,8,11,21,4,25,0.0417,0.0954
47,21,5,5,302,302,2,7,179,54,3050,2871,2877,15,8,23,12,13,25,0.0453,0.096
47,22,5,5,283,300,3,8,163,70,3112,2949,2945,7,7,14,11,18,29,0.0395,0.0934
47,23,5,5,272,286,2,7,234,116,3292,3058,3066,8,14,22,15,8,23,0.0302,0.1025
47,24,5,5,320,328,2,10,205,94,3418,3213,3208,19,7,26,5,7,12,0.0488,0.0989
47,25,5,5,326,318,2,5,191,51,3076,2885,2891,13,7,20,7,0,7,0.0558,0.1023
47,26,5,5,288,308,2,9,112,59,2476,2364,2366,11,14,25,6,15,21,0.0619,0.108
47,27,5,5,323,317,2,4,68,48,1626,1558,1555,10,6,16,13,4,17,0.058,0.1107
