seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_exponential_starvation_penalty,phi_exponential_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_time_remaining_fraction,phi_functional_bikes_time_penalty,phi_reachable_imbalance_fraction,phi_recoverable_imbalance_fraction,phi_imbalance_hotspot_distance,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
44,7,6,14,D0,True,20,0,20,0,0,0,0,0,0,[],3.0,S41,2.23,20,0,20,0.0,-10.110155,,,-10.110155,True,True,,,,,,,0.591405,,,,,1.0,0.855556,,,0.104698,0.07032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,6,34,S41,False,20,0,20,20,0,0,0,0,0,"['B347', 'B268', 'B748', 'B577', 'B364', 'B434', 'B233', 'B91', 'B435', 'B684', 'B93', 'B238', 'B265', 'B41', 'B199', 'B641', 'B315', 'B695', 'B539', 'B521']",13.0,S53,6.04,0,0,0,0.0,-10.124456,,,-10.124456,False,False,,,,,,,0.627325,,,,,1.0,0.825641,,,0.095619,0.066457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,6,53,S53,False,0,0,0,0,19,0,0,0,0,"['B75', 'B96', 'B60', 'B550', 'B728', 'B586', 'B532', 'B479', 'B431', 'B235', 'B181', 'B154', 'B661', 'B421', 'B605', 'B208', 'B336', 'B270', 'B536']",12.5,S27,4.78,19,0,19,0.0,-10.470001,,,-10.470001,False,False,,,,,,,0.590122,,,,,0.933333,0.978571,,,0.14908,0.076426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,7,11,S27,False,19,0,19,15,0,0,0,0,0,"['B75', 'B96', 'B60', 'B550', 'B728', 'B586', 'B532', 'B479', 'B431', 'B235', 'B181', 'B154', 'B661', 'B421', 'B605']",10.5,S33,3.37,4,0,4,0.0,-10.469612,,,-10.469612,False,False,,,,,,,0.592688,,,,,0.930256,0.976923,,,0.136612,0.0885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,7,25,S33,False,4,0,4,0,15,0,0,0,0,"['B382', 'B719', 'B553', 'B202', 'B76', 'B729', 'B721', 'B744', 'B43', 'B493', 'B600', 'B407', 'B540', 'B72', 'B767']",10.5,S26,6.45,19,0,19,0.0,-10.289453,,,-10.289453,False,False,,,,,,,0.586273,,,,,0.921154,0.921154,,,0.142807,0.093118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,7,42,S26,False,19,0,19,17,0,0,0,0,0,"['B208', 'B336', 'B270', 'B536', 'B382', 'B719', 'B553', 'B202', 'B76', 'B729', 'B721', 'B744', 'B43', 'B493', 'B600', 'B407', 'B540']",11.5,S57,6.87,2,0,2,0.0,-10.137785,,,-10.137785,False,False,,,,,,,0.579859,,,,,0.938034,0.880162,,,0.109191,0.08912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,8,0,S57,False,2,0,2,0,15,0,0,0,0,"['B607', 'B391', 'B595', 'B285', 'B623', 'B762', 'B380', 'B531', 'B451', 'B626', 'B172', 'B437', 'B716', 'B145', 'B656']",10.5,S15,5.96,17,0,17,0.0,-10.134046,,,-10.134046,False,False,,,,,,,0.56703,,,,,1.0,0.883459,,,0.119503,0.096158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,8,16,S15,False,17,0,17,17,0,0,0,0,0,"['B72', 'B767', 'B607', 'B391', 'B595', 'B285', 'B623', 'B762', 'B380', 'B531', 'B451', 'B626', 'B172', 'B437', 'B716', 'B145', 'B656']",11.5,S63,5.25,0,0,0,0.0,-10.066577,,,-10.066577,False,False,,,,,,,0.570879,,,,,0.976923,0.857143,,,0.134427,0.087093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,8,33,S63,False,0,0,0,0,14,0,0,0,0,"['B610', 'B647', 'B230', 'B213', 'B654', 'B377', 'B537', 'B639', 'B478', 'B559', 'B679', 'B123', 'B616', 'B604']",10.0,S62,2.46,14,0,14,0.0,-10.007714,,,-10.007714,True,False,,,,,,,0.569596,,,,,0.916154,0.842308,,,0.147186,0.085331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,8,46,S62,False,14,0,14,0,6,1,0,0,0,"['B691', 'B485', 'B677', 'B302', 'B68', 'B755']",9.0,S22,7.3,20,0,20,0.0,-9.936194,,,-9.936194,True,True,,,,,,,0.511867,,,,,0.909091,0.879365,,,0.124632,0.103834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
