seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
44,7,4,0,0,0,0,0,0,0,0.0174,0.032,0,0,0,0,0,0,0,0,0,-25,-27,-28,-15,-11,-15,-15
44,7,5,0,0,0,0,0,0,0,0.0174,0.032,0,0,0,0,18,2,198,168,216,0,0,0,0,0,0,0
44,7,6,19,20,1,0,3,2,0,0.0187,0.032,0,0,2,0,30,12,194,185,224,0,0,1,0,1,0,0
44,7,7,15,32,0,0,3,1,1,0.02,0.0334,0,0,2,0,3,8,129,154,132,1,0,0,1,0,0,0
44,7,8,35,17,0,0,4,0,1,0.02,0.0347,1,0,1,1,10,6,134,131,144,1,0,0,0,0,0,0
44,7,9,29,34,0,0,5,0,0,0.02,0.0347,0,0,0,0,2,3,182,176,184,0,0,0,0,0,0,0
44,7,10,22,18,0,0,3,1,0,0.02,0.0347,0,0,1,0,9,8,189,189,198,0,1,0,0,0,0,0
44,7,11,15,34,0,0,4,1,0,0.0214,0.0347,0,0,1,0,8,1,204,190,212,1,0,0,0,0,0,0
44,7,12,32,14,0,0,3,0,0,0.0227,0.0347,0,0,0,0,10,0,210,218,220,0,0,0,0,0,0,0
44,7,13,18,36,1,1,5,2,1,0.0237,0.0343,0,10,3,10,18,0,212,216,230,0,1,0,0,0,1,1
44,7,14,10,19,0,0,2,1,2,0.0264,0.0369,0,0,3,0,10,6,392,359,402,1,1,1,0,0,0,0
44,7,15,30,31,0,0,6,0,1,0.0264,0.0383,0,0,1,0,7,25,207,224,214,0,0,0,0,0,0,1
44,7,16,33,30,0,0,4,0,0,0.0264,0.0383,0,0,0,0,5,2,179,189,184,0,0,0,0,0,0,0
44,7,17,24,10,0,0,3,1,0,0.0277,0.0383,0,0,1,0,3,3,129,144,132,0,0,0,0,0,0,1
44,7,18,26,26,0,0,4,1,0,0.029,0.0383,0,0,1,0,5,1,157,153,162,1,0,0,0,0,0,0
44,7,19,13,22,1,3,4,0,1,0.0278,0.0344,1,0,1,1,0,1,106,110,106,0,0,0,0,0,1,0
44,7,20,0,0,0,0,0,1,0,0.0278,0.0358,0,0,1,0,1,2,83,87,84,0,1,0,0,0,0,0
44,7,21,0,0,0,0,0,1,0,0.0291,0.0358,0,0,1,0,1,4,83,86,84,0,0,0,0,0,1,0
44,7,22,0,0,0,0,0,0,0,0.0305,0.0358,0,0,0,0,0,2,0,15,0,0,0,0,0,0,0,0
44,7,23,0,0,0,0,0,0,0,0.0305,0.0358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,0,0,0,0,0,0,0,0,0.0305,0.0358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,1,0,0,0,0,0,0,0,0.0305,0.0358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,2,0,0,0,0,0,0,0,0.0305,0.0358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,3,0,0,0,0,0,0,0,0.0305,0.0358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,4,0,0,0,0,0,0,0,0.0305,0.0358,0,0,0,0,4,1,26,21,30,0,0,0,0,0,0,0
44,8,5,0,0,0,0,0,0,0,0.0305,0.0358,0,0,0,0,15,9,193,165,208,0,0,0,0,0,0,0
44,8,6,0,13,1,0,3,1,2,0.0303,0.0382,0,5,3,5,22,16,188,189,210,0,2,0,0,1,0,0
44,8,7,32,17,0,0,3,1,0,0.0316,0.0382,0,0,1,0,4,3,120,130,124,0,0,0,1,0,0,0
44,8,8,20,15,0,0,3,1,0,0.0329,0.0382,0,0,1,0,3,7,121,124,124,0,0,0,0,1,0,0
44,8,9,12,28,0,0,3,0,0,0.0342,0.0382,0,0,0,0,6,8,154,145,160,0,0,0,0,0,0,0
44,8,10,25,20,0,0,4,0,0,0.0329,0.0382,1,0,0,1,5,0,151,150,156,0,0,0,0,0,0,0
44,8,11,24,23,0,0,4,0,0,0.0329,0.0382,0,0,0,0,4,5,196,195,200,0,0,0,0,0,0,0
44,8,12,21,11,0,0,3,0,1,0.0329,0.0395,0,0,1,0,14,1,192,186,206,1,0,0,0,0,0,0
