seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
48,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0.0348
48,7,5,5,299,319,2,8,202,72,3286,3084,3087,17,11,28,1,16,17,0.0331,0.0384
48,8,5,5,328,331,2,4,176,64,2986,2810,2810,12,11,23,7,0,7,0.0399,0.0479
48,9,5,5,341,346,2,3,164,90,3272,3108,3111,13,11,24,11,12,23,0.0408,0.0579
48,10,5,5,310,330,2,4,245,74,3510,3265,3258,12,13,25,8,0,8,0.0476,0.0701
48,11,5,5,331,321,2,5,152,83,3104,2952,2957,6,7,13,11,7,18,0.0409,0.0726
48,12,5,5,284,292,2,11,65,70,2320,2255,2258,4,6,10,8,0,8,0.0361,0.0669
48,13,5,5,273,287,2,11,65,30,1490,1425,1420,7,3,10,4,16,20,0.0399,0.0559
48,14,5,5,298,296,1,0,199,68,2996,2797,2790,8,9,17,10,0,10,0.0372,0.0678
48,15,5,5,300,319,2,13,210,69,3084,2874,2880,14,6,20,14,11,25,0.0373,0.0587
48,16,5,5,341,353,2,4,253,72,3266,3013,3015,9,8,17,9,13,22,0.0369,0.0632
48,17,5,5,332,324,2,6,196,103,3470,3274,3269,10,15,25,6,0,6,0.0425,0.0757
48,18,5,5,304,315,2,7,188,46,3046,2858,2862,7,12,19,8,10,18,0.041,0.082
48,19,5,5,287,296,2,9,75,27,2274,2199,2199,16,9,25,7,7,14,0.0531,0.0822
48,20,5,5,275,286,2,9,80,38,1730,1650,1642,5,4,9,8,9,17,0.0491,0.0756
48,21,5,5,316,325,2,6,212,115,3092,2880,2886,16,5,21,10,0,10,0.0575,0.0749
48,22,5,5,243,252,2,11,205,117,3050,2845,2846,13,7,20,27,9,36,0.0389,0.0697
48,23,5,5,286,292,2,9,172,93,3208,3036,3034,14,16,30,10,17,27,0.0438,0.0782
48,24,5,5,313,313,2,9,204,70,3468,3264,3266,11,11,22,11,0,11,0.0443,0.0819
48,25,5,5,270,290,2,14,160,98,3042,2882,2883,15,15,30,12,18,30,0.0481,0.0828
48,26,5,5,276,276,2,11,76,38,2386,2310,2313,14,11,25,11,0,11,0.0528,0.084
48,27,5,5,271,289,2,7,56,55,1624,1568,1568,7,9,16,9,25,34,0.0489,0.0847
