seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
44,7,4,0,0,0,0,0,0,0,0.0174,0.032,0,0,0,0,0,0,0,0,0,-25,-27,-28,-15,-11,-15,-15
44,7,5,0,0,0,0,0,0,0,0.0174,0.032,0,0,0,0,18,2,198,168,216,0,0,0,0,0,0,0
44,7,6,19,20,1,0,3,2,0,0.0187,0.032,0,0,2,0,30,12,194,185,224,0,0,1,0,1,0,0
44,7,7,15,32,0,0,3,1,1,0.02,0.0334,0,0,2,0,3,8,129,154,132,1,0,0,1,0,0,0
44,7,8,35,17,0,0,3,0,1,0.0214,0.0347,0,0,1,0,10,6,134,131,144,1,0,0,0,0,0,0
44,7,9,11,27,0,0,3,0,0,0.0214,0.0347,0,0,0,0,4,6,180,171,184,0,0,0,0,0,0,0
44,7,10,35,19,0,0,5,0,0,0.0214,0.0347,0,0,0,0,8,2,190,188,198,0,0,0,0,0,0,0
44,7,11,22,28,0,0,4,0,0,0.0214,0.0347,0,0,0,0,2,0,210,203,212,0,0,0,0,0,0,0
44,7,12,25,29,0,0,4,0,0,0.0214,0.0347,0,0,0,0,8,0,212,207,220,0,0,0,0,0,0,0
44,7,13,13,23,0,0,4,1,1,0.0227,0.0347,0,0,2,0,9,8,221,227,230,0,1,1,0,0,0,0
44,7,14,36,19,0,0,3,0,1,0.0214,0.0374,2,0,1,2,13,6,389,362,402,0,1,0,0,0,0,0
44,7,15,20,37,0,0,3,0,1,0.02,0.0387,0,0,1,0,16,6,198,222,214,0,0,0,0,1,0,0
44,7,16,32,13,0,0,3,1,0,0.0214,0.0387,0,0,1,0,5,6,179,188,184,0,0,1,0,0,0,0
44,7,17,23,32,0,0,4,0,2,0.02,0.0414,1,0,2,1,4,8,128,138,132,0,0,1,0,0,0,1
44,7,18,24,21,0,0,4,0,2,0.02,0.0441,0,0,2,0,2,1,160,160,162,0,0,2,0,0,0,0
44,7,19,24,26,1,6,5,2,0,0.0213,0.0359,0,9,2,9,0,3,106,105,106,2,0,0,0,0,0,0
44,7,20,0,0,0,0,0,0,0,0.0226,0.0359,0,0,0,0,1,6,83,89,84,0,0,0,0,0,0,0
44,7,21,0,0,0,0,0,0,1,0.0226,0.0372,0,0,1,0,1,1,83,84,84,1,0,0,0,0,0,0
44,7,22,0,0,0,0,0,0,0,0.0226,0.0372,0,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0
44,7,23,0,0,0,0,0,0,0,0.0226,0.0372,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
44,8,0,0,0,0,0,0,0,0,0.0226,0.0372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,1,0,0,0,0,0,0,0,0.0226,0.0372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,2,0,0,0,0,0,0,0,0.0226,0.0372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,3,0,0,0,0,0,0,0,0.0226,0.0372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,4,0,0,0,0,0,0,0,0.0226,0.0372,0,0,0,0,5,0,25,21,30,0,0,0,0,0,0,0
44,8,5,0,0,0,0,0,0,0,0.0226,0.0372,0,0,0,0,18,8,190,164,208,0,0,0,0,0,0,0
44,8,6,16,18,1,0,3,3,0,0.0226,0.0372,1,0,3,1,15,12,195,192,210,0,0,0,2,0,0,1
44,8,7,15,33,0,0,3,0,0,0.0239,0.0372,1,0,0,1,5,6,119,128,124,0,0,0,0,0,0,0
44,8,8,27,15,0,0,4,1,2,0.0239,0.0399,1,0,3,1,7,1,117,126,124,1,1,0,0,0,1,0
44,8,9,20,30,0,0,3,0,0,0.0239,0.0399,0,0,0,0,10,1,150,137,160,0,0,0,0,0,0,0
44,8,10,24,26,0,0,4,0,0,0.0239,0.0399,0,0,0,0,4,0,152,146,156,0,0,0,0,0,0,0
44,8,11,31,14,0,0,4,0,0,0.0239,0.0399,0,0,0,0,3,0,197,207,200,0,0,0,0,0,0,0
44,8,12,12,29,0,0,3,1,0,0.0253,0.0399,0,0,1,0,9,1,197,186,206,0,1,0,0,0,0,0
