seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_exponential_starvation_penalty,phi_exponential_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_time_remaining_fraction,phi_functional_bikes_time_penalty,phi_reachable_imbalance_fraction,phi_recoverable_imbalance_fraction,phi_imbalance_hotspot_distance,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
48,7,6,15,D0,True,20,0,20,0,0,0,0,0,0,[],3.0,S66,1.4,20,0,20,0.0,-8.05263,,,-8.05263,True,True,,,,,,,0.570879,,,,,,,,,0.107196,0.077201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,6,34,S66,False,20,0,20,18,0,0,0,0,0,"['B629', 'B239', 'B107', 'B375', 'B194', 'B451', 'B600', 'B106', 'B180', 'B580', 'B341', 'B727', 'B295', 'B666', 'B753', 'B406', 'B703', 'B637']",12.0,S39,4.09,2,0,2,0.0,-8.13859,,,-8.13859,True,False,,,,,,,0.601668,,,,,,,,,0.078386,0.064408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,6,50,S39,False,2,0,2,0,18,0,0,0,0,"['B316', 'B652', 'B171', 'B599', 'B344', 'B73', 'B61', 'B111', 'B433', 'B704', 'B48', 'B702', 'B687', 'B671', 'B270', 'B340', 'B521', 'B187']",12.0,S27,5.98,20,0,20,0.0,-7.978398,,,-7.978398,False,False,,,,,,,0.537524,,,,,,,,,0.190627,0.061515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,7,8,S27,False,20,0,20,15,0,0,0,0,0,"['B301', 'B118', 'B316', 'B652', 'B171', 'B599', 'B344', 'B73', 'B61', 'B111', 'B433', 'B704', 'B48', 'B702', 'B687']",10.5,S55,5.34,5,0,5,0.0,-7.904967,,,-7.904967,False,False,,,,,,,0.516998,,,,,,,,,0.192278,0.053388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,7,24,S55,False,5,0,5,0,15,0,0,0,0,"['B29', 'B197', 'B282', 'B327', 'B479', 'B235', 'B234', 'B633', 'B746', 'B732', 'B490', 'B609', 'B367', 'B160', 'B243']",10.5,S26,6.67,20,0,20,0.0,-7.985441,,,-7.985441,False,False,,,,,,,0.538807,,,,,,,,,0.190069,0.069399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,7,41,S26,False,20,0,20,16,0,0,0,0,0,"['B671', 'B270', 'B340', 'B521', 'B187', 'B29', 'B197', 'B282', 'B327', 'B479', 'B235', 'B234', 'B633', 'B746', 'B732', 'B490']",11.0,S38,9.12,4,0,4,0.0,-7.923989,,,-7.923989,False,False,,,,,,,0.528544,,,,,,,,,0.131219,0.090536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,8,1,S38,False,4,0,4,0,16,0,0,0,0,"['B271', 'B441', 'B210', 'B463', 'B736', 'B299', 'B228', 'B321', 'B585', 'B559', 'B502', 'B258', 'B498', 'B35', 'B616', 'B176']",11.0,S20,10.27,20,0,20,0.0,-7.912167,,,-7.912167,False,False,,,,,,,0.519564,,,,,,,,,0.155967,0.104973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,8,22,S20,False,20,0,20,13,0,0,0,0,0,"['B609', 'B367', 'B160', 'B243', 'B271', 'B441', 'B210', 'B463', 'B736', 'B299', 'B228', 'B321', 'B585']",9.5,S33,10.6,7,0,7,0.0,-7.887046,,,-7.887046,False,False,,,,,,,0.510584,,,,,,,,,0.167545,0.103648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,8,42,S33,False,7,0,7,0,13,0,0,0,0,"['B31', 'B246', 'B310', 'B28', 'B346', 'B179', 'B509', 'B676', 'B578', 'B279', 'B70', 'B363', 'B420']",9.5,S51,4.94,20,0,20,0.0,-7.854478,,,-7.854478,False,False,,,,,,,0.504169,,,,,,,,,0.147846,0.106269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,8,57,S51,False,20,0,20,13,0,0,0,0,0,"['B559', 'B502', 'B258', 'B498', 'B35', 'B616', 'B176', 'B31', 'B246', 'B310', 'B28', 'B346', 'B179']",9.5,S1,8.32,7,0,7,0.0,-7.773645,,,-7.773645,True,False,,,,,,,0.483643,,,,,,,,,0.122851,0.119307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,9,15,S1,False,7,0,7,0,13,0,0,0,0,"['B307', 'B729', 'B311', 'B72', 'B161', 'B83', 'B607', 'B546', 'B440', 'B528', 'B85', 'B482', 'B731']",9.5,S46,6.08,20,0,20,0.0,-7.782188,,,-7.782188,False,False,,,,,,,0.487492,,,,,,,,,0.11992,0.11068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,9,30,S46,False,20,0,20,13,0,0,0,0,0,"['B509', 'B676', 'B578', 'B279', 'B70', 'B363', 'B420', 'B307', 'B729', 'B311', 'B72', 'B161', 'B83']",9.5,S54,3.3,7,0,7,0.0,-7.777554,,,-7.777554,False,False,,,,,,,0.48236,,,,,,,,,0.146959,0.104715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,9,43,S54,False,7,0,7,0,13,1,0,0,0,"['B427', 'B181', 'B54', 'B183', 'B530', 'B90', 'B592', 'B579', 'B724', 'B185', 'B618', 'B255', 'B700']",12.5,S65,8.42,20,0,20,0.0,-7.760185,,,-7.760185,True,True,,,,,,,0.474663,,,,,,,,,0.164414,0.103231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,10,4,S65,False,20,0,20,13,0,0,0,0,0,"['B607', 'B546', 'B440', 'B528', 'B85', 'B482', 'B731', 'B427', 'B181', 'B54', 'B183', 'B530', 'B90']",9.5,S63,7.4,7,0,7,0.0,-7.892097,,,-7.892097,False,False,,,,,,,0.505452,,,,,,,,,0.190856,0.129802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,10,21,S63,False,7,0,7,0,13,0,0,0,0,"['B640', 'B449', 'B27', 'B422', 'B432', 'B261', 'B212', 'B624', 'B30', 'B423', 'B358', 'B708', 'B455']",9.5,S29,5.25,20,0,20,0.0,-7.92146,,,-7.92146,False,False,,,,,,,0.511867,,,,,,,,,0.206138,0.125311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,10,36,S29,False,20,0,20,20,0,0,0,0,0,"['B592', 'B579', 'B724', 'B185', 'B618', 'B255', 'B700', 'B640', 'B449', 'B27', 'B422', 'B432', 'B261', 'B212', 'B624', 'B30', 'B423', 'B358', 'B708', 'B455']",13.0,S59,7.54,0,0,0,0.0,-7.854056,,,-7.854056,True,False,,,,,,,0.487492,,,,,,,,,0.22841,0.138027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,10,56,S59,False,0,0,0,0,16,0,0,0,0,"['B134', 'B617', 'B338', 'B764', 'B49', 'B707', 'B296', 'B653', 'B492', 'B628', 'B164', 'B439', 'B740', 'B44', 'B78', 'B152']",11.0,S43,2.96,16,0,16,0.0,-8.068848,,,-8.068848,False,False,,,,,,,0.546504,,,,,,,,,0.210778,0.191355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,11,10,S43,False,16,0,16,14,0,0,0,0,0,"['B134', 'B617', 'B338', 'B764', 'B49', 'B707', 'B296', 'B653', 'B492', 'B628', 'B164', 'B439', 'B740', 'B44']",10.0,S33,2.06,2,0,2,0.0,-8.065282,,,-8.065282,False,False,,,,,,,0.541373,,,,,,,,,0.222078,0.212684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,11,22,S33,False,2,0,2,0,18,0,0,0,0,"['B728', 'B104', 'B716', 'B408', 'B446', 'B696', 'B0', 'B747', 'B14', 'B301', 'B125', 'B476', 'B109', 'B711', 'B79', 'B544', 'B505', 'B695']",12.0,S2,7.08,20,0,20,0.0,-8.062093,,,-8.062093,False,False,,,,,,,0.536241,,,,,,,,,0.222927,0.251235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,11,41,S2,False,20,0,20,16,0,0,0,0,0,"['B78', 'B152', 'B728', 'B104', 'B716', 'B408', 'B446', 'B696', 'B0', 'B747', 'B14', 'B301', 'B125', 'B476', 'B109', 'B711']",11.0,S18,5.54,4,0,4,0.0,-8.180395,,,-8.180395,False,False,,,,,,,0.561899,,,,,,,,,0.248652,0.29044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
