seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
43,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239,0.0305
43,7,5,5,275,286,2,1,201,78,3014,2813,2817,14,8,22,6,9,15,0.0342,0.0394
43,8,5,5,273,277,2,3,265,153,3138,2873,2870,9,9,18,11,5,16,0.0315,0.0472
43,9,5,5,282,297,2,1,230,57,3148,2918,2912,12,9,21,6,3,9,0.0392,0.0575
43,10,5,5,304,306,1,0,259,94,3470,3211,3218,13,11,24,11,0,11,0.0418,0.0719
43,11,5,5,306,296,2,5,155,120,3178,3023,3025,5,11,16,9,1,10,0.0368,0.0802
43,12,5,5,248,255,2,5,79,59,2370,2291,2294,10,6,16,14,5,19,0.0315,0.0815
43,13,5,5,274,283,2,3,54,47,1692,1638,1633,8,4,12,11,5,16,0.0275,0.0826
43,14,5,5,274,271,2,0,217,110,3030,2813,2809,9,3,12,4,0,4,0.0341,0.0865
43,15,5,5,285,294,2,2,267,75,2938,2671,2677,13,10,23,4,3,7,0.0458,0.0969
43,16,5,5,270,273,2,2,192,70,3262,3070,3066,10,10,20,20,2,22,0.0327,0.1073
43,17,5,5,275,277,2,7,181,72,3470,3289,3289,11,12,23,10,0,10,0.0343,0.1149
43,18,5,5,265,267,2,9,172,79,3142,2970,2973,5,8,13,5,9,14,0.0343,0.1136
43,19,5,5,286,278,2,1,91,67,2326,2235,2240,13,11,24,12,0,12,0.0344,0.127
43,20,5,5,287,294,2,4,37,36,1720,1683,1674,6,4,10,9,9,18,0.0302,0.1261
43,21,5,5,273,291,2,3,252,120,3236,2984,2985,9,9,18,8,5,13,0.0288,0.1337
43,22,5,5,297,301,1,0,207,89,3076,2869,2869,15,11,26,11,0,11,0.0341,0.1481
43,23,5,5,284,275,2,8,208,123,3268,3060,3060,18,8,26,8,3,11,0.0475,0.1491
43,24,5,5,245,260,2,3,287,128,3372,3085,3090,9,14,23,8,8,16,0.0485,0.1625
43,25,5,5,266,259,2,1,222,100,3304,3082,3076,11,7,18,18,0,18,0.0394,0.1706
43,26,5,5,279,288,2,12,105,52,2308,2203,2209,8,8,16,12,3,15,0.0345,0.1673
43,27,5,5,266,256,2,3,49,34,1610,1561,1557,5,10,15,12,4,16,0.0252,0.1764
