seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_exponential_starvation_penalty,phi_exponential_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_time_remaining_fraction,phi_functional_bikes_time_penalty,phi_reachable_imbalance_fraction,phi_recoverable_imbalance_fraction,phi_imbalance_hotspot_distance,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
49,7,6,1,D0,True,12,0,12,0,0,0,0,0,0,[],3.0,S0,5.65,12,0,12,0.0,-11.132642,,,-11.132642,True,True,,,,,,,,0.213713,0.151299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,6,25,S0,False,12,0,12,11,0,0,0,0,0,"['B430', 'B608', 'B2', 'B314', 'B388', 'B101', 'B392', 'B542', 'B190', 'B55', 'B296']",8.5,S47,14.43,1,0,1,0.0,-11.102211,,,-11.102211,False,False,,,,,,,,0.210301,0.146119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,6,48,S47,False,1,0,1,0,18,0,0,0,0,"['B579', 'B372', 'B540', 'B232', 'B162', 'B52', 'B753', 'B691', 'B118', 'B432', 'B461', 'B712', 'B680', 'B521', 'B27', 'B36', 'B14', 'B679']",12.0,S34,7.0,19,0,19,0.0,-11.081382,,,-11.081382,False,False,,,,,,,,0.198116,0.160105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,7,7,S34,False,19,0,19,15,0,0,0,0,0,"['B582', 'B579', 'B372', 'B540', 'B232', 'B162', 'B52', 'B753', 'B691', 'B118', 'B432', 'B461', 'B712', 'B680', 'B521']",10.5,S45,4.1,4,0,4,0.0,-11.06051,,,-11.06051,False,False,,,,,,,,0.19977,0.149444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,7,21,S45,False,4,0,4,0,13,0,0,0,0,"['B195', 'B375', 'B569', 'B313', 'B417', 'B391', 'B601', 'B123', 'B359', 'B619', 'B344', 'B18', 'B254']",9.5,S27,4.36,17,0,17,0.0,-11.066579,,,-11.066579,False,False,,,,,,,,0.197429,0.155854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,7,35,S27,False,17,0,17,15,0,0,0,0,0,"['B27', 'B36', 'B14', 'B679', 'B195', 'B375', 'B569', 'B313', 'B417', 'B391', 'B601', 'B123', 'B359', 'B619', 'B344']",10.5,S54,4.59,2,0,2,0.0,-11.051678,,,-11.051678,True,False,,,,,,,,0.209184,0.129421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,7,50,S54,False,2,0,2,0,15,0,0,0,0,"['B732', 'B258', 'B459', 'B366', 'B182', 'B277', 'B47', 'B755', 'B683', 'B31', 'B332', 'B318', 'B104', 'B76', 'B395']",10.5,S26,5.73,17,0,17,0.0,-11.106321,,,-11.106321,False,False,,,,,,,,0.211815,0.144943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,8,6,S26,False,17,0,17,15,0,0,0,0,0,"['B18', 'B254', 'B732', 'B258', 'B459', 'B366', 'B182', 'B277', 'B47', 'B755', 'B683', 'B31', 'B332', 'B318', 'B104']",10.5,S11,7.12,2,0,2,0.0,-11.130478,,,-11.130478,False,False,,,,,,,,0.221462,0.136705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,8,24,S11,False,2,0,2,0,17,0,0,0,0,"['B659', 'B516', 'B403', 'B448', 'B571', 'B280', 'B535', 'B387', 'B714', 'B458', 'B633', 'B435', 'B279', 'B367', 'B144', 'B616', 'B464']",11.5,S15,7.51,19,0,19,0.0,-11.093538,,,-11.093538,False,False,,,,,,,,0.214431,0.135561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,8,43,S15,False,19,0,19,18,0,0,0,0,0,"['B76', 'B395', 'B659', 'B516', 'B403', 'B448', 'B571', 'B280', 'B535', 'B387', 'B714', 'B458', 'B633', 'B435', 'B279', 'B367', 'B144', 'B616']",12.0,S52,4.21,1,0,1,0.0,-11.010029,,,-11.010029,False,False,,,,,,,,0.20543,0.120701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,8,59,S52,False,1,0,1,0,11,1,0,0,0,"['B667', 'B97', 'B364', 'B115', 'B604', 'B611', 'B506', 'B329', 'B71', 'B468', 'B655']",11.5,S40,2.21,12,0,12,0.0,-11.007837,,,-11.007837,True,True,,,,,,,,0.20488,0.120869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,9,13,S40,False,12,0,12,9,0,0,0,0,0,"['B464', 'B667', 'B97', 'B364', 'B115', 'B604', 'B611', 'B506', 'B329']",7.5,S37,3.31,3,0,3,0.0,-11.023558,,,-11.023558,False,False,,,,,,,,0.207567,0.121899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,9,24,S37,False,3,0,3,0,17,0,0,0,0,"['B133', 'B565', 'B202', 'B53', 'B719', 'B278', 'B522', 'B668', 'B302', 'B170', 'B9', 'B492', 'B675', 'B155', 'B588', 'B38', 'B184']",11.5,S66,3.07,20,0,20,0.0,-10.991755,,,-10.991755,False,False,,,,,,,,0.197405,0.128227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,9,38,S66,False,20,0,20,13,0,0,0,0,0,"['B71', 'B468', 'B655', 'B133', 'B565', 'B202', 'B53', 'B719', 'B278', 'B522', 'B668', 'B302', 'B170']",9.5,S61,1.13,7,0,7,0.0,-11.079901,,,-11.079901,True,False,,,,,,,,0.20859,0.140914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,9,49,S61,False,7,0,7,7,0,0,0,0,0,"['B9', 'B492', 'B675', 'B155', 'B588', 'B38', 'B184']",6.5,S63,3.24,0,0,0,0.0,-11.091472,,,-11.091472,True,False,,,,,,,,0.209044,0.144385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,9,59,S63,False,0,0,0,0,18,0,0,0,0,"['B172', 'B360', 'B46', 'B554', 'B396', 'B431', 'B287', 'B470', 'B518', 'B650', 'B562', 'B54', 'B363', 'B224', 'B720', 'B738', 'B135', 'B484']",12.0,S22,8.69,18,0,18,0.0,-11.12692,,,-11.12692,False,False,,,,,,,,0.210984,0.15404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,10,19,S22,False,18,0,18,10,0,0,0,0,0,"['B172', 'B360', 'B46', 'B554', 'B396', 'B431', 'B287', 'B470', 'B518', 'B650']",8.0,S17,8.16,8,0,8,0.0,-11.242144,,,-11.242144,True,False,,,,,,,,0.232212,0.158864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,10,36,S17,False,8,0,8,8,0,0,0,0,0,"['B562', 'B54', 'B363', 'B224', 'B720', 'B738', 'B135', 'B484']",7.0,S54,7.63,0,0,0,0.0,-11.195337,,,-11.195337,False,False,,,,,,,,0.225718,0.153114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,10,50,S54,False,0,0,0,0,12,0,0,0,0,"['B453', 'B559', 'B37', 'B259', 'B645', 'B541', 'B487', 'B721', 'B729', 'B642', 'B635', 'B56']",9.0,S51,6.18,12,0,12,0.0,-11.069269,,,-11.069269,False,False,,,,,,,,0.210958,0.132768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,11,5,S51,False,12,0,12,9,0,0,0,0,0,"['B453', 'B559', 'B37', 'B259', 'B645', 'B541', 'B487', 'B721', 'B729']",7.5,S35,8.32,3,0,3,0.0,-10.986473,,,-10.986473,True,False,,,,,,,,0.205892,0.111168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,11,21,S35,False,3,0,3,0,11,0,0,0,0,"['B409', 'B354', 'B72', 'B249', 'B416', 'B223', 'B677', 'B607', 'B526', 'B586', 'B245']",8.5,S29,1.95,14,0,14,0.0,-10.904019,,,-10.904019,True,False,,,,,,,,0.191194,0.106838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,11,32,S29,False,14,0,14,14,0,0,0,0,0,"['B642', 'B635', 'B56', 'B409', 'B354', 'B72', 'B249', 'B416', 'B223', 'B677', 'B607', 'B526', 'B586', 'B245']",10.0,S49,8.87,0,0,0,0.0,-10.857716,,,-10.857716,False,False,,,,,,,,0.189095,0.093451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,11,51,S49,False,0,0,0,0,11,1,0,0,0,"['B590', 'B267', 'B761', 'B681', 'B447', 'B78', 'B423', 'B585', 'B163', 'B227', 'B228']",11.5,S56,9.05,11,0,11,0.0,-10.813663,,,-10.813663,True,True,,,,,,,,0.184517,0.085311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,12,11,S56,False,11,0,11,6,0,0,0,0,0,"['B590', 'B267', 'B761', 'B681', 'B447', 'B78']",6.0,S8,9.59,5,0,5,0.0,-10.860749,,,-10.860749,True,False,,,,,,,,0.183773,0.104046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,12,27,S8,False,5,0,5,5,0,0,0,0,0,"['B423', 'B585', 'B163', 'B227', 'B228']",5.5,S16,14.34,0,0,0,0.0,-10.881024,,,-10.881024,False,False,,,,,,,,0.196311,0.089228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,12,47,S16,False,0,0,0,0,8,0,0,0,0,"['B174', 'B273', 'B580', 'B394', 'B583', 'B95', 'B133', 'B688']",7.0,S46,1.33,8,0,8,0.0,-10.926227,,,-10.926227,False,False,,,,,,,,0.195256,0.107821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,12,55,S46,False,8,0,8,0,0,0,0,0,0,[],3.0,S43,1.46,8,0,8,0.0,-11.023689,,,-11.023689,True,False,,,,,,,,0.218159,0.103094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,12,59,S43,False,8,0,8,0,0,0,0,0,0,[],3.0,S64,3.6,8,0,8,0.0,-11.124092,,,-11.124092,True,False,,,,,,,,0.227679,0.123278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,13,6,S64,False,8,0,8,8,0,1,0,0,0,"['B174', 'B273', 'B580', 'B394', 'B583', 'B95', 'B133', 'B688']",10.0,S40,4.02,0,0,0,0.0,-11.142958,,,-11.142958,True,True,,,,,,,,0.231857,0.122817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,13,20,S40,False,0,0,0,0,11,0,0,0,0,"['B672', 'B230', 'B155', 'B466', 'B412', 'B311', 'B288', 'B445', 'B33', 'B471', 'B212']",8.5,S4,3.22,11,0,11,0.0,-11.188656,,,-11.188656,False,False,,,,,,,,0.236278,0.131847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,13,32,S4,False,11,0,11,11,0,0,0,0,0,"['B672', 'B230', 'B155', 'B466', 'B412', 'B311', 'B288', 'B445', 'B33', 'B471', 'B212']",8.5,S12,7.31,0,0,0,0.0,-11.164812,,,-11.164812,False,False,,,,,,,,0.239899,0.116584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,13,47,S12,False,0,0,0,0,19,0,0,0,0,"['B368', 'B103', 'B253', 'B334', 'B1', 'B207', 'B351', 'B456', 'B246', 'B627', 'B231', 'B599', 'B621', 'B92', 'B659', 'B427', 'B670', 'B308', 'B623']",12.5,S50,10.53,19,0,19,0.0,-11.133041,,,-11.133041,False,False,,,,,,,,0.239266,0.105961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,14,11,S50,False,19,0,19,15,0,0,0,0,0,"['B368', 'B103', 'B253', 'B334', 'B1', 'B207', 'B351', 'B456', 'B246', 'B627', 'B231', 'B599', 'B621', 'B92', 'B659']",10.5,S62,4.95,4,0,4,0.0,-11.143546,,,-11.143546,False,False,,,,,,,,0.24669,0.096632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,14,26,S62,False,4,0,4,0,16,0,0,0,0,"['B113', 'B629', 'B171', 'B204', 'B59', 'B290', 'B637', 'B71', 'B520', 'B183', 'B370', 'B651', 'B742', 'B261', 'B655', 'B17']",11.0,S43,2.99,20,0,20,0.0,-11.045923,,,-11.045923,False,False,,,,,,,,0.22416,0.100635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,14,40,S43,False,20,0,20,20,0,0,1,0,0,"['B358', 'B427', 'B670', 'B308', 'B623', 'B113', 'B629', 'B171', 'B204', 'B59', 'B290', 'B637', 'B71', 'B520', 'B183', 'B370', 'B651', 'B742', 'B261', 'B655', 'B17']",13.5,S9,6.54,0,1,1,0.0,-11.047185,,,-11.047185,True,True,,,,,,,,0.238021,0.07643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,15,0,S9,False,0,1,1,0,6,1,0,0,0,"['B754', 'B713', 'B179', 'B194', 'B494', 'B234']",9.0,S4,8.75,6,1,7,0.0,-11.250553,,,-11.250553,True,True,,,,,,,,0.261738,0.109418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,15,18,S4,False,6,1,7,6,0,0,0,0,0,"['B754', 'B713', 'B179', 'B194', 'B494', 'B234']",6.0,S44,1.93,0,1,1,0.0,-11.293293,,,-11.293293,False,False,,,,,,,,0.262305,0.124214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,15,26,S44,False,0,1,1,0,11,0,0,0,0,"['B153', 'B77', 'B44', 'B761', 'B168', 'B312', 'B480', 'B722', 'B109', 'B73', 'B430']",8.5,S35,6.81,11,1,12,0.0,-11.242408,,,-11.242408,False,False,,,,,,,,0.247209,0.132267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,15,41,S35,False,11,1,12,11,0,0,1,0,0,"['B150', 'B153', 'B77', 'B44', 'B761', 'B168', 'B312', 'B480', 'B722', 'B109', 'B73', 'B430']",9.0,S12,9.87,0,2,2,0.0,-11.17863,,,-11.17863,True,True,,,,,,,,0.237619,0.125753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,16,0,S12,False,0,2,2,0,15,0,0,0,0,"['B155', 'B517', 'B560', 'B79', 'B117', 'B464', 'B493', 'B361', 'B683', 'B160', 'B390', 'B558', 'B471', 'B546', 'B8']",10.5,S32,6.07,15,2,17,0.0,-11.161887,,,-11.161887,False,False,,,,,,,,0.23766,0.119488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,16,16,S32,False,15,2,17,13,0,0,0,0,0,"['B155', 'B517', 'B560', 'B79', 'B117', 'B464', 'B493', 'B361', 'B683', 'B160', 'B390', 'B558', 'B471']",9.5,S33,3.27,2,2,4,0.0,-11.160106,,,-11.160106,False,False,,,,,,,,0.236874,0.120229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,16,29,S33,False,2,2,4,0,16,0,0,0,0,"['B181', 'B745', 'B708', 'B698', 'B617', 'B589', 'B485', 'B641', 'B531', 'B57', 'B644', 'B274', 'B233', 'B158', 'B498', 'B395']",11.0,S29,4.32,18,2,20,0.0,-11.100596,,,-11.100596,True,False,,,,,,,,0.222604,0.123623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,16,44,S29,False,18,2,20,17,0,0,0,0,0,"['B546', 'B8', 'B181', 'B745', 'B708', 'B698', 'B617', 'B589', 'B485', 'B641', 'B531', 'B57', 'B644', 'B274', 'B233', 'B158', 'B498']",11.5,S48,7.68,1,2,3,0.0,-11.0018,,,-11.0018,False,False,,,,,,,,0.212219,0.105573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,17,4,S48,False,1,2,3,0,11,1,0,0,0,"['B673', 'B340', 'B132', 'B94', 'B0', 'B208', 'B278', 'B197', 'B315', 'B736', 'B684']",11.5,S44,4.46,12,2,14,0.0,-11.064086,,,-11.064086,True,True,,,,,,,,0.218693,0.117083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,17,20,S44,False,12,2,14,12,0,0,0,0,0,"['B395', 'B673', 'B340', 'B132', 'B94', 'B0', 'B208', 'B278', 'B197', 'B315', 'B736', 'B684']",9.0,S40,2.76,0,2,2,0.0,-11.111211,,,-11.111211,False,False,,,,,,,,0.238275,0.099653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,17,31,S40,False,0,2,2,0,10,0,0,0,0,"['B188', 'B216', 'B134', 'B333', 'B222', 'B210', 'B35', 'B368', 'B537', 'B438']",8.0,S10,2.46,10,2,12,0.0,-11.018987,,,-11.018987,False,False,,,,,,,,0.217256,0.102963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,17,42,S10,False,10,2,12,9,0,0,0,0,0,"['B188', 'B216', 'B134', 'B333', 'B222', 'B210', 'B35', 'B368', 'B537']",7.5,S61,5.09,1,2,3,0.0,-11.060376,,,-11.060376,False,False,,,,,,,,0.23272,0.090743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,17,54,S61,False,1,2,3,0,7,1,0,0,0,"['B730', 'B72', 'B734', 'B492', 'B553', 'B723', 'B207']",9.5,S11,9.93,8,2,10,0.0,-10.922945,,,-10.922945,True,True,,,,,,,,0.201459,0.095565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,18,14,S11,False,8,2,10,8,0,0,0,0,0,"['B438', 'B730', 'B72', 'B734', 'B492', 'B553', 'B723', 'B207']",7.0,S52,9.28,0,2,2,0.0,-10.963212,,,-10.963212,False,False,,,,,,,,0.215957,0.08465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,18,30,S52,False,0,2,2,0,10,0,0,0,0,"['B24', 'B658', 'B195', 'B136', 'B653', 'B254', 'B489', 'B765', 'B184', 'B220']",8.0,S24,8.87,10,2,12,0.0,-10.91961,,,-10.91961,False,False,,,,,,,,0.196864,0.102512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,18,47,S24,False,10,2,12,10,0,0,0,0,0,"['B24', 'B658', 'B195', 'B136', 'B653', 'B254', 'B489', 'B765', 'B184', 'B220']",8.0,D0,4.15,0,2,2,0.0,-10.935836,,,-10.935836,False,False,,,,,,,,0.195102,0.111648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,18,59,D0,True,0,2,2,0,0,0,0,2,10,"['B748', 'B497', 'B5', 'B697', 'B213', 'B50', 'B397', 'B289', 'B410', 'B465', 'B358', 'B150']",10.0,S49,2.94,10,0,10,0.0,-10.907727,,,-10.907727,True,True,,,,,,,,0.175215,0.136653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,19,27,S49,False,10,0,10,9,0,0,0,0,0,"['B748', 'B497', 'B5', 'B697', 'B213', 'B50', 'B397', 'B289', 'B410']",7.5,S48,8.01,1,0,1,0.0,-10.860673,,,-10.860673,True,False,,,,,,,,0.167136,0.133633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,19,43,S48,False,1,0,1,0,16,0,0,0,0,"['B649', 'B244', 'B166', 'B19', 'B380', 'B354', 'B120', 'B395', 'B522', 'B357', 'B746', 'B533', 'B104', 'B625', 'B514', 'B483']",11.0,D0,4.23,17,0,17,0.0,-10.872096,,,-10.872096,True,False,,,,,,,,0.167443,0.13731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,19,58,D0,True,17,0,17,0,0,0,0,0,0,[],3.0,D0,0.0,17,0,17,0.0,-10.852024,,,-10.852024,True,True,,,,,,,,0.167499,0.129788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,8,6,10,D0,True,17,0,17,0,0,0,0,0,3,"['B105', 'B225', 'B175']",4.5,S40,0.66,20,0,20,0.0,-11.441969,,,-11.441969,True,True,,,,,,,,0.277804,0.151605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,8,6,30,S40,False,20,0,20,14,0,0,0,0,0,"['B465', 'B649', 'B244', 'B166', 'B19', 'B380', 'B354', 'B120', 'B395', 'B522', 'B357', 'B746', 'B533', 'B104']",10.0,S15,2.5,6,0,6,0.0,-11.479868,,,-11.479868,False,False,,,,,,,,0.273288,0.17366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,8,6,43,S15,False,6,0,6,6,0,0,0,0,0,"['B625', 'B514', 'B483', 'B105', 'B225', 'B175']",6.0,S52,4.21,0,0,0,0.0,-11.494848,,,-11.494848,False,False,,,,,,,,0.282318,0.163125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,8,6,53,S52,False,0,0,0,0,14,0,0,0,0,"['B441', 'B108', 'B581', 'B130', 'B128', 'B736', 'B336', 'B437', 'B203', 'B288', 'B702', 'B711', 'B515', 'B480']",10.0,S66,3.13,14,0,14,0.0,-11.40445,,,-11.40445,False,False,,,,,,,,0.267496,0.15608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,8,7,6,S66,False,14,0,14,14,0,0,0,0,0,"['B441', 'B108', 'B581', 'B130', 'B128', 'B736', 'B336', 'B437', 'B203', 'B288', 'B702', 'B711', 'B515', 'B480']",10.0,S39,4.09,0,0,0,0.0,-11.331152,,,-11.331152,True,False,,,,,,,,0.256479,0.148584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,8,7,20,S39,False,0,0,0,0,20,0,0,0,0,"['B715', 'B565', 'B568', 'B453', 'B53', 'B131', 'B672', 'B215', 'B408', 'B180', 'B761', 'B391', 'B302', 'B679', 'B540', 'B24', 'B485', 'B372', 'B752', 'B429']",13.0,S65,5.08,20,0,20,0.0,-11.356358,,,-11.356358,True,False,,,,,,,,0.255407,0.159813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,8,7,38,S65,False,20,0,20,15,0,0,1,0,0,"['B144', 'B715', 'B565', 'B568', 'B453', 'B53', 'B131', 'B672', 'B215', 'B408', 'B180', 'B761', 'B391', 'B302', 'B679', 'B540']",11.0,S51,10.57,5,1,6,0.0,-11.291171,,,-11.291171,True,True,,,,,,,,0.229,0.182712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,8,8,0,S51,False,5,1,6,5,0,2,0,0,0,"['B24', 'B485', 'B372', 'B752', 'B429']",11.5,S32,4.37,0,1,1,0.0,-11.304509,,,-11.304509,True,True,,,,,,,,0.235952,0.175269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,8,8,15,S32,False,0,1,1,0,12,0,0,0,0,"['B558', 'B471', 'B442', 'B214', 'B281', 'B338', 'B379', 'B425', 'B335', 'B37', 'B252', 'B185']",9.0,S19,4.87,12,1,13,0.0,-11.137629,,,-11.137629,False,False,,,,,,,,0.207171,0.164787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,8,8,29,S19,False,12,1,13,11,0,0,0,0,0,"['B558', 'B471', 'B442', 'B214', 'B281', 'B338', 'B379', 'B425', 'B335', 'B37', 'B252']",8.5,S44,4.96,1,1,2,0.0,-11.084409,,,-11.084409,True,False,,,,,,,,0.203986,0.150776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,8,8,43,S44,False,1,1,2,0,13,0,0,0,0,"['B689', 'B623', 'B211', 'B577', 'B182', 'B362', 'B331', 'B75', 'B435', 'B481', 'B117', 'B240', 'B506']",9.5,S26,7.72,14,1,15,0.0,-11.002054,,,-11.002054,False,False,,,,,,,,0.199491,0.128322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,8,9,0,S26,False,14,1,15,14,0,0,0,0,0,"['B185', 'B689', 'B623', 'B211', 'B577', 'B182', 'B362', 'B331', 'B75', 'B435', 'B481', 'B117', 'B240', 'B506']",10.0,S49,8.9,0,1,1,0.0,-10.910311,,,-10.910311,False,False,,,,,,,,0.187936,0.114964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
