seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
42,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251,0.0303
42,7,5,5,279,285,2,6,225,128,3152,2927,2925,8,12,20,12,10,22,0.0197,0.0381
42,8,5,5,279,298,3,6,172,122,3132,2960,2962,7,6,13,9,0,9,0.0172,0.0384
42,9,5,5,252,259,2,8,125,89,3188,3063,3060,12,13,25,5,12,17,0.0263,0.0447
42,10,5,5,273,279,2,7,231,89,3532,3301,3305,16,6,22,7,8,15,0.0381,0.0434
42,11,5,5,243,251,2,9,187,108,2998,2811,2812,10,11,21,16,0,16,0.0306,0.0465
42,12,5,5,254,253,2,10,100,32,2352,2252,2254,10,12,22,13,7,20,0.0267,0.0494
42,13,5,5,239,242,2,6,40,25,1690,1650,1645,4,4,8,10,15,25,0.0185,0.0462
42,14,5,5,256,271,2,8,241,120,3220,2979,2981,13,13,26,8,10,18,0.025,0.0526
42,15,5,5,250,265,2,13,205,57,3014,2809,2813,10,14,24,12,8,20,0.0225,0.0543
42,16,5,5,279,287,2,8,143,64,3212,3069,3064,7,8,15,10,0,10,0.0187,0.0549
42,17,5,5,252,255,2,10,214,119,3458,3244,3245,13,13,26,10,21,31,0.0224,0.058
42,18,5,5,254,264,2,12,180,95,3028,2848,2853,13,12,25,11,0,11,0.0255,0.059
42,19,5,5,254,269,3,12,91,41,2374,2283,2280,6,10,16,7,22,29,0.0238,0.0556
42,20,5,5,248,263,2,12,32,32,1616,1584,1581,1,9,10,6,0,6,0.0175,0.0524
42,21,5,5,286,291,2,8,231,73,3058,2827,2827,7,12,19,8,12,20,0.0147,0.0575
42,22,5,5,249,258,2,8,170,67,3120,2950,2952,18,13,31,9,20,29,0.0263,0.0632
42,23,5,5,268,286,2,8,244,74,3292,3048,3046,8,13,21,6,0,6,0.0293,0.0705
42,24,5,5,264,272,2,9,310,113,3350,3040,3045,9,7,16,10,16,26,0.0277,0.0672
42,25,5,5,281,289,2,9,242,109,3178,2936,2933,6,10,16,6,9,15,0.0277,0.0685
42,26,5,5,272,278,2,7,93,77,2434,2341,2344,7,8,15,5,0,5,0.0306,0.0705
42,27,5,5,242,254,2,6,41,45,1694,1653,1648,6,4,10,7,9,16,0.0291,0.0675
