seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_exponential_starvation_penalty,phi_exponential_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_time_remaining_fraction,phi_functional_bikes_time_penalty,phi_reachable_imbalance_fraction,phi_recoverable_imbalance_fraction,phi_imbalance_hotspot_distance,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
47,7,6,8,D0,True,20,0,20,0,0,0,0,0,0,[],3.0,S65,3.15,20,0,20,0.0,-5.966618,,,-5.966618,True,True,,,,,,,,0.2489,0.139555,,,,,,,0.15018,0.086313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,6,29,S65,False,20,0,20,18,0,0,0,0,0,"['B575', 'B183', 'B612', 'B185', 'B357', 'B661', 'B305', 'B490', 'B755', 'B634', 'B127', 'B280', 'B22', 'B164', 'B688', 'B380', 'B725', 'B594']",12.0,S37,5.89,2,0,2,0.0,-5.953014,,,-5.953014,False,False,,,,,,,,0.259722,0.117549,,,,,,,0.140877,0.044742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,6,47,S37,False,2,0,2,0,18,0,0,0,0,"['B179', 'B411', 'B644', 'B576', 'B595', 'B62', 'B289', 'B696', 'B94', 'B480', 'B519', 'B589', 'B36', 'B241', 'B743', 'B237', 'B596', 'B177']",12.0,S51,4.67,20,0,20,0.0,-5.938324,,,-5.938324,False,False,,,,,,,,0.209826,0.122208,,,,,,,0.250046,0.067889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,7,3,S51,False,20,0,20,11,0,0,0,0,0,"['B145', 'B391', 'B179', 'B411', 'B644', 'B576', 'B595', 'B62', 'B289', 'B696', 'B94']",8.5,S61,6.56,9,0,9,0.0,-5.894765,,,-5.894765,False,False,,,,,,,,0.179043,0.133807,,,,,,,0.235287,0.073009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,7,18,S61,False,9,0,9,9,0,0,0,0,0,"['B480', 'B519', 'B589', 'B36', 'B241', 'B743', 'B237', 'B596', 'B177']",7.5,S60,1.62,0,0,0,0.0,-5.887886,,,-5.887886,True,False,,,,,,,,0.17864,0.126712,,,,,,,0.23444,0.068342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,7,27,S60,False,0,0,0,0,14,0,0,0,0,"['B613', 'B315', 'B103', 'B549', 'B204', 'B278', 'B432', 'B222', 'B529', 'B430', 'B292', 'B168', 'B670', 'B732']",10.0,S27,3.14,14,0,14,0.0,-5.873063,,,-5.873063,False,False,,,,,,,,0.170787,0.123071,,,,,,,0.234919,0.064596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,7,41,S27,False,14,0,14,14,0,1,0,0,0,"['B613', 'B315', 'B103', 'B549', 'B204', 'B278', 'B432', 'B222', 'B529', 'B430', 'B292', 'B168', 'B670', 'B732']",13.0,S39,5.98,0,0,0,0.0,-5.871459,,,-5.871459,True,True,,,,,,,,0.206966,0.11504,,,,,,,0.129529,0.058774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,8,0,S39,False,0,0,0,0,12,0,0,0,0,"['B18', 'B440', 'B600', 'B180', 'B610', 'B485', 'B42', 'B474', 'B367', 'B592', 'B233', 'B637']",9.0,S32,8.29,12,0,12,0.0,-5.860804,,,-5.860804,False,False,,,,,,,,0.192569,0.129187,,,,,,,0.129556,0.064189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,8,17,S32,False,12,0,12,12,0,0,0,0,0,"['B18', 'B440', 'B600', 'B180', 'B610', 'B485', 'B42', 'B474', 'B367', 'B592', 'B233', 'B637']",9.0,S63,3.1,0,0,0,0.0,-5.861126,,,-5.861126,True,False,,,,,,,,0.19282,0.125467,,,,,,,0.137932,0.058623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,8,29,S63,False,0,0,0,0,12,0,0,0,0,"['B624', 'B166', 'B296', 'B138', 'B482', 'B384', 'B98', 'B643', 'B118', 'B551', 'B744', 'B284']",9.0,S55,3.64,12,0,12,0.0,-5.824924,,,-5.824924,False,False,,,,,,,,0.167331,0.130916,,,,,,,0.131358,0.062841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
