seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_onsite_shortage_pressure,phi_depot_shortage_pressure,phi_current_station_onsite_shortage_pressure,phi_current_station_depot_shortage_pressure,phi_broken_cargo_distance_pressure,phi_late_broken_cargo_pressure,phi_repaired_idle_away_pressure,phi_depot_pipeline_pressure,phi_depot_queue_pickup_opportunity,phi_degradation_demand_exposure,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
46,7,6,7,D0,True,20,0,20,0,0,0,0,0,0,[],0.0,S13,6.48,20,0,20,0.0,-5.511966,,,-5.511966,True,True,,,,,,,0.627325,0.218631,0.145506,,,0.134328,0.059701,0.155009,0.077857,,,,,,0.000983,0.000594,0.230263,0.035088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,6,28,S13,False,20,0,20,20,0,0,3,0,0,"['B161', 'B348', 'B78', 'B339', 'B551', 'B653', 'B764', 'B615', 'B247', 'B459', 'B202', 'B293', 'B330', 'B107', 'B222', 'B699', 'B113', 'B27', 'B170', 'B382', 'B88', 'B402', 'B604']",11.5,S47,5.99,0,3,3,0.0,-5.496612,,,-5.496612,True,True,,,,,,,0.635022,0.233842,0.145371,,,0.134328,0.044776,0.098546,0.0737,,,,,,0.00079,0.000586,0.210526,0.035088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,6,46,S47,False,0,3,3,0,15,0,0,0,0,"['B702', 'B141', 'B570', 'B456', 'B740', 'B518', 'B32', 'B685', 'B54', 'B124', 'B530', 'B470', 'B303', 'B618', 'B151']",7.5,S26,7.49,15,3,18,0.0,-5.499023,,,-5.499023,False,False,,,,,,,0.611931,0.212756,0.161044,,,0.134328,0.044776,0.200624,0.076848,,,,,,0.000752,0.000585,0.210526,0.035088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,7,1,S26,False,15,3,18,15,0,0,0,0,0,"['B702', 'B141', 'B570', 'B456', 'B740', 'B518', 'B32', 'B685', 'B54', 'B124', 'B530', 'B470', 'B303', 'B618', 'B151']",7.5,S29,5.02,0,3,3,0.0,-5.523287,,,-5.523287,False,False,,,,,,,0.620911,0.22471,0.164446,,,0.149254,0.044776,0.206603,0.080397,,,,,,0.000835,0.000612,0.217105,0.035088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,7,13,S29,False,0,3,3,0,17,0,0,0,0,"['B35', 'B279', 'B606', 'B485', 'B178', 'B261', 'B656', 'B25', 'B443', 'B61', 'B463', 'B90', 'B621', 'B53', 'B607', 'B684', 'B510']",8.5,S66,6.29,17,3,20,0.0,-5.499719,,,-5.499719,False,False,,,,,,,0.608082,0.210169,0.170326,,,0.119403,0.059701,0.199946,0.086881,,,,,,0.00083,0.000645,0.217105,0.035088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,7,28,S66,False,17,3,20,14,0,1,0,0,0,"['B35', 'B279', 'B606', 'B485', 'B178', 'B261', 'B656', 'B25', 'B443', 'B61', 'B463', 'B90', 'B621', 'B53']",10.0,S63,4.37,3,3,6,0.0,-5.472066,,,-5.472066,True,True,,,,,,,0.599102,0.21071,0.14885,,,0.119403,0.044776,0.180254,0.073185,,,,,,0.000824,0.0006,0.210526,0.035088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,7,43,S63,False,3,3,6,0,13,1,1,0,0,"['B614', 'B93', 'B67', 'B94', 'B755', 'B150', 'B100', 'B452', 'B313', 'B326', 'B122', 'B658', 'B565', 'B156']",10.0,S24,10.02,16,4,20,0.0,-5.448408,,,-5.448408,True,True,,,,,,,0.586273,0.221658,0.159054,,,0.149254,0.059701,0.10652,0.094696,,,,,,0.000724,0.00054,0.197368,0.035088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,8,3,S24,False,16,4,20,13,0,0,0,0,0,"['B607', 'B684', 'B510', 'B614', 'B93', 'B67', 'B94', 'B755', 'B150', 'B100', 'B452', 'B313', 'B326']",6.5,S33,8.48,3,4,7,0.0,-5.443267,,,-5.443267,False,False,,,,,,,0.578576,0.222464,0.151445,,,0.164179,0.044776,0.115625,0.09243,,,,,,0.000759,0.00057,0.197368,0.035088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,8,18,S33,False,3,4,7,0,13,0,0,0,0,"['B144', 'B237', 'B146', 'B142', 'B91', 'B157', 'B473', 'B238', 'B728', 'B502', 'B365', 'B431', 'B3']",6.5,S55,3.28,16,4,20,0.0,-5.406112,,,-5.406112,False,False,,,,,,,0.561899,0.204728,0.150142,,,0.119403,0.029851,0.110117,0.090768,,,,,,0.000781,0.000588,0.197368,0.035088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,8,27,S55,False,16,4,20,15,0,0,0,0,0,"['B122', 'B658', 'B565', 'B144', 'B237', 'B146', 'B142', 'B91', 'B157', 'B473', 'B238', 'B728', 'B502', 'B365', 'B431']",7.5,S43,4.24,1,4,5,0.0,-5.399858,,,-5.399858,False,False,,,,,,,0.554201,0.209262,0.139384,,,0.119403,0.014925,0.122441,0.088981,,,,,,0.000809,0.000612,0.197368,0.035088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
