seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
48,6,5,5,0,0,0,0,2,0,32,30,26,0,0,0,0,0,0,0.0107,0.0187
48,7,5,5,387,399,3,12,172,93,3214,3042,3042,12,13,25,6,10,16,0.0188,0.0201
48,8,5,5,321,343,4,11,134,41,2986,2852,2851,10,8,18,11,10,21,0.0174,0.0161
48,9,5,5,383,380,3,8,144,80,3272,3128,3132,10,10,20,11,13,24,0.016,0.0187
48,10,5,5,369,380,3,9,202,67,3510,3308,3303,15,6,21,8,8,16,0.0254,0.0147
48,11,5,5,372,383,3,8,146,68,3104,2958,2960,9,11,20,9,8,17,0.0254,0.0187
48,12,5,5,333,341,3,7,57,39,2320,2263,2268,9,3,12,18,9,27,0.0133,0.0133
48,13,5,5,356,374,3,4,40,31,1490,1450,1446,9,2,11,7,7,14,0.0159,0.0106
48,14,5,5,353,335,3,8,132,77,2996,2864,2858,9,8,17,10,2,12,0.0147,0.0107
48,15,5,5,371,375,3,8,167,86,3084,2917,2921,11,6,17,10,4,14,0.0161,0.0081
48,16,5,5,380,405,3,4,189,48,3266,3077,3079,6,12,18,8,12,20,0.0133,0.0186
48,17,5,5,360,357,2,5,158,56,3470,3312,3311,14,11,25,11,6,17,0.0173,0.0266
48,18,5,5,363,371,3,10,162,49,3046,2884,2886,10,14,24,11,5,16,0.016,0.0321
48,19,5,5,353,354,4,14,37,24,2274,2237,2238,4,10,14,11,8,19,0.0067,0.027
48,20,5,5,371,383,3,9,45,18,1730,1685,1675,4,5,9,5,12,17,0.0054,0.0215
48,21,5,5,357,385,3,6,145,110,3092,2947,2952,14,9,23,10,13,23,0.0106,0.0253
48,22,5,5,367,370,4,15,163,88,3050,2887,2890,14,10,24,8,6,14,0.0188,0.0188
48,23,5,5,356,356,3,9,119,46,3208,3089,3091,20,14,34,15,12,27,0.0255,0.0255
48,24,5,5,367,382,3,6,172,60,3468,3296,3288,7,20,27,14,12,26,0.016,0.0439
48,25,5,5,344,353,4,17,105,76,3042,2937,2942,16,11,27,12,6,18,0.0216,0.0364
48,26,5,5,336,346,4,14,74,16,2386,2312,2317,16,12,28,12,16,28,0.0269,0.0336
48,27,5,5,325,341,4,13,40,23,1606,1566,1565,3,7,10,15,15,30,0.0107,0.0255
