seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
45,6,23,0,0,0,0,0,0,0,0.0106,0.0199,0,0,0,0,0,0,0,0,0,-28,-16,-19,-22,-16,-13,-8
45,7,0,0,0,0,0,0,0,0,0.0106,0.0199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,7,1,0,0,0,0,0,0,0,0.0106,0.0199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,7,2,0,0,0,0,0,0,0,0.0106,0.0199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,7,3,0,0,0,0,0,0,0,0.0106,0.0199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,7,4,0,0,0,0,0,1,0,0.0106,0.0199,0,0,1,0,4,1,46,38,50,0,1,0,0,0,0,0
45,7,5,0,0,0,0,0,0,0,0.0119,0.0199,0,0,0,0,11,0,203,185,214,0,0,0,0,0,0,0
45,7,6,17,18,1,0,4,1,1,0.0132,0.0211,0,4,2,4,14,2,172,156,186,1,0,0,0,0,1,0
45,7,7,34,52,0,0,7,0,0,0.0132,0.0211,0,0,0,0,4,6,118,130,122,0,0,0,0,0,0,0
45,7,8,37,31,0,0,6,1,0,0.0132,0.0211,0,0,1,0,6,0,122,127,128,0,0,1,0,0,0,0
45,7,9,21,28,0,0,4,1,1,0.0158,0.0224,0,0,2,0,0,0,160,164,160,0,0,1,0,0,0,1
45,7,10,34,25,0,0,6,2,1,0.0171,0.0237,0,0,3,0,1,0,185,172,186,1,0,0,0,1,0,1
45,7,11,28,28,0,0,5,0,0,0.0184,0.0237,0,0,0,0,2,0,186,191,188,0,0,0,0,0,0,0
45,7,12,33,30,0,0,5,0,2,0.0184,0.025,0,0,2,0,0,1,206,204,206,0,1,0,1,0,0,0
45,7,13,28,40,0,0,6,0,0,0.0171,0.0264,1,0,0,1,5,0,243,236,248,0,0,0,0,0,0,0
45,7,14,33,15,0,0,4,2,2,0.0184,0.029,1,0,4,1,44,3,372,340,416,0,2,1,1,0,0,0
45,7,15,31,32,0,0,4,0,0,0.0184,0.029,0,0,0,0,14,3,196,235,210,0,0,0,0,0,0,0
45,7,16,13,30,0,0,6,1,0,0.0184,0.029,1,0,1,1,8,0,186,171,194,0,0,1,0,0,0,0
45,7,17,34,16,0,0,5,0,0,0.0158,0.029,2,0,0,2,2,0,164,182,166,0,0,0,0,0,0,0
45,7,18,7,18,0,0,6,1,0,0.0158,0.029,1,0,1,1,3,0,133,135,136,0,0,1,0,0,0,0
45,7,19,24,14,1,3,7,0,0,0.0145,0.025,1,3,0,4,1,3,97,99,98,0,0,0,0,0,0,0
45,7,20,0,0,0,0,0,0,0,0.0145,0.025,0,0,0,0,2,0,80,88,82,0,0,0,0,0,0,0
45,7,21,0,0,0,0,0,0,1,0.0145,0.0264,0,0,1,0,8,1,72,72,80,1,0,0,0,0,0,0
45,7,22,0,0,0,0,0,0,0,0.0145,0.0264,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
45,7,23,0,0,0,0,0,0,0,0.0145,0.0264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,8,0,0,0,0,0,0,0,0,0.0145,0.0264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,8,1,0,0,0,0,0,0,0,0.0145,0.0264,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,8,2,0,0,0,0,0,0,0,0.0145,0.0264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,8,3,0,0,0,0,0,0,0,0.0145,0.0264,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,8,4,0,0,0,0,0,0,0,0.0145,0.0264,0,0,0,0,0,2,28,19,28,0,0,0,0,0,0,0
45,8,5,0,0,0,0,0,4,1,0.0158,0.0277,0,0,5,0,30,6,224,194,254,1,1,1,1,1,0,0
45,8,6,15,20,1,0,3,0,2,0.0198,0.0303,0,0,2,0,39,10,179,180,218,1,0,0,0,0,0,1
45,8,7,35,33,0,0,5,0,2,0.0198,0.0329,0,0,2,0,17,13,131,138,148,0,0,0,0,0,0,2
45,8,8,19,28,0,0,4,0,0,0.0198,0.0329,0,0,0,0,2,5,98,113,100,0,0,0,0,0,0,0
45,8,9,34,24,0,0,6,1,1,0.0211,0.0329,0,0,2,0,6,2,190,173,196,0,0,1,1,0,0,0
45,8,10,14,29,0,0,5,0,0,0.0211,0.0343,0,0,0,0,5,1,147,154,152,0,0,0,0,0,0,0
45,8,11,34,19,0,0,5,0,1,0.0211,0.0356,0,0,1,0,5,0,191,185,196,1,0,0,0,0,0,0
45,8,12,23,41,0,0,6,0,1,0.0198,0.0356,2,0,1,2,2,2,252,228,254,0,1,0,0,0,0,0
45,8,13,28,28,0,0,7,1,1,0.0198,0.0382,0,0,2,0,7,1,273,280,280,0,1,0,0,0,1,0
45,8,14,32,16,0,0,3,0,1,0.0184,0.0395,1,0,1,1,25,19,291,286,316,0,0,1,0,0,0,0
45,8,15,26,42,0,0,5,0,1,0.0184,0.0408,0,0,1,0,13,13,217,230,230,0,0,0,0,1,0,0
45,8,16,30,14,0,0,4,2,0,0.0198,0.0408,1,0,2,1,9,7,197,199,206,1,0,1,0,0,0,0
45,8,17,14,30,0,0,6,1,1,0.0198,0.0408,1,0,2,1,3,1,151,155,154,1,0,0,0,0,1,0
45,8,18,24,21,0,0,4,0,1,0.0198,0.0435,0,0,1,0,5,8,169,168,174,0,0,0,0,0,1,0
45,8,19,28,31,1,5,6,1,0,0.0184,0.0367,1,8,1,9,2,1,106,110,108,0,1,0,0,0,0,0
45,8,20,0,0,0,0,0,1,0,0.021,0.0367,0,0,1,0,0,0,80,98,80,0,0,0,0,0,1,0
