seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
42,6,23,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,-22,-28,-19,-26,-5,-16,-11
42,7,0,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7,1,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7,2,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7,3,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7,4,0,0,0,0,0,1,0,0.0171,0.0303,0,0,1,0,1,0,33,21,34,0,0,0,1,0,0,0
42,7,5,0,0,0,0,0,0,1,0.0171,0.0316,0,0,1,0,24,6,198,176,222,0,0,0,0,0,0,1
42,7,6,16,35,1,0,4,0,1,0.0171,0.0329,0,0,1,0,9,0,169,170,178,0,0,0,1,0,0,0
42,7,7,45,32,0,0,5,0,0,0.0158,0.0329,1,0,0,1,4,4,132,137,136,0,0,0,0,0,0,0
42,7,8,33,29,0,0,7,1,1,0.0158,0.0329,1,0,2,1,12,1,122,122,134,0,0,0,2,0,0,0
42,7,9,33,36,0,0,6,0,0,0.0158,0.0342,0,0,0,0,7,2,173,173,180,0,0,0,0,0,0,0
42,7,10,40,41,0,0,6,1,1,0.0171,0.0355,0,0,2,0,2,1,186,184,188,0,1,0,1,0,0,0
42,7,11,18,21,0,0,5,0,0,0.0158,0.0355,1,0,0,1,4,0,200,191,204,0,0,0,0,0,0,0
42,7,12,22,24,0,0,4,2,2,0.0171,0.0382,1,0,4,1,7,1,233,220,240,1,0,0,1,1,1,0
42,7,13,24,26,0,0,7,1,3,0.0184,0.0421,0,0,4,0,5,9,273,273,278,1,2,0,1,0,0,0
42,7,14,21,21,0,0,6,0,1,0.0184,0.0434,0,0,1,0,45,10,375,359,420,0,0,0,0,0,1,0
42,7,15,14,21,0,0,5,0,0,0.0184,0.0434,0,0,0,0,27,17,237,268,264,0,0,0,0,0,0,0
