seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
43,6,5,5,0,0,0,0,2,0,26,24,18,0,0,0,0,0,0,0.0079,0.0265
43,7,5,5,333,344,2,11,143,72,3014,2871,2868,6,10,16,4,10,14,0.0106,0.0252
43,8,5,5,288,301,2,14,111,110,3138,3027,3029,7,12,19,3,11,14,0.016,0.0213
43,9,5,5,379,385,2,9,156,88,3148,2992,2991,12,11,23,9,9,18,0.0199,0.0239
43,10,5,5,352,372,2,6,101,33,3470,3369,3372,10,12,22,11,5,16,0.0186,0.032
43,11,5,5,336,350,2,7,109,34,3178,3069,3068,17,6,23,8,9,17,0.0305,0.0305
43,12,5,5,355,349,2,8,48,21,2370,2322,2327,7,3,10,13,13,26,0.0224,0.0237
43,13,5,5,320,339,2,6,15,14,1692,1677,1671,9,2,11,8,8,16,0.0237,0.0184
43,14,5,5,355,363,2,4,133,77,3030,2897,2896,10,15,25,12,0,12,0.0212,0.0331
43,15,5,5,388,391,2,6,110,63,2938,2828,2833,9,9,18,12,10,22,0.0171,0.0368
43,16,5,5,277,284,2,13,153,56,3262,3109,3108,15,9,24,9,0,9,0.0254,0.0321
43,17,5,5,331,326,2,7,182,11,3470,3288,3286,11,10,21,14,15,29,0.0212,0.0358
43,18,5,5,355,361,2,6,107,39,3142,3035,3036,17,10,27,10,4,14,0.0305,0.0412
43,19,5,5,349,369,2,11,30,20,2326,2296,2303,8,5,13,9,13,22,0.0291,0.0331
43,20,5,5,282,286,2,13,3,12,1720,1717,1706,3,5,8,9,0,9,0.0216,0.0229
43,21,5,5,344,362,2,12,148,65,3236,3088,3095,16,12,28,5,11,16,0.0364,0.0202
43,22,5,5,373,386,2,4,103,27,3076,2973,2970,15,6,21,11,25,36,0.0407,0.0223
43,23,5,5,341,349,2,2,160,76,3268,3108,3108,16,12,28,15,0,15,0.0421,0.0355
43,24,5,5,359,356,2,9,143,49,3372,3229,3232,15,12,27,19,4,23,0.0371,0.0397
43,25,5,5,342,340,2,3,122,54,3304,3182,3179,10,8,18,8,2,10,0.0398,0.0464
43,26,5,5,325,345,2,5,70,25,2308,2238,2240,8,10,18,14,9,23,0.0317,0.0528
43,27,5,5,279,286,2,12,34,14,1574,1540,1544,5,8,13,8,8,16,0.0279,0.0477
