seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
48,6,5,5,0,0,0,0,2,0,32,30,26,0,0,0,0,0,0,0.0107,0.0187
48,7,5,5,343,352,2,5,133,37,3214,3081,3079,12,15,27,6,10,16,0.0186,0.0319
48,8,5,5,345,359,2,7,125,58,2986,2861,2861,9,15,24,6,5,11,0.0226,0.0426
48,9,5,5,418,414,2,7,119,70,3272,3153,3156,13,9,22,5,0,5,0.0336,0.0457
48,10,5,5,360,367,2,4,187,91,3510,3323,3317,11,10,21,9,7,16,0.0361,0.0535
48,11,5,5,371,373,2,5,134,43,3104,2970,2978,11,9,20,18,11,29,0.0266,0.0584
48,12,5,5,300,308,3,14,56,27,2320,2264,2266,5,10,15,8,0,8,0.023,0.0541
48,13,5,5,317,325,2,10,12,13,1490,1478,1473,4,5,9,8,10,18,0.0176,0.0474
48,14,5,5,355,367,2,8,146,42,2996,2850,2842,10,9,19,7,9,16,0.0216,0.0486
48,15,5,5,327,334,2,7,195,56,3084,2889,2899,8,9,17,4,17,21,0.0267,0.0507
48,16,5,5,339,359,2,10,206,72,3266,3060,3061,8,6,14,9,8,17,0.0254,0.0455
48,17,5,5,356,353,2,9,140,70,3470,3330,3322,13,12,25,12,0,12,0.0271,0.0501
48,18,5,5,351,371,2,7,143,51,3046,2903,2909,12,16,28,12,19,31,0.0266,0.0613
48,19,5,5,347,351,2,5,39,16,2274,2235,2235,9,6,15,12,0,12,0.0228,0.0617
48,20,5,5,304,317,2,4,52,7,1730,1678,1670,6,3,9,14,12,26,0.0106,0.0597
48,21,5,5,370,359,2,4,125,47,3092,2967,2974,12,8,20,3,0,3,0.0227,0.0653
48,22,5,5,324,344,2,4,166,69,3050,2884,2884,15,9,24,8,8,16,0.0332,0.0716
48,23,5,5,350,346,2,12,180,59,3208,3028,3025,12,16,28,9,4,13,0.0375,0.0791
48,24,5,5,331,343,2,8,195,59,3468,3273,3273,13,17,30,11,0,11,0.0407,0.0921
48,25,5,5,342,344,2,6,151,36,3042,2891,2895,12,6,18,10,20,30,0.0426,0.0904
48,26,5,5,282,295,2,15,45,33,2386,2341,2344,14,15,29,20,0,20,0.0353,0.0923
48,27,5,5,287,289,2,11,35,16,1606,1571,1570,6,11,17,12,17,29,0.0269,0.0915
