seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
44,6,5,5,0,0,0,0,0,0,48,48,41,0,0,0,0,0,0,0.0158,0.0211
44,7,5,5,364,384,2,10,127,82,3022,2895,2901,5,15,20,6,6,12,0.0146,0.0278
44,8,5,5,397,394,2,8,115,60,3098,2983,2981,11,7,18,6,0,6,0.0214,0.0268
44,9,5,5,341,360,2,7,131,43,3218,3087,3087,23,16,39,13,18,31,0.033,0.0383
44,10,5,5,314,322,2,9,134,29,3420,3286,3289,13,10,23,12,0,12,0.0347,0.0401
44,11,5,5,345,352,2,10,100,45,2920,2820,2820,12,11,23,14,16,30,0.0318,0.0411
44,12,5,5,334,336,2,9,54,24,2248,2194,2194,8,5,13,10,0,10,0.0295,0.0362
44,13,5,5,314,331,2,6,52,13,1718,1666,1657,10,4,14,17,10,27,0.02,0.0333
44,14,5,5,357,366,2,8,129,65,2980,2851,2859,10,10,20,6,15,21,0.0251,0.0357
44,15,5,5,336,342,2,9,197,55,3034,2837,2838,11,16,27,13,8,21,0.0225,0.045
44,16,5,5,345,344,2,11,179,60,3298,3119,3114,14,5,19,8,0,8,0.0309,0.0376
44,17,5,5,308,319,2,4,176,37,3464,3288,3295,15,17,32,13,9,22,0.0333,0.0547
44,18,5,5,360,365,2,7,180,56,3204,3024,3024,12,13,25,17,15,32,0.0264,0.062
44,19,5,5,319,336,2,9,79,24,2272,2193,2193,7,7,14,14,0,14,0.0174,0.0601
44,20,5,5,257,264,2,15,26,12,1636,1610,1604,4,10,14,8,7,15,0.0121,0.054
44,21,5,5,360,361,2,10,182,85,3204,3022,3019,13,9,22,4,21,25,0.0239,0.0519
44,22,5,5,265,285,2,18,148,48,2930,2782,2789,15,19,34,14,3,17,0.0231,0.0543
44,23,5,5,359,367,2,9,186,29,3140,2954,2954,7,12,19,7,10,17,0.023,0.0583
44,24,5,5,334,343,2,9,216,46,3538,3322,3321,8,17,25,6,18,24,0.0254,0.0683
44,25,5,5,347,357,2,10,138,37,3138,3000,3003,20,13,33,15,16,31,0.0319,0.0717
44,26,5,5,268,288,2,15,32,33,2318,2286,2285,6,12,18,10,12,22,0.0267,0.068
44,27,5,5,263,275,2,13,11,3,1562,1551,1553,7,4,11,15,0,15,0.0163,0.057
