seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
50,6,23,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,0,0,0,0,0,-15,-24,-22,-11,-13,-15,-13
50,7,0,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,7,1,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,7,2,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,7,3,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,7,4,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,2,0,24,18,26,0,0,0,0,0,0,0
50,7,5,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,11,3,185,152,196,0,0,0,0,0,0,0
50,7,6,33,33,1,0,5,0,1,0.0145,0.0158,0,0,1,0,11,1,183,186,194,0,0,0,1,0,0,0
50,7,7,26,33,0,0,5,2,0,0.0158,0.0158,1,0,2,1,12,10,114,131,126,1,0,1,0,0,0,0
50,7,8,35,28,0,0,5,0,0,0.0158,0.0158,0,0,0,0,2,6,122,113,124,0,0,0,0,0,0,0
50,7,9,23,29,0,0,5,0,0,0.0158,0.0158,0,0,0,0,4,1,132,132,136,0,0,0,0,0,0,0
50,7,10,10,24,0,0,6,0,0,0.0158,0.0158,0,0,0,0,9,4,177,178,186,0,0,0,0,0,0,0
50,7,11,36,30,0,0,6,2,1,0.0185,0.0172,0,0,3,0,2,3,172,166,174,1,0,1,1,0,0,0
50,7,12,34,27,0,0,6,0,1,0.0185,0.0185,0,0,1,0,10,1,230,227,240,1,0,0,0,0,0,0
50,7,13,15,24,0,0,5,1,1,0.0198,0.0185,0,0,2,0,3,0,195,186,198,0,0,0,0,1,1,0
50,7,14,27,31,0,0,4,2,2,0.0211,0.0211,0,0,4,0,28,12,386,354,414,1,0,0,2,0,0,1
50,7,15,28,28,0,0,4,0,1,0.0224,0.0237,0,0,1,0,9,14,257,273,266,0,0,0,1,0,0,0
50,7,16,28,14,0,0,5,1,0,0.0185,0.0237,4,0,1,4,5,5,163,186,168,0,0,1,0,0,0,0
50,7,17,24,34,0,0,5,2,0,0.0198,0.0237,1,0,2,1,13,2,149,156,162,0,0,0,1,1,0,0
50,7,18,25,13,0,0,4,2,0,0.0211,0.0237,1,0,2,1,8,4,154,152,162,0,1,0,0,1,0,0
50,7,19,11,14,1,3,4,0,1,0.021,0.021,0,7,1,7,6,5,94,103,100,0,0,0,0,1,0,0
50,7,20,0,0,0,0,0,0,0,0.021,0.021,0,0,0,0,3,2,71,75,74,0,0,0,0,0,0,0
50,7,21,0,0,0,0,0,1,0,0.0223,0.021,0,0,1,0,1,3,81,83,82,0,0,0,0,1,0,0
50,7,22,0,0,0,0,0,0,0,0.0223,0.021,0,0,0,0,0,2,0,17,0,0,0,0,0,0,0,0
50,7,23,0,0,0,0,0,0,0,0.0223,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,8,0,0,0,0,0,0,0,0,0.0223,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,8,1,0,0,0,0,0,0,1,0.0223,0.0223,0,0,1,0,0,0,2,2,2,0,1,0,0,0,0,0
50,8,2,0,0,0,0,0,0,0,0.0223,0.0223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,8,3,0,0,0,0,0,0,0,0.0223,0.0223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,8,4,0,0,0,0,0,1,0,0.0236,0.0223,0,0,1,0,4,1,20,16,24,0,0,0,1,0,0,0
50,8,5,0,0,0,0,0,0,0,0.0236,0.0223,0,0,0,0,44,1,182,155,226,0,0,0,0,0,0,0
50,8,6,16,31,1,0,4,1,2,0.0249,0.0236,0,0,3,0,32,8,162,166,194,0,1,1,1,0,0,0
50,8,7,18,23,0,0,6,0,1,0.0249,0.0249,0,0,1,0,10,4,134,127,144,0,0,0,0,0,1,0
50,8,8,31,26,0,0,6,2,1,0.0236,0.0276,2,0,3,2,0,3,156,158,156,0,1,1,1,0,0,0
50,8,9,27,30,0,0,5,3,0,0.0236,0.0276,3,0,3,3,5,5,157,161,162,1,1,1,0,0,0,0
50,8,10,14,16,0,0,5,0,0,0.0223,0.0276,1,0,0,1,6,2,150,142,156,0,0,0,0,0,0,0
50,8,11,28,28,0,0,4,0,1,0.0197,0.0289,2,0,1,2,0,2,142,145,142,0,1,0,0,0,0,0
50,8,12,27,27,0,0,7,1,0,0.0184,0.0289,2,0,1,2,1,0,231,221,232,1,0,0,0,0,0,0
50,8,13,28,14,0,0,5,0,3,0.0184,0.0315,1,0,3,1,18,2,308,285,326,3,0,0,0,0,0,0
50,8,14,14,28,0,0,4,4,0,0.0223,0.0328,1,0,4,1,14,2,336,338,350,1,2,0,0,1,0,0
50,8,15,41,27,0,0,6,0,1,0.0197,0.0341,2,0,1,2,2,0,176,210,178,0,0,1,0,0,0,0
50,8,16,12,26,0,0,5,0,0,0.0184,0.0341,1,0,0,1,7,4,225,208,232,0,0,0,0,0,0,0
50,8,17,34,25,0,0,5,0,0,0.0184,0.0341,0,0,0,0,3,6,177,197,180,0,0,0,0,0,0,0
50,8,18,20,29,0,0,7,0,0,0.0171,0.0341,1,0,0,1,1,0,97,108,98,0,0,0,0,0,0,0
50,8,19,19,19,1,9,6,0,0,0.0172,0.0225,0,2,0,2,1,0,81,77,82,0,0,0,0,0,0,0
50,8,20,0,0,0,0,0,0,0,0.0172,0.0225,0,0,0,0,1,0,79,88,80,0,0,0,0,0,0,0
50,8,21,0,0,0,0,0,0,0,0.0172,0.0225,0,0,0,0,0,0,44,48,44,0,0,0,0,0,0,0
50,8,22,0,0,0,0,0,0,0,0.0172,0.0225,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
50,8,23,0,0,0,0,0,0,0,0.0172,0.0225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,9,0,0,0,0,0,0,0,0,0.0172,0.0225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,9,1,0,0,0,0,0,0,0,0.0172,0.0225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,9,2,0,0,0,0,0,0,0,0.0172,0.0225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,9,3,0,0,0,0,0,0,0,0.0172,0.0225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,9,4,0,0,0,0,0,0,0,0.0172,0.0225,0,0,0,0,0,0,32,24,32,0,0,0,0,0,0,0
50,9,5,0,0,0,0,0,1,0,0.0185,0.0225,0,0,1,0,15,5,189,163,204,0,0,0,0,0,1,0
50,9,6,27,14,1,0,4,3,1,0.0211,0.0237,0,3,4,3,26,15,198,191,224,1,2,0,0,0,1,0
50,9,7,9,18,0,0,5,0,1,0.0211,0.0251,1,0,1,1,8,3,120,140,128,0,0,1,0,0,0,0
50,9,8,19,28,0,0,5,1,0,0.0224,0.0251,0,0,1,0,2,2,164,159,166,0,0,0,1,0,0,0
50,9,9,31,26,0,0,5,0,0,0.0211,0.0251,1,0,0,1,4,0,162,163,166,0,0,0,0,0,0,0
50,9,10,36,29,0,0,6,1,0,0.0211,0.0251,1,0,1,1,2,0,202,195,204,1,0,0,0,0,0,0
50,9,11,31,37,0,0,6,1,0,0.0224,0.0251,0,0,1,0,7,5,167,171,174,0,0,1,0,0,0,0
50,9,12,30,31,0,0,6,1,2,0.0224,0.0277,1,0,3,1,1,4,231,211,232,0,1,1,1,0,0,0
50,9,13,29,23,0,0,8,1,0,0.0237,0.0277,0,0,1,0,4,10,318,317,322,0,1,0,0,0,0,0
50,9,14,28,22,0,0,5,3,0,0.0264,0.0277,1,0,3,1,7,9,319,303,326,1,0,0,1,1,0,0
50,9,15,17,28,0,0,5,1,2,0.0277,0.0303,0,0,3,0,7,1,239,265,246,2,0,0,0,0,0,1
