seed,exp_name,alpha,duration_hours,total_runtime_s,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
42,Imbalance_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.946,400.1933,2473,783,60282,57809,57808,213,42,207,213,213,200,6900,7118,0.0157,0.0328,0.9514,0.0169,0.0652,0.9179,13,50,210,230,207,200
43,Imbalance_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9463,397.7249,2298,930,60062,57764,57764,183,42,206,183,183,174,6958,7150,0.0079,0.0329,0.9593,0.0157,0.0535,0.9308,12,41,214,192,206,174
44,Imbalance_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9436,398.449,2580,770,59410,56830,56833,206,42,224,206,206,186,6986,7191,0.0157,0.0288,0.9556,0.0131,0.0588,0.9281,10,45,223,222,224,186
45,Imbalance_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9459,396.9713,2382,839,59520,57138,57141,184,42,218,184,184,185,7015,7204,0.0105,0.0276,0.9619,0.0352,0.0456,0.9192,27,35,238,193,218,185
46,Imbalance_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9459,397.2697,2352,838,58938,56586,56586,178,42,216,178,178,172,7105,7286,0.0105,0.0316,0.9578,0.0222,0.0522,0.9257,17,40,225,190,216,172
47,Imbalance_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9437,397.9028,2427,916,59402,56975,56974,202,42,172,202,202,199,7072,7289,0.0132,0.0448,0.942,0.0235,0.0561,0.9204,18,43,182,208,172,199
48,Imbalance_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9411,398.2114,2553,959,59646,57093,57092,187,42,207,187,187,173,6903,7090,0.0106,0.0317,0.9578,0.0224,0.066,0.9116,17,50,216,210,207,173
49,Imbalance_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9451,397.0988,2245,1001,59136,56891,56892,188,42,214,188,188,181,6960,7156,0.0131,0.0327,0.9542,0.0183,0.0627,0.9191,14,48,218,211,214,181
50,Imbalance_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9421,397.4211,2500,941,59402,56902,56902,176,42,217,176,176,169,7151,7338,0.0143,0.0261,0.9596,0.0248,0.0574,0.9179,19,44,227,203,217,169
51,Imbalance_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9434,399.0182,2444,942,59852,57408,57409,209,42,226,209,209,204,6834,7039,0.0119,0.0264,0.9618,0.013,0.0768,0.9102,10,59,227,244,226,204
