seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
48,6,23,0,0,0,0,0,0,0,0.0107,0.0187,0,0,0,0,0,0,0,0,0,-31,-24,-24,-21,-17,-19,-16
48,7,0,0,0,0,0,0,0,0,0.0107,0.0187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,7,1,0,0,0,0,0,0,0,0.0107,0.0187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,7,2,0,0,0,0,0,0,0,0.0107,0.0187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,7,3,0,0,0,0,0,0,0,0.0107,0.0187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,7,4,0,0,0,0,0,0,0,0.0107,0.0187,0,0,0,0,2,0,30,26,32,0,0,0,0,0,0,0
48,7,5,0,0,0,0,0,0,0,0.0107,0.0187,0,0,0,0,7,0,177,155,184,0,0,0,0,0,0,0
48,7,6,14,20,1,0,6,0,0,0.0107,0.0187,0,0,0,0,9,2,189,183,198,0,0,0,0,0,0,0
48,7,7,29,37,0,0,5,0,1,0.0107,0.0201,0,0,1,0,5,2,127,137,132,1,0,0,0,0,0,0
48,7,8,26,19,0,0,7,0,0,0.0107,0.0201,0,0,0,0,8,0,100,100,108,0,0,0,0,0,0,0
48,7,9,23,30,0,0,7,0,1,0.0107,0.0214,0,0,1,0,1,7,191,183,192,0,1,0,0,0,0,0
48,7,10,28,26,0,0,6,0,0,0.0107,0.0214,0,0,0,0,3,4,169,166,172,0,0,0,0,0,0,0
48,7,11,38,27,0,0,5,2,1,0.012,0.0227,0,0,3,0,7,4,221,205,228,0,0,3,0,0,0,0
48,7,12,34,36,0,0,6,0,1,0.012,0.0241,0,0,1,0,13,12,197,212,210,0,1,0,0,0,0,0
48,7,13,21,20,0,0,5,2,0,0.012,0.0241,1,0,2,1,9,16,207,203,216,1,1,0,0,0,0,0
48,7,14,25,37,0,0,7,4,1,0.0174,0.0241,0,0,5,0,42,27,422,378,464,0,3,0,1,0,1,0
48,7,15,23,23,0,0,6,2,2,0.0201,0.0267,0,0,4,0,13,28,271,292,284,3,1,0,0,0,0,0
48,7,16,31,21,0,0,5,0,0,0.0227,0.0281,0,0,0,0,13,12,157,187,170,0,0,0,0,0,0,0
48,7,17,18,28,0,0,7,0,1,0.0214,0.0294,1,0,1,1,7,4,191,190,198,0,0,0,1,0,0,0
48,7,18,27,18,0,0,5,0,3,0.0187,0.0334,2,0,3,2,4,3,160,153,164,1,0,0,1,0,0,1
48,7,19,17,26,1,12,6,0,1,0.0188,0.0188,0,10,1,10,4,4,92,110,96,0,1,0,0,0,0,0
48,7,20,0,0,0,0,0,0,0,0.0188,0.0188,0,0,0,0,1,8,91,98,92,0,0,0,0,0,0,0
48,7,21,0,0,0,0,0,1,0,0.0188,0.0188,0,0,1,0,2,8,76,78,78,0,0,0,0,1,0,0
48,7,22,0,0,0,0,0,0,0,0.0201,0.0188,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0
48,7,23,0,0,0,0,0,0,0,0.0201,0.0188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,8,0,0,0,0,0,0,0,0,0.0201,0.0188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
