seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
44,6,23,0,0,0,0,0,0,0,0.0158,0.0211,0,0,0,0,0,0,0,0,0,-19,-27,-28,-22,-11,-18,-14
44,7,0,0,0,0,0,0,0,0,0.0158,0.0211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,7,1,0,0,0,0,0,0,0,0.0158,0.0211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,7,2,0,0,0,0,0,0,0,0.0158,0.0211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,7,3,0,0,0,0,0,0,0,0.0158,0.0211,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,7,4,0,0,0,0,0,0,0,0.0158,0.0211,0,0,0,0,0,0,48,40,48,0,0,0,0,0,0,0
44,7,5,0,0,0,0,0,0,2,0.0158,0.0237,0,0,2,0,19,2,165,154,184,1,1,0,0,0,0,0
44,7,6,17,35,1,0,5,0,1,0.0132,0.025,2,0,1,2,10,0,200,186,210,0,1,0,0,0,0,0
44,7,7,31,29,0,0,6,0,1,0.0132,0.0264,0,0,1,0,8,0,126,143,134,1,0,0,0,0,0,0
44,7,8,37,23,0,0,7,0,0,0.0132,0.0264,0,0,0,0,7,0,137,125,144,0,0,0,0,0,0,0
44,7,9,25,38,0,0,6,0,0,0.0119,0.0264,1,0,0,1,8,2,148,151,156,0,0,0,0,0,0,0
44,7,10,16,18,0,0,3,1,1,0.0132,0.0264,0,0,2,0,10,0,176,174,186,0,1,0,0,0,1,0
44,7,11,34,26,0,0,8,0,0,0.0132,0.0277,0,0,0,0,5,0,139,140,144,0,0,0,0,0,0,0
44,7,12,36,37,0,0,8,0,0,0.0132,0.0277,0,0,0,0,4,0,198,196,202,0,0,0,0,0,0,0
44,7,13,19,25,0,0,5,3,0,0.0145,0.0277,1,0,3,1,9,5,221,213,230,0,1,0,1,1,0,0
44,7,14,32,36,0,0,4,0,1,0.0158,0.029,0,0,1,0,38,17,382,362,420,1,0,0,0,0,0,0
44,7,15,32,14,0,0,3,3,0,0.0184,0.029,1,0,3,1,21,23,203,222,224,1,0,0,1,0,0,1
44,7,16,19,37,0,0,4,0,1,0.0171,0.0303,1,0,1,1,11,7,183,191,194,0,0,0,0,0,1,0
44,7,17,36,18,0,0,5,0,0,0.0171,0.0303,0,0,0,0,5,3,163,158,168,0,0,0,0,0,0,0
44,7,18,7,25,0,0,4,0,0,0.0158,0.0303,1,0,0,1,2,0,156,164,158,0,0,0,0,0,0,0
44,7,19,12,12,1,5,6,0,0,0.0145,0.0237,1,6,0,7,4,5,102,113,106,0,0,0,0,0,0,0
44,7,20,0,0,0,0,0,0,2,0.0145,0.025,0,0,2,0,4,2,76,71,80,0,1,0,0,0,1,0
44,7,21,0,0,0,0,0,0,0,0.0145,0.0263,0,0,0,0,1,0,59,68,60,0,0,0,0,0,0,0
44,7,22,0,0,0,0,0,0,0,0.0145,0.0263,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
44,7,23,0,0,0,0,0,0,0,0.0145,0.0263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,0,0,0,0,0,0,0,0,0.0145,0.0263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,1,0,0,0,0,0,0,0,0.0145,0.0263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,2,0,0,0,0,0,0,0,0.0145,0.0263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,3,0,0,0,0,0,0,0,0.0145,0.0263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,4,0,0,0,0,0,0,0,0.0145,0.0263,0,0,0,0,0,0,22,16,22,0,0,0,0,0,0,0
44,8,5,0,0,0,0,0,0,3,0.0145,0.0289,0,0,3,0,25,3,195,168,220,0,2,0,0,0,1,0
44,8,6,17,23,1,0,4,1,0,0.0145,0.0303,1,0,1,1,28,4,178,178,206,0,0,0,0,0,1,0
44,8,7,38,34,0,0,4,0,0,0.0145,0.0303,0,0,0,0,13,1,135,139,148,0,0,0,0,0,0,0
44,8,8,28,32,0,0,5,1,0,0.0158,0.0303,0,0,1,0,9,0,127,125,136,1,0,0,0,0,0,0
44,8,9,39,27,0,0,6,0,0,0.0158,0.0303,0,0,0,0,2,1,166,164,168,0,0,0,0,0,0,0
44,8,10,22,34,0,0,5,0,1,0.0158,0.0316,0,0,1,0,6,3,124,143,130,1,0,0,0,0,0,0
44,8,11,24,22,0,0,6,0,0,0.0158,0.0316,0,0,0,0,10,4,164,149,174,0,0,0,0,0,0,0
44,8,12,15,17,0,0,5,0,1,0.0145,0.0329,1,0,1,1,7,4,229,222,236,0,0,0,0,0,1,0
44,8,13,32,21,0,0,5,1,1,0.0158,0.0342,0,0,2,0,16,6,298,278,314,0,1,1,0,0,0,0
44,8,14,25,21,0,0,5,2,1,0.0158,0.0355,1,0,3,1,30,34,312,298,342,1,0,0,0,0,1,1
44,8,15,23,35,0,0,5,1,1,0.0171,0.0368,1,0,2,1,10,5,232,256,242,0,1,0,0,0,1,0
44,8,16,41,29,0,0,6,1,1,0.0184,0.0382,0,0,2,0,12,3,192,197,204,0,0,1,1,0,0,0
44,8,17,23,30,0,0,5,0,0,0.0184,0.0382,0,0,0,0,2,1,138,147,140,0,0,0,0,0,0,0
44,8,18,31,25,0,0,7,0,0,0.0171,0.0382,1,0,0,1,5,0,145,160,150,0,0,0,0,0,0,0
44,8,19,17,23,1,6,5,1,0,0.0172,0.0305,0,0,1,0,3,1,135,124,138,0,1,0,0,0,0,0
44,8,20,0,0,0,0,0,0,0,0.0186,0.0305,0,0,0,0,1,0,83,89,84,0,0,0,0,0,0,0
44,8,21,0,0,0,0,0,0,0,0.0186,0.0305,0,0,0,0,3,2,31,48,34,0,0,0,0,0,0,0
44,8,22,0,0,0,0,0,0,0,0.0186,0.0305,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0
44,8,23,0,0,0,0,0,0,0,0.0186,0.0305,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,9,0,0,0,0,0,0,0,0,0.0186,0.0305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,9,1,0,0,0,0,0,0,0,0.0186,0.0305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,9,2,0,0,0,0,0,0,0,0.0186,0.0305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,9,3,0,0,0,0,0,0,0,0.0186,0.0305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,9,4,0,0,0,0,0,0,0,0.0186,0.0305,0,0,0,0,6,1,26,24,32,0,0,0,0,0,0,0
44,9,5,0,0,0,0,0,0,1,0.0186,0.0318,0,0,1,0,42,4,196,159,238,0,0,0,1,0,0,0
44,9,6,23,19,1,0,5,0,0,0.0184,0.0316,0,5,0,5,46,14,208,203,254,0,0,0,0,0,0,0
44,9,7,35,32,0,0,4,1,0,0.0184,0.0316,0,0,1,0,14,5,98,121,112,0,0,1,0,0,0,0
44,9,8,39,39,0,0,6,0,0,0.0198,0.0316,1,0,0,1,5,0,153,146,158,0,0,0,0,0,0,0
44,9,9,26,31,0,0,5,1,1,0.0171,0.0329,1,0,2,1,4,9,160,165,164,1,0,0,0,1,0,0
44,9,10,14,29,0,0,5,0,0,0.0171,0.0329,0,0,0,0,9,6,163,157,172,0,0,0,0,0,0,0
44,9,11,40,20,0,0,4,0,1,0.0145,0.0343,2,0,1,2,4,2,148,141,152,0,0,0,0,0,1,0
44,9,12,19,30,0,0,4,1,1,0.0119,0.0356,3,0,2,3,10,1,222,219,232,0,0,1,1,0,0,0
44,9,13,11,13,0,0,6,0,0,0.0119,0.0356,0,0,0,0,5,0,311,304,316,0,0,0,0,0,0,0
44,9,14,19,26,0,0,4,3,1,0.0158,0.0369,0,0,4,0,14,0,304,294,318,0,1,2,0,0,1,0
44,9,15,35,29,0,0,6,1,2,0.0171,0.0382,0,0,3,0,6,2,232,245,238,0,0,0,1,1,1,0
44,9,16,24,30,0,0,6,3,6,0.0211,0.0461,0,0,9,0,4,3,254,251,258,0,3,2,2,0,1,1
44,9,17,25,25,0,0,6,1,0,0.0211,0.0474,1,0,1,1,3,1,189,198,192,0,0,0,0,1,0,0
44,9,18,32,23,0,0,6,1,0,0.0211,0.0474,1,0,1,1,3,3,151,153,154,0,1,0,0,0,0,0
44,9,19,22,18,1,2,6,2,2,0.0236,0.0459,0,6,4,6,2,3,102,116,104,0,0,1,2,0,0,1
44,9,20,0,0,0,0,0,0,0,0.0236,0.0472,0,0,0,0,0,1,78,77,78,0,0,0,0,0,0,0
44,9,21,0,0,0,0,0,0,3,0.0236,0.0511,0,0,3,0,3,0,55,59,58,0,1,0,1,0,0,1
44,9,22,0,0,0,0,0,0,0,0.0236,0.0511,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
44,9,23,0,0,0,0,0,0,0,0.0236,0.0511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,10,0,0,0,0,0,0,0,0,0.0236,0.0511,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,10,1,0,0,0,0,0,0,0,0.0236,0.0511,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,10,2,0,0,0,0,0,0,0,0.0236,0.0511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,10,3,0,0,0,0,0,0,0,0.0236,0.0511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,10,4,0,0,0,0,0,0,0,0.0236,0.0511,0,0,0,0,0,0,20,15,20,0,0,0,0,0,0,0
44,10,5,0,0,0,0,0,1,1,0.0249,0.0524,0,0,2,0,15,6,163,142,178,0,0,0,0,1,1,0
44,10,6,14,19,1,0,3,2,1,0.0262,0.0537,1,0,3,1,37,0,169,169,206,0,2,0,1,0,0,0
44,10,7,27,27,0,0,6,1,0,0.0249,0.0537,2,0,1,2,18,3,114,123,132,0,0,1,0,0,0,0
44,10,8,28,26,0,0,5,0,0,0.0223,0.0537,2,0,0,2,6,4,124,117,130,0,0,0,0,0,0,0
44,10,9,31,31,0,0,5,0,0,0.021,0.0537,1,0,0,1,9,0,163,160,172,0,0,0,0,0,0,0
44,10,10,21,37,0,0,5,1,1,0.0223,0.055,0,0,2,0,10,1,182,176,192,0,2,0,0,0,0,0
44,10,11,29,19,0,0,5,1,0,0.0197,0.055,3,0,1,3,6,0,194,186,200,0,0,1,0,0,0,0
44,10,12,20,29,0,0,6,1,0,0.0183,0.055,1,0,1,1,12,0,200,187,212,1,0,0,0,0,0,0
44,10,13,16,17,0,0,3,2,1,0.0223,0.0564,0,0,3,0,17,2,295,283,312,0,1,1,0,0,0,1
44,10,14,25,25,0,0,5,1,1,0.021,0.0564,1,0,2,1,11,2,337,335,348,1,0,1,0,0,0,0
44,10,15,27,16,0,0,4,0,0,0.0223,0.0577,0,0,0,0,11,12,285,297,296,0,0,0,0,0,0,0
