seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
49,6,5,5,0,0,0,0,0,0,16,16,18,0,0,0,0,0,0,0.0132,0.0212
49,7,5,5,350,370,2,10,148,78,3154,3006,3002,7,13,20,7,10,17,0.0132,0.0251
49,8,5,5,357,356,2,3,128,69,3152,3024,3023,11,11,22,7,0,7,0.0173,0.0359
49,9,5,5,302,315,2,13,172,33,3244,3072,3066,10,10,20,12,10,22,0.016,0.032
49,10,5,5,357,368,2,8,112,33,3392,3280,3282,13,15,28,12,16,28,0.0158,0.0409
49,11,5,5,339,341,2,9,135,42,3074,2939,2944,13,15,28,7,0,7,0.024,0.0494
49,12,5,5,316,326,2,11,58,15,2278,2220,2222,7,4,11,11,8,19,0.0188,0.0402
49,13,5,5,303,310,2,9,27,17,1652,1625,1622,6,5,11,8,9,17,0.0161,0.0349
49,14,5,5,329,349,2,9,211,65,3080,2869,2867,11,9,20,7,20,27,0.0211,0.0343
49,15,5,5,380,379,2,8,88,81,3026,2938,2942,9,8,17,8,0,8,0.0227,0.0347
49,16,5,5,323,339,2,6,157,36,3116,2959,2955,8,10,18,5,9,14,0.0266,0.0399
49,17,5,5,310,323,2,14,139,51,3386,3247,3252,13,18,31,7,14,21,0.0346,0.0452
49,18,5,5,372,370,2,11,153,19,3094,2941,2938,14,9,23,9,12,21,0.0412,0.0425
49,19,5,5,285,300,2,5,63,12,2326,2263,2264,8,9,17,20,2,22,0.0253,0.048
49,20,5,5,314,321,2,9,7,31,1640,1633,1629,11,8,19,10,16,26,0.0264,0.0462
49,21,5,5,327,334,2,11,123,69,3014,2891,2896,7,7,14,11,9,20,0.0212,0.0411
49,22,5,5,318,336,2,10,197,63,3120,2923,2916,9,9,18,8,0,8,0.0228,0.0403
49,23,5,5,311,313,2,11,167,67,3168,3001,3009,13,7,20,7,21,28,0.0305,0.0344
49,24,5,5,300,309,2,10,110,38,3292,3182,3180,17,15,32,13,0,13,0.0362,0.0416
49,25,5,5,363,377,2,5,142,74,3060,2918,2919,7,10,17,11,21,32,0.0302,0.0473
49,26,5,5,322,339,2,7,39,7,2228,2189,2192,9,12,21,13,5,18,0.025,0.054
49,27,5,5,277,271,2,9,19,17,1624,1605,1602,4,6,10,13,7,20,0.0132,0.0502
