seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
50,6,5,5,0,0,0,0,2,0,26,24,19,0,0,0,0,0,0,0.0145,0.0145
50,7,5,5,360,370,2,2,121,45,3028,2907,2907,14,10,24,10,9,19,0.0196,0.0248
50,8,5,5,310,329,2,10,121,51,3014,2893,2891,11,8,19,12,0,12,0.0185,0.0225
50,9,5,5,360,362,2,6,156,36,3226,3070,3071,14,13,27,10,12,22,0.0237,0.0315
50,10,5,5,310,307,2,7,173,30,3570,3397,3396,18,11,29,13,0,13,0.0292,0.0371
50,11,5,5,328,340,2,11,119,42,2944,2825,2824,15,11,26,14,13,27,0.0304,0.037
50,12,5,5,318,332,2,8,40,32,2244,2204,2209,8,8,16,10,0,10,0.0281,0.0374
50,13,5,5,299,309,2,10,10,11,1596,1586,1583,6,6,12,9,11,20,0.024,0.032
50,14,5,5,348,356,2,8,126,54,3184,3058,3057,11,12,23,8,18,26,0.0264,0.0369
50,15,5,5,296,300,2,13,159,46,3008,2849,2851,10,18,28,10,0,10,0.0268,0.0442
50,16,5,5,340,343,2,8,187,50,3248,3061,3063,16,11,27,15,16,31,0.0279,0.0477
50,17,5,5,310,322,2,12,206,56,3420,3214,3213,12,12,24,12,5,17,0.0281,0.0482
50,18,5,5,348,359,2,11,129,43,3024,2895,2899,9,14,23,14,18,32,0.0212,0.0517
50,19,5,5,295,310,2,12,35,21,2352,2317,2315,4,4,8,7,2,9,0.0175,0.0417
50,20,5,5,266,282,2,10,22,7,1626,1604,1604,4,12,16,9,11,20,0.0107,0.0443
50,21,5,5,321,335,2,12,136,52,3154,3018,3017,12,8,20,8,22,30,0.0159,0.0384
50,22,5,5,342,347,2,6,164,42,3060,2896,2889,11,14,25,7,0,7,0.0214,0.0494
50,23,5,5,319,331,2,15,128,35,3166,3038,3044,10,11,21,12,12,24,0.0188,0.0442
50,24,5,5,331,334,2,12,211,42,3446,3235,3238,12,12,24,8,18,26,0.0239,0.0439
50,25,5,5,289,302,2,13,89,31,3094,3005,3004,10,9,19,12,13,25,0.0213,0.0386
50,26,5,5,309,329,2,10,90,33,2292,2202,2202,7,11,18,12,2,14,0.0148,0.0403
50,27,5,5,274,281,2,12,20,19,1680,1660,1662,5,5,10,7,13,20,0.0121,0.0309
