seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
42,6,23,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,-22,-28,-19,-26,-5,-16,-11
42,7,0,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7,1,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7,2,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7,3,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7,4,0,0,0,0,0,1,0,0.0171,0.0303,0,0,1,0,1,0,33,21,34,0,0,0,1,0,0,0
42,7,5,0,0,0,0,0,0,1,0.0171,0.0316,0,0,1,0,24,6,198,176,222,0,0,0,0,0,0,1
42,7,6,17,17,1,0,3,0,1,0.0171,0.0329,0,0,1,0,10,3,168,171,178,0,0,0,1,0,0,0
42,7,7,29,43,0,0,6,0,0,0.0171,0.0329,0,0,0,0,13,10,123,126,136,0,0,0,0,0,0,0
42,7,8,40,26,0,0,5,1,0,0.0184,0.0329,0,0,1,0,7,7,127,126,134,0,0,0,1,0,0,0
42,7,9,30,46,0,0,5,0,0,0.0184,0.0329,0,0,0,0,6,1,174,170,180,0,0,0,0,0,0,0
42,7,10,27,31,0,0,7,0,1,0.0184,0.0342,0,0,1,0,1,2,187,190,188,0,0,0,0,0,1,0
42,7,11,43,26,0,0,5,0,1,0.0184,0.0355,0,0,1,0,0,1,204,189,204,0,1,0,0,0,0,0
42,7,12,22,39,0,0,5,2,0,0.0211,0.0355,0,0,2,0,7,4,233,229,240,1,1,0,0,0,0,0
42,7,13,29,29,0,0,5,2,0,0.0237,0.0355,1,0,2,1,6,9,272,267,278,0,0,0,1,0,0,1
42,7,14,36,18,0,0,3,2,0,0.0237,0.0355,1,0,2,1,44,25,376,369,420,0,0,2,0,0,0,0
42,7,15,18,33,0,0,3,1,0,0.025,0.0355,0,0,1,0,25,17,239,257,264,0,0,0,1,0,0,0
