seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
42,6,23,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,-22,-28,-19,-26,-5,-16,-11
42,7,0,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7,1,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7,2,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7,3,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7,4,0,0,0,0,0,1,0,0.0171,0.0303,0,0,1,0,1,0,33,21,34,0,0,0,1,0,0,0
42,7,5,0,0,0,0,0,0,1,0.0171,0.0316,0,0,1,0,24,6,198,176,222,0,0,0,0,0,0,1
42,7,6,17,35,1,0,4,0,1,0.0171,0.0329,0,0,1,0,10,3,168,171,178,0,0,0,1,0,0,0
42,7,7,37,34,0,0,4,0,0,0.0171,0.0329,0,0,0,0,13,8,123,126,136,0,0,0,0,0,0,0
42,7,8,43,28,0,0,5,1,0,0.0184,0.0329,0,0,1,0,7,6,127,127,134,0,0,0,1,0,0,0
42,7,9,35,35,0,0,6,0,0,0.0184,0.0329,0,0,0,0,10,4,170,167,180,0,0,0,0,0,0,0
42,7,10,30,46,0,0,5,0,0,0.0184,0.0329,1,0,0,1,8,0,180,177,188,0,0,0,0,0,0,0
42,7,11,32,33,0,0,4,0,1,0.0171,0.0342,0,0,1,0,6,0,198,188,204,0,0,1,0,0,0,0
42,7,12,33,25,0,0,4,3,1,0.0211,0.0355,0,0,4,0,1,1,239,231,240,1,0,1,0,0,1,1
42,7,13,33,41,0,0,5,1,3,0.0224,0.0382,0,0,4,0,7,1,271,280,278,0,1,1,1,1,0,0
42,7,14,35,37,0,0,4,1,0,0.0237,0.0395,0,0,1,0,24,8,396,360,420,0,0,0,1,0,0,0
42,7,15,29,30,0,0,4,1,1,0.025,0.0408,0,0,2,0,25,5,239,280,264,1,0,0,1,0,0,0
