seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
43,6,5,5,0,0,0,0,2,0,26,24,18,0,0,0,0,0,0,0.0079,0.0265
43,7,5,5,377,392,2,7,145,68,3014,2869,2868,6,10,16,3,10,13,0.0119,0.0303
43,8,5,5,355,359,2,9,138,167,3138,3000,3000,10,9,19,3,0,3,0.0213,0.0307
43,9,5,5,338,354,2,7,135,46,3148,3013,3011,7,13,20,4,7,11,0.0253,0.0387
43,10,5,5,340,342,2,11,108,51,3470,3362,3368,11,14,25,10,16,26,0.0265,0.0424
43,11,5,5,369,374,2,9,112,47,3178,3066,3066,9,12,21,10,9,19,0.0252,0.0464
43,12,5,5,374,383,2,9,53,23,2370,2317,2319,6,6,12,5,2,7,0.0267,0.0428
43,13,5,5,317,339,3,10,23,12,1692,1669,1661,3,6,9,10,9,19,0.0174,0.0375
43,14,5,5,376,372,2,7,128,32,3030,2902,2903,12,13,25,2,16,18,0.0304,0.045
43,15,5,5,360,379,2,5,145,38,2938,2793,2799,7,9,16,10,3,13,0.0265,0.0504
43,16,5,5,340,351,2,10,164,54,3262,3098,3090,16,19,35,7,7,14,0.0386,0.0626
43,17,5,5,375,374,2,10,176,53,3470,3294,3296,9,12,21,13,15,28,0.0331,0.0648
43,18,5,5,329,345,2,7,176,32,3142,2966,2965,12,7,19,12,10,22,0.0329,0.0646
43,19,5,5,379,385,2,11,30,34,2326,2296,2305,6,9,15,12,0,12,0.0254,0.0628
43,20,5,5,328,334,3,11,10,31,1720,1710,1700,4,6,10,5,7,12,0.0242,0.0565
43,21,5,5,358,374,2,13,132,119,3236,3104,3109,7,10,17,4,22,26,0.0279,0.0518
43,22,5,5,313,324,2,11,138,41,3076,2938,2939,14,8,22,13,0,13,0.0296,0.0485
43,23,5,5,355,354,2,6,161,69,3268,3107,3103,9,11,20,6,19,25,0.0331,0.0543
43,24,5,5,373,393,2,8,150,57,3372,3222,3228,16,9,25,9,5,14,0.0426,0.0559
43,25,5,5,366,370,2,10,137,61,3304,3167,3165,4,10,14,11,6,17,0.0334,0.0561
43,26,5,5,311,318,2,12,42,6,2308,2266,2266,9,8,17,8,8,16,0.0349,0.0511
43,27,5,5,318,333,2,9,16,18,1574,1558,1564,11,6,17,15,22,37,0.0291,0.0462
