seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
44,6,23,0,0,0,0,0,0,0,0.0158,0.0211,0,0,0,0,0,0,0,0,0,-19,-27,-28,-22,-11,-18,-14
44,7,0,0,0,0,0,0,0,0,0.0158,0.0211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,7,1,0,0,0,0,0,0,0,0.0158,0.0211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,7,2,0,0,0,0,0,0,0,0.0158,0.0211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,7,3,0,0,0,0,0,0,0,0.0158,0.0211,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,7,4,0,0,0,0,0,0,0,0.0158,0.0211,0,0,0,0,0,0,48,40,48,0,0,0,0,0,0,0
44,7,5,0,0,0,0,0,0,2,0.0158,0.0237,0,0,2,0,19,2,165,154,184,1,1,0,0,0,0,0
44,7,6,12,32,1,0,4,0,1,0.0158,0.025,0,0,1,0,14,2,196,185,210,0,1,0,0,0,0,0
44,7,7,44,42,0,0,6,0,1,0.0158,0.0264,0,0,1,0,6,0,128,135,134,1,0,0,0,0,0,0
44,7,8,27,29,0,0,4,0,1,0.0158,0.0277,0,0,1,0,4,0,140,133,144,0,0,0,0,0,1,0
44,7,9,35,25,0,0,5,0,0,0.0158,0.0277,0,0,0,0,8,0,148,151,156,0,0,0,0,0,0,0
44,7,10,33,25,0,0,4,1,1,0.0158,0.029,0,0,2,0,16,3,170,174,186,1,0,0,0,1,0,0
44,7,11,39,40,0,0,7,0,0,0.0171,0.029,0,0,0,0,2,0,142,139,144,0,0,0,0,0,0,0
44,7,12,12,29,0,0,3,0,0,0.0171,0.029,0,0,0,0,0,0,202,198,202,0,0,0,0,0,0,0
44,7,13,40,27,0,0,6,2,0,0.0198,0.029,0,0,2,0,1,4,229,226,230,0,0,1,0,1,0,0
44,7,14,14,27,0,0,3,1,2,0.0184,0.0303,1,0,3,1,31,12,389,369,420,1,0,2,0,0,0,0
44,7,15,28,13,0,0,3,0,3,0.0198,0.0356,0,0,3,0,20,13,204,217,224,0,0,0,0,0,3,0
44,7,16,28,28,0,0,4,0,1,0.0184,0.0369,1,0,1,1,9,7,185,199,194,0,0,0,1,0,0,0
44,7,17,22,26,0,0,6,0,0,0.0158,0.0369,2,0,0,2,5,3,163,162,168,0,0,0,0,0,0,0
44,7,18,22,22,0,0,4,0,0,0.0158,0.0369,0,0,0,0,1,3,157,162,158,0,0,0,0,0,0,0
44,7,19,30,30,1,9,8,0,1,0.0159,0.0265,0,6,1,6,1,7,105,112,106,0,1,0,0,0,0,0
44,7,20,0,0,0,0,0,2,0,0.0185,0.0265,0,0,2,0,1,3,79,80,80,1,0,0,1,0,0,0
44,7,21,0,0,0,0,0,0,1,0.0185,0.0278,0,0,1,0,2,0,58,67,60,1,0,0,0,0,0,0
44,7,22,0,0,0,0,0,0,0,0.0185,0.0278,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
44,7,23,0,0,0,0,0,0,0,0.0185,0.0278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,0,0,0,0,0,0,0,0,0.0185,0.0278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,1,0,0,0,0,0,0,0,0.0185,0.0278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,2,0,0,0,0,0,0,0,0.0185,0.0278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,3,0,0,0,0,0,0,0,0.0185,0.0278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,4,0,0,0,0,0,0,0,0.0185,0.0278,0,0,0,0,0,0,22,19,22,0,0,0,0,0,0,0
44,8,5,0,0,0,0,0,2,1,0.0212,0.0291,0,0,3,0,11,0,209,180,220,0,0,2,0,0,1,0
44,8,6,19,34,1,0,4,0,0,0.0212,0.0291,0,0,0,0,26,4,180,179,206,0,0,0,0,0,0,0
44,8,7,33,17,0,0,3,0,0,0.0212,0.0291,0,0,0,0,12,0,136,143,148,0,0,0,0,0,0,0
44,8,8,30,44,0,0,5,0,0,0.0212,0.0291,0,0,0,0,4,2,132,133,136,0,0,0,0,0,0,0
44,8,9,20,19,0,0,5,0,1,0.0198,0.0291,2,0,1,2,1,8,167,163,168,0,0,0,0,0,1,0
44,8,10,13,18,0,0,3,0,0,0.0172,0.0304,1,0,0,1,5,6,125,136,130,0,0,0,0,0,0,0
44,8,11,48,35,0,0,8,0,0,0.0172,0.0304,1,0,0,1,4,2,170,159,174,0,0,0,0,0,0,0
44,8,12,17,30,0,0,5,1,1,0.0172,0.0317,0,0,2,0,0,4,236,229,236,0,0,1,1,0,0,0
44,8,13,21,21,0,0,6,1,2,0.0172,0.0344,2,0,3,2,11,5,303,293,314,0,0,0,1,0,0,2
44,8,14,31,15,0,0,3,3,4,0.0185,0.0384,0,0,7,0,20,11,322,298,342,1,2,2,2,0,0,0
44,8,15,28,28,0,0,4,0,1,0.0185,0.041,1,0,1,1,13,4,229,257,242,0,0,0,0,0,1,0
44,8,16,27,29,0,0,4,0,1,0.0185,0.0423,0,0,1,0,9,4,195,191,204,0,0,0,1,0,0,0
44,8,17,19,21,0,0,4,0,0,0.0185,0.0423,0,0,0,0,3,5,137,155,140,0,0,0,0,0,0,0
44,8,18,24,36,0,0,5,0,0,0.0185,0.0423,0,0,0,0,1,0,149,158,150,0,0,0,0,0,0,0
44,8,19,24,12,1,8,4,0,0,0.0187,0.0321,0,0,0,0,7,0,131,121,138,0,0,0,0,0,0,0
44,8,20,0,0,0,0,0,0,0,0.0187,0.0321,0,0,0,0,2,4,82,95,84,0,0,0,0,0,0,0
44,8,21,0,0,0,0,0,0,0,0.0187,0.0321,0,0,0,0,1,2,33,40,34,0,0,0,0,0,0,0
44,8,22,0,0,0,0,0,0,0,0.0187,0.0321,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
44,8,23,0,0,0,0,0,0,0,0.0187,0.0321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,9,0,0,0,0,0,0,0,0,0.0187,0.0321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,9,1,0,0,0,0,0,0,0,0.0187,0.0321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,9,2,0,0,0,0,0,0,0,0.0187,0.0321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,9,3,0,0,0,0,0,0,0,0.0187,0.0321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,9,4,0,0,0,0,0,0,0,0.0187,0.0321,0,0,0,0,3,0,29,22,32,0,0,0,0,0,0,0
44,9,5,0,0,0,0,0,0,0,0.0187,0.0321,0,0,0,0,33,2,205,179,238,0,0,0,0,0,0,0
44,9,6,18,20,1,0,3,2,0,0.0185,0.0317,0,8,2,8,34,6,220,209,254,0,0,1,0,0,1,0
44,9,7,17,34,0,0,3,0,0,0.0212,0.0317,0,0,0,0,7,6,105,129,112,0,0,0,0,0,0,0
44,9,8,38,26,0,0,7,3,0,0.0225,0.0317,0,0,3,0,0,3,158,148,158,0,1,1,0,0,0,1
44,9,9,22,35,0,0,6,0,0,0.0225,0.0317,1,0,0,1,4,1,160,162,164,0,0,0,0,0,0,0
44,9,10,35,35,0,0,6,1,2,0.0238,0.0344,0,0,3,0,11,3,161,165,172,0,0,0,1,1,1,0
44,9,11,36,17,0,0,7,0,0,0.0225,0.0344,1,0,0,1,5,1,147,146,152,0,0,0,0,0,0,0
44,9,12,18,37,0,0,5,0,1,0.0225,0.0357,0,0,1,0,3,0,229,216,232,1,0,0,0,0,0,0
44,9,13,31,14,0,0,4,2,0,0.0212,0.0357,2,0,2,2,10,5,306,292,316,0,1,1,0,0,0,0
44,9,14,28,30,0,0,4,1,1,0.0225,0.037,1,0,2,1,7,1,311,301,318,0,0,1,0,0,1,0
44,9,15,25,25,0,0,4,2,3,0.0212,0.0397,2,0,5,2,9,0,229,251,238,0,1,1,1,0,2,0
44,9,16,28,29,0,0,4,1,3,0.0238,0.045,0,0,4,0,7,13,251,241,258,0,0,0,1,1,1,1
44,9,17,27,28,0,0,5,1,1,0.0238,0.0463,2,0,2,2,10,9,182,202,192,1,1,0,0,0,0,0
44,9,18,14,27,0,0,3,0,4,0.0198,0.0503,2,0,4,2,5,0,149,155,154,0,0,1,0,0,1,2
44,9,19,21,18,1,6,5,1,1,0.02,0.0453,0,1,2,1,0,3,104,103,104,0,1,0,0,1,0,0
44,9,20,0,0,0,0,0,1,1,0.0226,0.0453,0,0,2,0,0,1,78,83,78,0,1,1,0,0,0,0
44,9,21,0,0,0,0,0,1,0,0.0226,0.0466,0,0,1,0,6,0,52,66,58,1,0,0,0,0,0,0
44,9,22,0,0,0,0,0,0,0,0.024,0.0466,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
44,9,23,0,0,0,0,0,0,0,0.024,0.0466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,10,0,0,0,0,0,0,0,0,0.024,0.0466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,10,1,0,0,0,0,0,0,0,0.024,0.0466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,10,2,0,0,0,0,0,0,0,0.024,0.0466,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,10,3,0,0,0,0,0,0,0,0.024,0.0466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,10,4,0,0,0,0,0,0,0,0.024,0.0466,0,0,0,0,0,0,20,11,20,0,0,0,0,0,0,0
44,10,5,0,0,0,0,0,0,2,0.024,0.0479,0,0,2,0,16,3,162,146,178,0,0,0,0,1,0,1
44,10,6,20,12,1,0,3,0,2,0.0237,0.0514,0,8,2,8,37,0,169,162,206,0,0,1,0,0,1,0
44,10,7,29,49,0,0,5,0,0,0.0224,0.0514,1,0,0,1,17,0,115,126,132,0,0,0,0,0,0,0
44,10,8,25,25,0,0,5,0,0,0.0211,0.0514,1,0,0,1,7,0,123,127,130,0,0,0,0,0,0,0
44,10,9,40,25,0,0,5,1,0,0.0184,0.0514,2,0,1,2,5,1,167,148,172,0,0,0,0,0,1,0
44,10,10,24,26,0,0,4,0,1,0.0184,0.0527,1,0,1,1,12,0,180,187,192,0,0,1,0,0,0,0
44,10,11,23,36,0,0,7,1,0,0.0184,0.0527,0,0,1,0,4,0,196,178,200,0,0,0,0,0,0,1
44,10,12,32,21,0,0,5,1,1,0.0198,0.054,1,0,2,1,15,0,197,205,212,0,0,1,0,1,0,0
44,10,13,31,28,0,0,4,1,1,0.0211,0.0553,0,0,2,0,11,0,301,278,312,0,0,0,1,1,0,0
44,10,14,13,27,0,0,3,1,3,0.0224,0.0567,0,0,4,0,16,8,332,331,348,0,0,1,2,0,1,0
44,10,15,36,36,0,0,6,0,1,0.0224,0.0606,0,0,1,0,8,6,288,289,296,0,0,0,1,0,0,0
