seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_onsite_shortage_pressure,phi_depot_shortage_pressure,phi_current_station_onsite_shortage_pressure,phi_current_station_depot_shortage_pressure,phi_broken_cargo_distance_pressure,phi_late_broken_cargo_pressure,phi_repaired_idle_away_pressure,phi_depot_pipeline_pressure,phi_depot_queue_pickup_opportunity,phi_degradation_demand_exposure,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
43,7,6,9,D0,True,20,0,20,0,0,0,0,0,0,[],0.0,S51,3.91,20,0,20,0.0,-6.719187,,,-6.719187,True,True,,,,,,,0.620911,0.206595,0.171796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,6,28,S51,False,20,0,20,17,0,0,0,0,0,"['B213', 'B252', 'B336', 'B429', 'B452', 'B84', 'B68', 'B507', 'B125', 'B8', 'B100', 'B641', 'B471', 'B330', 'B378', 'B525', 'B3']",8.5,S39,7.16,3,0,3,0.0,-6.749711,,,-6.749711,True,False,,,,,,,0.627325,0.237826,0.157181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,6,44,S39,False,3,0,3,0,17,0,0,0,0,"['B195', 'B706', 'B625', 'B606', 'B388', 'B532', 'B202', 'B114', 'B59', 'B386', 'B553', 'B566', 'B227', 'B298', 'B12', 'B222', 'B604']",8.5,S7,7.46,20,0,20,0.0,-6.608754,,,-6.608754,False,False,,,,,,,0.560616,0.189854,0.149815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,7,0,S7,False,20,0,20,12,0,0,0,0,0,"['B645', 'B754', 'B241', 'B195', 'B706', 'B625', 'B606', 'B388', 'B532', 'B202', 'B114', 'B59']",6.0,S61,7.71,8,0,8,0.0,-6.634599,,,-6.634599,False,False,,,,,,,0.581142,0.180016,0.157692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,7,14,S61,False,8,0,8,8,0,0,0,0,0,"['B386', 'B553', 'B566', 'B227', 'B298', 'B12', 'B222', 'B604']",4.0,S38,3.09,0,0,0,0.0,-6.631612,,,-6.631612,True,False,,,,,,,0.57601,0.1899,0.145602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,7,21,S38,False,0,0,0,0,19,0,0,0,0,"['B557', 'B481', 'B626', 'B190', 'B734', 'B324', 'B200', 'B192', 'B513', 'B218', 'B234', 'B584', 'B137', 'B371', 'B582', 'B585', 'B411', 'B699', 'B531']",9.5,S65,5.71,19,0,19,0.0,-6.606521,,,-6.606521,False,False,,,,,,,0.565747,0.177338,0.146976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,7,36,S65,False,19,0,19,14,0,0,0,0,0,"['B557', 'B481', 'B626', 'B190', 'B734', 'B324', 'B200', 'B192', 'B513', 'B218', 'B234', 'B584', 'B137', 'B371']",7.0,S39,5.08,5,0,5,0.0,-6.604603,,,-6.604603,False,False,,,,,,,0.563182,0.180274,0.146058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,7,48,S39,False,5,0,5,0,14,0,0,0,0,"['B497', 'B694', 'B453', 'B242', 'B677', 'B108', 'B221', 'B304', 'B710', 'B518', 'B148', 'B767', 'B368', 'B551']",7.0,S31,3.72,19,0,19,0.0,-6.610512,,,-6.610512,False,False,,,,,,,0.564464,0.183823,0.15176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,7,59,S31,False,19,0,19,0,0,0,0,0,0,[],0.0,S66,0.38,19,0,19,0.0,-6.614442,,,-6.614442,False,False,,,,,,,0.569596,0.179528,0.148466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,7,59,S66,False,19,0,19,8,0,0,0,0,0,"['B582', 'B585', 'B411', 'B699', 'B531', 'B497', 'B694', 'B453']",4.0,S40,3.42,11,0,11,0.0,-6.710458,,,-6.710458,True,False,,,,,,,0.619628,0.20106,0.160033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
