seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
49,6,5,5,0,0,0,0,0,0,16,16,18,0,0,0,0,0,0,0.0132,0.0212
49,7,5,5,384,384,2,0,171,107,3154,2983,2979,8,13,21,5,0,5,0.0172,0.0384
49,8,5,5,399,424,3,0,196,75,3152,2956,2953,9,9,18,2,10,12,0.0261,0.0483
49,9,5,5,411,396,2,0,208,37,3244,3036,3033,11,12,23,7,0,7,0.0313,0.0653
49,10,5,5,390,392,1,0,135,110,3392,3257,3264,18,13,31,6,0,6,0.0457,0.0822
49,11,5,5,348,349,2,0,112,61,3074,2962,2961,17,14,31,16,0,16,0.047,0.1005
49,12,5,5,354,352,2,1,67,27,2278,2211,2215,11,5,16,15,0,15,0.0418,0.1059
49,13,5,5,356,369,2,2,60,64,1652,1592,1584,5,3,8,11,1,12,0.034,0.1073
49,14,5,5,383,373,2,2,262,110,3080,2818,2818,5,11,16,10,0,10,0.0276,0.1194
49,15,5,5,372,380,2,0,228,89,3026,2798,2802,9,11,20,7,4,11,0.03,0.1332
49,16,5,5,334,337,2,2,272,97,3116,2844,2845,10,11,21,7,0,7,0.034,0.1453
49,17,5,5,379,377,2,8,205,131,3386,3181,3181,11,17,28,10,2,12,0.0356,0.1583
49,18,5,5,367,373,2,4,246,41,3094,2848,2846,8,14,22,12,0,12,0.0305,0.1724
49,19,5,5,359,373,2,4,57,45,2326,2269,2269,7,9,16,11,12,23,0.0249,0.1772
49,20,5,5,374,364,2,1,59,82,1640,1581,1580,8,5,13,8,0,8,0.025,0.1827
49,21,5,5,363,363,3,0,185,88,3014,2829,2829,11,10,21,10,4,14,0.0261,0.1948
49,22,5,5,335,355,2,9,222,85,3120,2898,2898,11,12,23,9,1,10,0.0291,0.2008
49,23,5,5,311,301,2,8,267,93,3168,2901,2901,12,8,20,17,0,17,0.0227,0.2029
49,24,5,5,347,351,2,4,220,45,3292,3072,3070,11,14,25,5,9,14,0.0305,0.2149
49,25,5,5,408,428,2,4,262,114,3060,2798,2804,9,8,17,7,12,19,0.0328,0.2178
49,26,5,5,333,329,2,0,63,39,2228,2165,2165,14,8,22,22,4,26,0.0222,0.2272
49,27,5,5,349,365,2,0,57,43,1624,1567,1567,6,10,16,10,0,10,0.017,0.2402
