seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
43,6,23,0,0,0,0,0,0,0,0.0079,0.0265,0,0,0,0,0,0,0,0,0,-24,-23,-23,-20,-6,-15,-15
43,7,0,0,0,0,0,0,0,0,0.0079,0.0265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,7,1,0,0,0,0,0,0,0,0.0079,0.0265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,7,2,0,0,0,0,0,0,0,0.0079,0.0265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,7,3,0,0,0,0,0,0,0,0.0079,0.0265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,7,4,0,0,0,0,0,0,0,0.0079,0.0265,0,0,0,0,2,0,24,18,26,0,0,0,0,0,0,0
43,7,5,0,0,0,0,0,0,0,0.0079,0.0265,0,0,0,0,9,4,189,159,198,0,0,0,0,0,0,0
43,7,6,17,17,1,0,3,2,0,0.0093,0.0265,0,0,2,0,11,3,183,193,194,0,0,1,1,0,0,0
43,7,7,26,40,0,0,6,0,0,0.0093,0.0265,0,0,0,0,6,1,100,107,106,0,0,0,0,0,0,0
43,7,8,26,27,0,0,4,0,0,0.0093,0.0265,0,0,0,0,3,2,139,124,142,0,0,0,0,0,0,0
43,7,9,28,33,0,0,5,0,0,0.0106,0.0265,0,0,0,0,3,3,121,131,124,0,0,0,0,0,0,0
43,7,10,41,35,0,0,7,0,0,0.0106,0.0265,0,0,0,0,7,4,161,152,168,0,0,0,0,0,0,0
43,7,11,24,30,0,0,4,3,1,0.0146,0.0278,0,0,4,0,4,3,152,158,156,0,0,0,1,2,1,0
43,7,12,34,34,0,0,4,1,1,0.0146,0.0291,1,0,2,1,16,1,236,222,252,1,0,0,0,1,0,0
43,7,13,35,18,0,0,3,0,0,0.0146,0.0291,0,0,0,0,11,0,253,240,264,0,0,0,0,0,0,0
43,7,14,18,17,0,0,3,1,1,0.0159,0.0304,0,0,2,0,45,25,365,342,410,1,0,1,0,0,0,0
43,7,15,30,30,0,0,4,0,0,0.0159,0.0304,0,0,0,0,35,28,209,248,244,0,0,0,0,0,0,0
43,7,16,28,30,0,0,4,0,1,0.0159,0.0317,0,0,1,0,10,2,166,171,176,0,0,1,0,0,0,0
43,7,17,25,23,0,0,4,0,1,0.0159,0.0331,0,0,1,0,0,2,158,167,158,1,0,0,0,0,0,0
43,7,18,28,37,0,0,7,1,0,0.0172,0.0331,0,0,1,0,1,3,141,148,142,0,0,0,1,0,0,0
