seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
50,6,5,5,0,0,0,0,2,0,26,24,19,0,0,0,0,0,0,0.0145,0.0145
50,7,5,5,399,404,2,5,165,44,3028,2863,2863,14,12,26,7,5,12,0.0237,0.0237
50,8,5,5,346,366,2,7,133,48,3014,2881,2880,9,15,24,11,9,20,0.0211,0.0342
50,9,5,5,372,379,2,4,133,79,3226,3093,3095,10,12,22,7,0,7,0.0251,0.045
50,10,5,5,359,358,2,10,177,52,3570,3393,3386,16,22,38,10,11,21,0.0317,0.0608
50,11,5,5,381,391,2,7,73,80,2944,2871,2879,19,11,30,12,0,12,0.0413,0.064
50,12,5,5,326,340,3,15,31,28,2244,2213,2215,8,8,16,12,10,22,0.0362,0.055
50,13,5,5,378,375,2,8,35,11,1596,1561,1554,6,6,12,11,17,28,0.0292,0.0517
50,14,5,5,365,373,2,8,164,62,3184,3020,3024,9,12,21,8,5,13,0.0293,0.0573
50,15,5,5,354,363,2,9,166,40,3008,2842,2843,11,13,24,5,12,17,0.0371,0.0623
50,16,5,5,372,381,2,9,186,30,3248,3062,3063,11,13,24,8,4,12,0.0414,0.0681
50,17,5,5,372,386,2,9,229,79,3420,3191,3188,14,14,28,7,18,25,0.0501,0.0739
50,18,5,5,341,360,2,10,176,30,3024,2848,2851,12,15,27,16,0,16,0.0455,0.0816
50,19,5,5,298,300,3,17,66,11,2352,2286,2286,6,11,17,14,19,33,0.0347,0.0733
50,20,5,5,303,320,2,11,23,5,1626,1603,1601,6,6,12,12,17,29,0.0265,0.0661
50,21,5,5,278,295,2,13,190,64,3154,2964,2968,9,12,21,12,0,12,0.0229,0.0659
50,22,5,5,361,361,2,9,165,35,3060,2895,2886,20,8,28,9,20,29,0.0371,0.0637
50,23,5,5,353,373,2,10,210,53,3166,2956,2960,8,9,17,10,13,23,0.0343,0.0621
50,24,5,5,348,360,3,11,260,38,3446,3186,3187,13,12,25,13,0,13,0.0349,0.0643
50,25,5,5,358,369,3,9,114,32,3094,2980,2983,9,9,18,6,21,27,0.0383,0.0633
50,26,5,5,318,329,3,13,51,18,2292,2241,2240,9,13,22,19,0,19,0.0242,0.0644
50,27,5,5,279,288,2,13,38,8,1680,1642,1644,6,8,14,8,22,30,0.0212,0.057
