seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
42,6,23,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,-22,-28,-19,-26,-5,-16,-11
42,7,0,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7,1,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7,2,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7,3,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7,4,0,0,0,0,0,1,0,0.0171,0.0303,0,0,1,0,1,0,33,21,34,0,0,0,1,0,0,0
42,7,5,0,0,0,0,0,0,1,0.0171,0.0316,0,0,1,0,24,6,198,176,222,0,0,0,0,0,0,1
42,7,6,17,17,1,0,3,0,1,0.0171,0.0329,0,0,1,0,10,3,168,171,178,0,0,0,1,0,0,0
42,7,7,29,46,0,0,6,0,0,0.0171,0.0329,0,0,0,0,13,10,123,126,136,0,0,0,0,0,0,0
42,7,8,29,28,0,0,4,1,0,0.0184,0.0329,0,0,1,0,7,9,127,123,134,0,0,0,1,0,0,0
42,7,9,38,39,0,0,7,0,0,0.0184,0.0329,0,0,0,0,4,1,176,176,180,0,0,0,0,0,0,0
42,7,10,41,24,0,0,6,0,1,0.0184,0.0342,0,0,1,0,0,1,188,187,188,0,0,0,0,0,1,0
42,7,11,26,33,0,0,4,0,1,0.0184,0.0355,0,0,1,0,4,4,200,186,204,0,1,0,0,0,0,0
42,7,12,31,44,0,0,7,1,1,0.0197,0.0368,0,0,2,0,5,1,235,237,240,1,1,0,0,0,0,0
42,7,13,34,28,0,0,6,0,3,0.0197,0.0408,0,0,3,0,7,0,271,265,278,0,0,0,1,0,2,0
42,7,14,6,12,0,0,2,1,1,0.0211,0.0408,0,0,2,0,30,8,390,373,420,1,0,1,0,0,0,0
42,7,15,30,28,0,0,4,0,2,0.0211,0.0434,0,0,2,0,20,8,244,273,264,0,1,0,0,1,0,0
