seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
44,6,23,0,0,0,0,0,0,0,0.0158,0.0211,0,0,0,0,0,0,0,0,0,-19,-27,-28,-22,-11,-18,-14
44,7,0,0,0,0,0,0,0,0,0.0158,0.0211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,7,1,0,0,0,0,0,0,0,0.0158,0.0211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,7,2,0,0,0,0,0,0,0,0.0158,0.0211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,7,3,0,0,0,0,0,0,0,0.0158,0.0211,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,7,4,0,0,0,0,0,0,0,0.0158,0.0211,0,0,0,0,0,0,48,40,48,0,0,0,0,0,0,0
44,7,5,0,0,0,0,0,0,2,0.0158,0.0237,0,0,2,0,19,2,165,154,184,1,1,0,0,0,0,0
44,7,6,31,32,1,0,5,0,1,0.0158,0.025,0,0,1,0,13,2,197,183,210,0,1,0,0,0,0,0
44,7,7,29,28,0,0,4,0,0,0.0158,0.025,0,0,0,0,5,0,129,143,134,0,0,0,0,0,0,0
44,7,8,32,43,0,0,5,0,0,0.0158,0.025,0,0,0,0,6,2,138,125,144,0,0,0,0,0,0,0
44,7,9,19,23,0,0,3,0,0,0.0158,0.025,0,0,0,0,2,1,154,159,156,0,0,0,0,0,0,0
44,7,10,44,29,0,0,5,0,2,0.0158,0.0264,0,0,2,0,15,0,171,167,186,0,0,1,0,0,0,1
44,7,11,20,37,0,0,5,0,1,0.0158,0.029,0,0,1,0,4,2,140,148,144,1,0,0,0,0,0,0
44,7,12,33,18,0,0,3,0,0,0.0158,0.029,0,0,0,0,1,0,201,191,202,0,0,0,0,0,0,0
44,7,13,15,28,0,0,4,2,0,0.0184,0.029,0,0,2,0,5,9,225,217,230,0,0,0,1,0,1,0
44,7,14,31,36,0,0,4,0,2,0.0184,0.0303,0,0,2,0,14,28,406,383,420,1,1,0,0,0,0,0
44,7,15,33,31,0,0,4,0,1,0.0171,0.0329,1,0,1,1,23,18,201,234,224,0,0,1,0,0,0,0
44,7,16,33,35,0,0,4,1,0,0.0184,0.0329,0,0,1,0,12,19,182,175,194,1,0,0,0,0,0,0
44,7,17,31,15,0,0,3,0,2,0.0171,0.0343,1,0,2,1,8,10,160,167,168,0,2,0,0,0,0,0
44,7,18,29,28,0,0,4,0,0,0.0171,0.0356,0,0,0,0,5,6,153,151,158,0,0,0,0,0,0,0
44,7,19,17,32,1,3,5,0,1,0.0171,0.0328,0,6,1,6,6,8,100,116,106,0,1,0,0,0,0,0
44,7,20,0,0,0,0,0,0,2,0.0171,0.0354,0,0,2,0,0,3,80,84,80,0,0,1,0,0,1,0
44,7,21,0,0,0,0,0,1,0,0.0184,0.0354,0,0,1,0,0,6,60,64,60,0,0,1,0,0,0,0
44,7,22,0,0,0,0,0,0,0,0.0184,0.0354,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
44,7,23,0,0,0,0,0,0,0,0.0184,0.0354,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,8,0,0,0,0,0,0,0,0,0.0184,0.0354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,1,0,0,0,0,0,0,0,0.0184,0.0354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,2,0,0,0,0,0,0,0,0.0184,0.0354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,3,0,0,0,0,0,0,0,0.0184,0.0354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,4,0,0,0,0,0,0,0,0.0184,0.0354,0,0,0,0,0,2,22,18,22,0,0,0,0,0,0,0
44,8,5,0,0,0,0,0,0,4,0.0184,0.0394,0,0,4,0,17,1,203,169,220,0,0,0,1,1,1,1
44,8,6,32,20,1,0,4,0,0,0.0184,0.0407,0,0,0,0,28,0,178,183,206,0,0,0,0,0,0,0
44,8,7,33,48,0,0,5,0,0,0.0184,0.0407,0,0,0,0,8,4,140,141,148,0,0,0,0,0,0,0
44,8,8,42,27,0,0,5,1,0,0.0197,0.0407,0,0,1,0,1,1,135,142,136,0,0,1,0,0,0,0
44,8,9,30,39,0,0,5,0,1,0.0197,0.042,0,0,1,0,4,3,164,161,168,0,0,1,0,0,0,0
44,8,10,16,22,0,0,3,0,1,0.0184,0.0433,1,0,1,1,3,1,127,131,130,0,0,0,0,1,0,0
44,8,11,28,22,0,0,6,0,0,0.0171,0.0433,1,0,0,1,3,5,171,169,174,0,0,0,0,0,0,0
44,8,12,13,24,0,0,4,2,0,0.0197,0.0433,0,0,2,0,3,0,233,217,236,0,1,0,1,0,0,0
44,8,13,32,17,0,0,3,0,0,0.0184,0.0433,1,0,0,1,21,5,293,284,314,0,0,0,0,0,0,0
44,8,14,15,30,0,0,3,2,2,0.0197,0.0459,0,0,4,0,33,16,309,292,342,0,0,1,1,1,0,1
44,8,15,24,10,0,0,3,1,0,0.021,0.0459,1,0,1,1,17,0,225,246,242,0,0,0,1,0,0,0
44,8,16,28,28,0,0,5,1,1,0.0223,0.0472,0,0,2,0,18,2,186,194,204,1,1,0,0,0,0,0
44,8,17,28,28,0,0,4,0,0,0.0223,0.0472,0,0,0,0,4,9,136,146,140,0,0,0,0,0,0,0
44,8,18,27,27,0,0,4,0,0,0.021,0.0472,1,0,0,1,5,6,145,149,150,0,0,0,0,0,0,0
44,8,19,14,28,1,6,4,0,0,0.0212,0.0397,0,0,0,0,6,4,132,125,138,0,0,0,0,0,0,0
44,8,20,0,0,0,0,0,0,1,0.0212,0.041,0,0,1,0,6,2,78,89,84,0,0,0,1,0,0,0
44,8,21,0,0,0,0,0,0,0,0.0212,0.041,0,0,0,0,2,3,32,49,34,0,0,0,0,0,0,0
44,8,22,0,0,0,0,0,0,0,0.0212,0.041,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0
44,8,23,0,0,0,0,0,0,0,0.0212,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,9,0,0,0,0,0,0,0,0,0.0212,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,9,1,0,0,0,0,0,0,0,0.0212,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,9,2,0,0,0,0,0,0,0,0.0212,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,9,3,0,0,0,0,0,0,0,0.0212,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,9,4,0,0,0,0,0,0,0,0.0212,0.041,0,0,0,0,2,0,30,26,32,0,0,0,0,0,0,0
44,9,5,0,0,0,0,0,0,0,0.0212,0.041,0,0,0,0,34,1,204,161,238,0,0,0,0,0,0,0
44,9,6,17,20,1,0,3,0,0,0.0211,0.0408,0,3,0,3,44,3,210,211,254,0,0,0,0,0,0,0
44,9,7,37,17,0,0,3,1,1,0.0211,0.0422,0,0,2,0,13,3,99,131,112,0,2,0,0,0,0,0
44,9,8,38,39,0,0,7,1,1,0.0224,0.0422,0,0,2,0,8,0,150,134,158,0,1,0,0,0,1,0
44,9,9,28,33,0,0,4,0,0,0.0237,0.0435,0,0,0,0,5,1,159,155,164,0,0,0,0,0,0,0
44,9,10,15,23,0,0,3,1,1,0.0237,0.0435,0,0,2,0,1,1,171,174,172,0,0,2,0,0,0,0
44,9,11,30,33,0,0,5,0,0,0.025,0.0448,0,0,0,0,2,0,150,148,152,0,0,0,0,0,0,0
44,9,12,32,25,0,0,5,1,1,0.0237,0.0461,1,0,2,1,8,0,224,221,232,0,0,0,0,1,0,1
44,9,13,18,28,0,0,5,0,0,0.025,0.0461,0,0,0,0,3,0,313,300,316,0,0,0,0,0,0,0
44,9,14,22,22,0,0,4,2,1,0.0277,0.0474,0,0,3,0,9,8,309,291,318,2,0,0,1,0,0,0
44,9,15,28,27,0,0,5,1,2,0.0277,0.0501,0,0,3,0,5,14,233,263,238,0,0,1,1,1,0,0
44,9,16,40,28,0,0,5,2,3,0.0303,0.054,1,0,5,1,1,10,257,235,258,1,0,1,0,1,1,1
44,9,17,22,22,0,0,4,2,1,0.0329,0.0553,0,0,3,0,5,12,187,213,192,0,0,0,2,0,1,0
44,9,18,25,38,0,0,5,1,2,0.0316,0.058,1,0,3,1,3,1,151,156,154,1,0,0,1,1,0,0
44,9,19,23,22,1,8,5,2,1,0.0346,0.0493,0,0,3,0,2,1,102,111,104,0,0,2,1,0,0,0
44,9,20,0,0,0,0,0,1,2,0.0373,0.0519,0,0,3,0,0,0,78,80,78,1,0,1,0,0,1,0
44,9,21,0,0,0,0,0,0,1,0.0373,0.0519,0,0,1,0,2,0,56,59,58,0,0,0,0,1,0,0
44,9,22,0,0,0,0,0,0,0,0.0373,0.0533,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
44,9,23,0,0,0,0,0,0,0,0.0373,0.0533,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,10,0,0,0,0,0,0,0,0,0.0373,0.0533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,10,1,0,0,0,0,0,0,0,0.0373,0.0533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,10,2,0,0,0,0,0,0,0,0.0373,0.0533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,10,3,0,0,0,0,0,0,0,0.0373,0.0533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,10,4,0,0,0,0,0,0,0,0.0373,0.0533,0,0,0,0,0,0,20,14,20,0,0,0,0,0,0,0
44,10,5,0,0,0,0,0,0,1,0.0373,0.0546,0,0,1,0,23,0,155,134,178,0,0,0,1,0,0,0
44,10,6,13,20,1,0,3,1,2,0.037,0.0568,1,6,3,7,42,2,164,158,206,1,0,1,1,0,0,0
44,10,7,31,31,0,0,4,0,1,0.037,0.0581,0,0,1,0,9,2,123,138,132,0,1,0,0,0,0,0
44,10,8,42,26,0,0,5,0,0,0.0357,0.0581,1,0,0,1,9,4,121,121,130,0,0,0,0,0,0,0
44,10,9,25,41,0,0,5,1,0,0.0357,0.0581,0,0,1,0,8,0,164,155,172,1,0,0,0,0,0,0
44,10,10,28,28,0,0,4,1,1,0.037,0.0594,0,0,2,0,9,0,183,177,192,1,0,0,0,1,0,0
44,10,11,21,21,0,0,4,0,2,0.0383,0.0621,0,0,2,0,9,1,191,189,200,2,0,0,0,0,0,0
44,10,12,25,10,0,0,3,2,0,0.041,0.0621,0,0,2,0,11,2,201,197,212,0,0,1,0,1,0,0
44,10,13,29,30,0,0,4,1,2,0.0423,0.0647,0,0,3,0,18,3,294,272,312,0,0,1,0,1,1,0
44,10,14,28,42,0,0,6,0,0,0.0423,0.0647,0,0,0,0,6,3,342,337,348,0,0,0,0,0,0,0
44,10,15,24,24,0,0,4,0,1,0.041,0.0661,2,0,1,2,14,2,282,288,296,1,0,0,0,0,0,0
