seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
51,6,5,5,0,0,0,0,0,4,34,34,32,0,0,0,0,0,0,0.012,0.016
51,7,5,5,394,399,2,4,137,70,3168,3031,3029,15,7,22,5,17,22,0.0249,0.0196
51,8,5,5,413,409,2,1,197,63,3124,2927,2924,6,6,12,3,1,4,0.0288,0.0262
51,9,5,5,388,401,2,6,181,137,3508,3327,3327,14,16,30,4,3,7,0.042,0.0394
51,10,5,5,363,368,3,7,145,36,3390,3245,3248,13,14,27,8,7,15,0.0486,0.0486
51,11,5,5,381,388,2,6,145,54,3028,2883,2884,7,7,14,8,0,8,0.0477,0.0503
51,12,5,5,353,351,2,6,84,21,2436,2352,2355,3,9,12,11,13,24,0.0367,0.0538
51,13,5,5,324,344,3,10,18,26,1704,1686,1680,2,7,9,6,6,12,0.0317,0.0501
51,14,5,5,364,353,2,3,130,22,3010,2880,2885,5,15,20,11,3,14,0.0237,0.066
51,15,5,5,354,364,2,10,173,56,2990,2817,2816,9,10,19,8,10,18,0.0251,0.0646
51,16,5,5,362,375,2,11,317,32,3330,3013,3013,15,13,28,8,0,8,0.0348,0.0696
51,17,5,5,367,375,2,11,160,42,3408,3248,3247,12,10,22,8,21,29,0.0396,0.0674
51,18,5,5,381,390,2,8,131,47,3004,2873,2871,12,8,20,12,9,21,0.0396,0.0673
51,19,5,5,353,372,2,9,68,29,2292,2224,2230,6,9,15,7,2,9,0.0386,0.0679
51,20,5,5,358,366,3,4,44,27,1658,1614,1613,11,8,19,9,17,26,0.0406,0.072
51,21,5,5,391,394,2,11,141,77,3014,2873,2871,16,10,26,13,1,14,0.0451,0.0716
51,22,5,5,319,323,2,11,203,60,3078,2875,2873,18,9,27,11,3,14,0.0536,0.0697
51,23,5,5,321,341,2,11,182,51,3214,3032,3029,7,15,22,8,22,30,0.0515,0.074
51,24,5,5,383,394,2,7,178,88,3482,3304,3306,15,10,25,15,11,26,0.0512,0.0775
51,25,5,5,352,358,2,14,122,70,2998,2876,2877,12,13,25,15,0,15,0.0469,0.0776
51,26,5,5,330,334,2,12,36,30,2378,2342,2347,8,18,26,17,7,24,0.0364,0.0863
51,27,5,5,329,349,2,10,48,23,1604,1556,1557,5,8,13,6,26,32,0.0343,0.0818
