seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
46,6,5,5,0,0,0,0,0,0,20,20,17,0,0,0,0,0,0,0.0106,0.0265
46,7,5,5,372,379,2,1,206,64,3150,2944,2942,12,12,24,5,7,12,0.0197,0.0407
46,8,5,5,347,365,2,3,146,66,3028,2882,2883,12,19,31,10,6,16,0.0223,0.0615
46,9,5,5,360,357,2,4,140,46,3174,3034,3034,11,13,24,8,0,8,0.0263,0.0737
46,10,5,5,323,335,3,9,142,105,3332,3190,3186,19,13,32,12,7,19,0.0356,0.0778
46,11,5,5,350,352,2,3,223,46,3040,2817,2822,7,5,12,13,2,15,0.0277,0.0819
46,12,5,5,328,330,2,1,61,27,2232,2171,2170,2,14,16,9,10,19,0.0183,0.0979
46,13,5,5,338,349,2,3,55,10,1712,1657,1657,4,5,9,6,0,6,0.0157,0.1009
46,14,5,5,374,365,2,2,223,98,3096,2873,2872,12,11,23,5,4,9,0.0248,0.1124
46,15,5,5,298,314,2,7,133,66,2942,2809,2810,9,15,24,12,0,12,0.0211,0.124
46,16,5,5,303,304,2,9,277,63,3300,3023,3025,9,10,19,7,9,16,0.0237,0.1253
46,17,5,5,341,339,2,4,232,54,3274,3042,3040,12,14,26,11,0,11,0.0252,0.1393
46,18,5,5,356,360,2,4,180,50,3112,2932,2932,7,4,11,8,9,17,0.0237,0.1383
46,19,5,5,294,305,2,12,42,20,2224,2182,2185,7,11,18,9,4,13,0.0213,0.1385
46,20,5,5,296,299,2,1,18,17,1658,1640,1636,9,3,12,7,15,22,0.0235,0.1386
46,21,5,5,326,336,2,5,164,94,3126,2962,2963,5,17,22,8,1,9,0.0197,0.1551
46,22,5,5,337,349,2,5,209,41,2916,2707,2707,16,13,29,9,6,15,0.0289,0.1654
46,23,5,5,325,327,2,5,252,114,3180,2928,2926,13,13,26,13,0,13,0.0291,0.177
46,24,5,5,330,328,2,10,183,70,3428,3245,3246,15,10,25,14,10,24,0.0304,0.177
46,25,5,5,297,303,3,6,176,70,3048,2872,2872,12,12,24,16,0,16,0.0253,0.1864
46,26,5,5,324,343,2,6,87,18,2322,2235,2238,5,10,15,14,11,25,0.0132,0.1905
46,27,5,5,324,321,2,5,43,2,1624,1581,1582,4,6,10,4,11,15,0.0131,0.1903
