seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
46,6,23,0,0,0,0,0,0,0,0.0106,0.0265,0,0,0,0,0,0,0,0,0,-34,-21,-15,-24,-14,-19,-11
46,7,0,0,0,0,0,0,0,0,0.0106,0.0265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7,1,0,0,0,0,0,0,0,0.0106,0.0265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7,2,0,0,0,0,0,0,0,0.0106,0.0265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7,3,0,0,0,0,0,0,0,0.0106,0.0265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7,4,0,0,0,0,0,0,0,0.0106,0.0265,0,0,0,0,0,0,20,17,20,0,0,0,0,0,0,0
46,7,5,0,0,0,0,0,2,1,0.0132,0.0278,0,0,3,0,18,0,174,150,192,0,0,3,0,0,0,0
46,7,6,18,36,1,0,4,0,1,0.0132,0.0291,0,0,1,0,23,0,187,185,210,0,1,0,0,0,0,0
46,7,7,43,32,0,0,8,0,1,0.0132,0.0291,0,0,1,0,11,6,123,136,134,0,0,0,0,1,0,0
46,7,8,22,35,0,0,5,0,1,0.0132,0.0318,0,0,1,0,5,1,149,136,154,0,0,0,0,1,0,0
46,7,9,39,39,0,0,6,0,0,0.0132,0.0318,0,0,0,0,11,1,139,143,150,0,0,0,0,0,0,0
46,7,10,27,21,0,0,5,1,2,0.0132,0.0344,1,0,3,1,1,1,189,175,190,0,0,2,0,0,1,0
46,7,11,21,26,0,0,7,1,0,0.0132,0.0344,1,0,1,1,7,1,151,156,158,0,0,1,0,0,0,0
46,7,12,28,14,0,0,3,0,0,0.0132,0.0344,0,0,0,0,11,0,213,207,224,0,0,0,0,0,0,0
46,7,13,24,25,0,0,5,3,0,0.0172,0.0344,0,0,3,0,7,4,275,277,282,1,0,0,2,0,0,0
