seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
44,6,5,5,0,0,0,0,0,0,48,48,41,0,0,0,0,0,0,0.0158,0.0211
44,7,5,5,311,331,2,13,159,97,3022,2863,2869,6,13,19,7,6,13,0.0146,0.0213
44,8,5,5,334,329,2,7,155,79,3098,2943,2940,6,8,14,9,9,18,0.0106,0.0225
44,9,5,5,333,353,2,9,162,52,3218,3056,3059,11,16,27,6,4,10,0.0174,0.032
44,10,5,5,324,321,2,6,172,43,3420,3248,3251,10,12,22,9,13,22,0.0185,0.0397
44,11,5,5,288,308,2,14,121,36,2920,2799,2796,9,16,25,5,3,8,0.0242,0.043
44,12,5,5,332,341,2,12,83,20,2248,2165,2167,11,12,23,9,20,29,0.0252,0.0425
44,13,5,5,304,318,3,8,43,15,1718,1675,1668,6,6,12,7,12,19,0.0238,0.0383
44,14,5,5,317,328,2,10,184,107,2980,2796,2800,11,9,20,12,8,20,0.0225,0.0384
44,15,5,5,317,315,3,8,209,59,3034,2825,2827,10,16,26,11,0,11,0.0214,0.0495
44,16,5,5,302,322,2,8,223,45,3298,3075,3072,6,9,15,9,18,27,0.0172,0.0502
44,17,5,5,345,345,2,8,267,65,3464,3197,3202,18,12,30,5,0,5,0.0347,0.0561
44,18,5,5,301,310,2,12,199,82,3204,3005,3006,13,11,24,9,8,17,0.0403,0.055
44,19,5,5,315,328,2,9,48,24,2272,2224,2223,5,9,14,18,8,26,0.0228,0.0551
44,20,5,5,296,299,2,8,17,19,1636,1619,1616,7,7,14,10,12,22,0.0187,0.0535
44,21,5,5,333,346,2,8,190,82,3204,3014,3010,14,6,20,11,9,20,0.0227,0.0507
44,22,5,5,297,313,2,11,164,72,2930,2766,2770,14,14,28,18,16,34,0.0159,0.0544
44,23,5,5,325,333,2,14,149,72,3140,2991,2993,12,17,29,6,0,6,0.0243,0.0595
44,24,5,5,300,311,2,13,246,44,3538,3292,3288,6,16,22,12,11,23,0.0163,0.0637
44,25,5,5,293,307,2,14,116,51,3138,3022,3028,14,13,27,10,14,24,0.0217,0.0623
44,26,5,5,299,312,3,14,19,13,2318,2299,2296,9,7,16,10,27,37,0.02,0.0519
44,27,5,5,300,302,2,8,23,16,1562,1539,1542,4,7,11,12,0,12,0.0094,0.0511
