seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_onsite_shortage_pressure,phi_depot_shortage_pressure,phi_current_station_onsite_shortage_pressure,phi_current_station_depot_shortage_pressure,phi_broken_cargo_distance_pressure,phi_late_broken_cargo_pressure,phi_repaired_idle_away_pressure,phi_depot_pipeline_pressure,phi_depot_queue_pickup_opportunity,phi_degradation_demand_exposure,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
49,7,6,7,D0,True,20,0,20,0,0,0,0,0,0,[],0.0,S15,1.31,20,0,20,0.0,-5.103349,,,-5.103349,True,True,,,,,,,,0.211147,0.143284,,,,,0.10634,0.10081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,6,24,S15,False,20,0,20,20,0,0,0,0,0,"['B2', 'B327', 'B516', 'B160', 'B698', 'B370', 'B91', 'B669', 'B723', 'B228', 'B1', 'B33', 'B266', 'B193', 'B531', 'B178', 'B309', 'B114', 'B176', 'B139']",10.0,S54,3.9,0,0,0,0.0,-5.106936,,,-5.106936,False,False,,,,,,,,0.227573,0.155171,,,,,0.091687,0.088956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,6,38,S54,False,0,0,0,0,13,0,0,0,0,"['B150', 'B140', 'B245', 'B145', 'B253', 'B730', 'B738', 'B755', 'B679', 'B271', 'B722', 'B242', 'B383']",6.5,S66,5.58,13,0,13,0.0,-5.110004,,,-5.110004,False,False,,,,,,,,0.229946,0.162033,,,,,0.087757,0.094037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,6,50,S66,False,13,0,13,13,0,0,0,0,0,"['B150', 'B140', 'B245', 'B145', 'B253', 'B730', 'B738', 'B755', 'B679', 'B271', 'B722', 'B242', 'B383']",6.5,S60,1.23,0,0,0,0.0,-5.110636,,,-5.110636,False,False,,,,,,,,0.239373,0.154553,,,,,0.085144,0.088905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,6,57,S60,False,0,0,0,0,0,0,0,0,0,[],0.0,D0,1.95,0,0,0,0.0,-5.122406,,,-5.122406,False,False,,,,,,,,0.242792,0.180482,,,,,0.089279,0.094775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,6,59,D0,True,0,0,0,0,0,0,0,0,1,['B252'],0.5,S32,2.55,1,0,1,0.0,-5.135751,,,-5.135751,True,True,,,,,,,,0.220347,0.174138,,,,,0.162837,0.099715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,7,17,S32,False,1,0,1,0,11,0,0,0,0,"['B416', 'B259', 'B221', 'B121', 'B386', 'B467', 'B659', 'B561', 'B186', 'B488', 'B740']",5.5,S51,4.37,12,0,12,0.0,-5.115394,,,-5.115394,False,False,,,,,,,,0.201028,0.17121,,,,,0.132518,0.103466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,7,27,S51,False,12,0,12,10,0,0,0,0,0,"['B252', 'B416', 'B259', 'B221', 'B121', 'B386', 'B467', 'B659', 'B561', 'B186']",5.0,S29,7.57,2,0,2,0.0,-5.114809,,,-5.114809,True,False,,,,,,,,0.208907,0.151836,,,,,0.143267,0.091421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,7,40,S29,False,2,0,2,0,16,0,0,0,0,"['B119', 'B708', 'B209', 'B581', 'B157', 'B247', 'B169', 'B463', 'B41', 'B19', 'B549', 'B54', 'B362', 'B202', 'B322', 'B719']",8.0,S7,12.29,18,0,18,0.0,-5.108983,,,-5.108983,True,False,,,,,,,,0.202722,0.138934,,,,,0.132138,0.109464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,8,0,S7,False,18,0,18,10,0,0,0,0,0,"['B488', 'B740', 'B119', 'B708', 'B209', 'B581', 'B157', 'B247', 'B169', 'B463']",5.0,S26,9.03,8,0,8,0.0,-5.105933,,,-5.105933,False,False,,,,,,,,0.195766,0.136362,,,,,0.13554,0.109809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
