seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
44,7,4,0,0,0,0,0,0,0,0.0174,0.032,0,0,0,0,0,0,0,0,0,-25,-27,-28,-15,-11,-15,-15
44,7,5,0,0,0,0,0,0,0,0.0174,0.032,0,0,0,0,18,2,198,168,216,0,0,0,0,0,0,0
44,7,6,19,20,1,0,3,2,0,0.0187,0.032,0,0,2,0,30,12,194,185,224,0,0,1,0,1,0,0
44,7,7,15,29,0,0,3,1,1,0.02,0.0334,0,0,2,0,3,8,129,154,132,1,0,0,1,0,0,0
44,7,8,31,16,0,0,4,0,1,0.0214,0.0334,0,0,1,0,10,6,134,130,144,1,0,0,0,0,0,0
44,7,9,24,31,0,0,4,0,1,0.0214,0.036,0,0,1,0,6,16,178,173,184,0,1,0,0,0,0,0
44,7,10,27,35,0,0,6,0,0,0.02,0.036,1,0,0,1,6,4,192,188,198,0,0,0,0,0,0,0
44,7,11,25,11,0,0,3,0,0,0.02,0.036,0,0,0,0,5,4,207,198,212,0,0,0,0,0,0,0
44,7,12,30,30,0,0,4,1,0,0.0214,0.036,0,0,1,0,0,2,220,215,220,0,0,0,1,0,0,0
44,7,13,19,38,0,0,5,2,1,0.024,0.0374,0,0,3,0,22,0,208,218,230,0,1,0,0,0,1,1
44,7,14,38,19,0,0,3,2,0,0.0254,0.0374,1,0,2,1,27,10,375,346,402,0,0,1,0,1,0,0
44,7,15,26,41,0,0,5,0,1,0.0254,0.0387,0,0,1,0,11,1,203,232,214,1,0,0,0,0,0,0
44,7,16,15,17,0,0,2,0,1,0.024,0.0387,1,0,1,1,7,1,177,180,184,0,0,0,0,0,1,0
44,7,17,30,15,0,0,4,0,0,0.024,0.0401,0,0,0,0,1,4,131,140,132,0,0,0,0,0,0,0
44,7,18,20,31,0,0,4,1,0,0.0254,0.0401,1,0,1,1,10,2,152,149,162,0,1,0,0,0,0,0
44,7,19,23,14,1,2,4,0,0,0.0239,0.0372,0,5,0,5,0,4,106,108,106,0,0,0,0,0,0,0
44,7,20,0,0,0,0,0,0,1,0.0239,0.0372,0,0,1,0,4,0,80,89,84,0,0,0,1,0,0,0
44,7,21,0,0,0,0,0,0,0,0.0239,0.0386,0,0,0,0,1,4,83,84,84,0,0,0,0,0,0,0
44,7,22,0,0,0,0,0,0,0,0.0239,0.0386,0,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0
44,7,23,0,0,0,0,0,0,0,0.0239,0.0386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,0,0,0,0,0,0,0,0,0.0239,0.0386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,1,0,0,0,0,0,0,0,0.0239,0.0386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,2,0,0,0,0,0,0,0,0.0239,0.0386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,3,0,0,0,0,0,0,0,0.0239,0.0386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,4,0,0,0,0,0,0,0,0.0239,0.0386,0,0,0,0,3,0,27,22,30,0,0,0,0,0,0,0
44,8,5,0,0,0,0,0,0,0,0.0239,0.0386,0,0,0,0,11,8,197,170,208,0,0,0,0,0,0,0
44,8,6,15,19,1,0,3,2,2,0.0239,0.0412,2,0,4,2,19,7,191,192,210,0,0,2,0,0,2,0
44,8,7,20,16,0,0,3,1,0,0.0253,0.0412,0,0,1,0,11,11,113,126,124,0,0,1,0,0,0,0
44,8,8,15,30,0,0,3,0,1,0.0253,0.0412,0,0,1,0,4,6,120,117,124,0,1,0,0,0,0,0
44,8,9,31,35,0,0,4,1,0,0.0266,0.0426,0,0,1,0,6,2,154,146,160,0,0,0,0,0,1,0
44,8,10,30,15,0,0,4,0,0,0.0266,0.0426,0,0,0,0,9,1,147,142,156,0,0,0,0,0,0,0
44,8,11,29,25,0,0,5,1,0,0.0279,0.0426,0,0,1,0,1,0,199,201,200,1,0,0,0,0,0,0
44,8,12,20,20,0,0,3,0,1,0.0266,0.0439,1,0,1,1,14,0,192,194,206,1,0,0,0,0,0,0
