seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
49,7,4,0,0,0,0,0,0,0,0.0133,0.0226,0,0,0,0,0,0,0,0,0,-25,-20,-24,-26,-10,-18,-12
49,7,5,0,0,0,0,0,1,2,0.0133,0.0253,0,0,3,0,8,3,182,156,190,0,0,0,3,0,0,0
49,7,6,18,12,1,0,3,1,2,0.016,0.0279,0,0,3,0,6,1,180,185,186,0,0,2,1,0,0,0
49,7,7,32,33,0,0,4,1,0,0.0173,0.0279,0,0,1,0,6,11,144,124,150,0,0,0,1,0,0,0
49,7,8,16,33,0,0,3,0,1,0.0173,0.0293,0,0,1,0,5,5,107,127,112,1,0,0,0,0,0,0
49,7,9,34,16,0,0,3,1,0,0.0173,0.0293,0,0,1,0,6,4,138,137,144,0,1,0,0,0,0,0
49,7,10,34,33,0,0,5,1,0,0.0186,0.0293,0,0,1,0,11,1,195,170,206,0,0,0,0,1,0,0
49,7,11,18,37,0,0,3,2,1,0.0226,0.0306,0,0,3,0,17,2,173,192,190,1,0,0,1,0,1,0
49,7,12,27,11,0,0,3,0,1,0.0213,0.0306,1,0,1,1,4,2,212,206,216,1,0,0,0,0,0,0
49,7,13,36,34,0,0,4,0,0,0.0213,0.0319,0,0,0,0,14,13,218,212,232,0,0,0,0,0,0,0
49,7,14,32,31,0,0,4,1,1,0.0213,0.0319,0,0,2,0,17,11,439,416,456,1,0,1,0,0,0,0
49,7,15,20,36,0,0,3,0,0,0.0226,0.0332,0,0,0,0,35,5,223,247,258,0,0,0,0,0,0,0
49,7,16,31,17,0,0,3,0,0,0.0226,0.0332,0,0,0,0,26,11,156,173,182,0,0,0,0,0,0,0
49,7,17,27,29,0,0,5,0,1,0.0226,0.0332,0,0,1,0,11,12,157,149,168,0,1,0,0,0,0,0
49,7,18,23,25,0,0,4,0,0,0.0213,0.0346,1,0,0,1,7,10,181,180,188,0,0,0,0,0,0,0
49,7,19,15,13,1,0,3,0,0,0.0211,0.0343,0,5,0,5,3,2,67,89,70,0,0,0,0,0,0,0
49,7,20,0,0,0,0,0,0,0,0.0211,0.0343,0,0,0,0,5,4,113,102,118,0,0,0,0,0,0,0
49,7,21,0,0,0,0,0,1,0,0.0225,0.0343,0,0,1,0,3,0,63,74,66,0,0,1,0,0,0,0
49,7,22,0,0,0,0,0,0,0,0.0225,0.0343,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
49,7,23,0,0,0,0,0,0,0,0.0225,0.0343,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,8,0,0,0,0,0,0,0,0,0.0225,0.0343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,8,1,0,0,0,0,0,0,0,0.0225,0.0343,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0
49,8,2,0,0,0,0,0,0,0,0.0225,0.0343,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
49,8,3,0,0,0,0,0,0,0,0.0225,0.0343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,8,4,0,0,0,0,0,0,0,0.0225,0.0343,0,0,0,0,0,0,20,16,20,0,0,0,0,0,0,0
49,8,5,0,0,0,0,0,0,1,0.0225,0.0357,0,0,1,0,13,3,247,211,260,0,0,0,0,1,0,0
49,8,6,20,20,1,0,3,0,1,0.0225,0.037,0,0,1,0,23,18,175,182,198,1,0,0,0,0,0,0
49,8,7,16,30,0,0,3,0,0,0.0225,0.037,0,0,0,0,13,3,127,137,140,0,0,0,0,0,0,0
49,8,8,20,21,0,0,3,1,1,0.0225,0.0383,1,0,2,1,9,0,133,139,142,0,0,0,1,0,1,0
49,8,9,33,21,0,0,4,0,1,0.0225,0.0396,0,0,1,0,10,1,150,148,160,0,0,0,0,0,1,0
49,8,10,14,30,0,0,4,0,0,0.0211,0.0396,1,0,0,1,8,0,122,112,130,0,0,0,0,0,0,0
49,8,11,32,14,0,0,3,1,1,0.0211,0.041,0,0,2,0,5,0,197,192,202,0,0,0,1,0,0,1
49,8,12,17,17,0,0,2,1,2,0.0238,0.0436,0,0,3,0,12,5,214,214,226,0,2,1,0,0,0,0
49,8,13,19,34,0,0,4,1,3,0.0251,0.0449,0,0,4,0,19,2,311,292,330,2,0,1,0,1,0,0
49,8,14,13,17,0,0,2,1,2,0.0264,0.0489,0,0,3,0,31,19,351,334,382,0,1,0,0,1,0,1
49,8,15,31,15,0,0,3,0,0,0.0264,0.0502,0,0,0,0,6,17,194,232,200,0,0,0,0,0,0,0
49,8,16,34,34,0,0,5,0,0,0.0264,0.0502,0,0,0,0,8,8,202,200,210,0,0,0,0,0,0,0
49,8,17,14,25,0,0,3,0,0,0.0264,0.0502,0,0,0,0,9,18,165,165,174,0,0,0,0,0,0,0
49,8,18,30,16,0,0,3,0,1,0.0251,0.0515,1,0,1,1,7,3,157,166,164,0,0,0,1,0,0,0
49,8,19,15,32,1,1,4,0,0,0.0248,0.0496,0,10,0,10,1,0,77,82,78,0,0,0,0,0,0,0
49,8,20,0,0,0,0,0,0,0,0.0248,0.0496,0,0,0,0,4,2,84,92,88,0,0,0,0,0,0,0
49,8,21,0,0,0,0,0,0,0,0.0248,0.0496,0,0,0,0,0,1,40,48,40,0,0,0,0,0,0,0
49,8,22,0,0,0,0,0,0,0,0.0248,0.0496,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
49,8,23,0,0,0,0,0,0,0,0.0248,0.0496,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,9,0,0,0,0,0,0,0,0,0.0248,0.0496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,9,1,0,0,0,0,0,0,0,0.0248,0.0496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,9,2,0,0,0,0,0,0,0,0.0248,0.0496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,9,3,0,0,0,0,0,0,0,0.0248,0.0496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,9,4,0,0,0,0,0,1,0,0.0261,0.0496,0,0,1,0,0,1,28,23,28,0,0,0,0,1,0,0
49,9,5,0,0,0,0,0,2,2,0.0274,0.0509,0,0,4,0,30,6,148,136,178,2,0,0,1,0,0,1
49,9,6,20,12,1,0,3,0,0,0.0287,0.0509,0,0,0,0,48,4,164,145,212,0,0,0,0,0,0,0
49,9,7,16,36,0,0,3,0,1,0.0287,0.0522,0,0,1,0,28,2,138,142,166,0,0,0,0,0,1,0
49,9,8,26,26,0,0,4,0,0,0.0287,0.0522,0,0,0,0,16,5,112,118,128,0,0,0,0,0,0,0
49,9,9,33,14,0,0,3,2,1,0.03,0.0535,0,0,3,0,12,1,110,113,122,0,0,2,0,1,0,0
49,9,10,30,30,0,0,4,0,2,0.03,0.0548,1,0,2,1,7,2,199,186,206,1,0,0,0,1,0,0
49,9,11,14,33,0,0,4,0,3,0.03,0.0587,0,0,3,0,8,1,170,176,178,0,1,0,1,1,0,0
49,9,12,28,28,0,0,4,1,0,0.0313,0.0601,0,0,1,0,9,0,231,217,240,0,0,0,1,0,0,0
49,9,13,21,21,0,0,4,2,1,0.0339,0.0614,0,0,3,0,17,1,267,270,284,1,0,1,1,0,0,0
49,9,14,22,22,0,0,4,1,0,0.0352,0.0614,0,0,1,0,7,0,363,334,370,0,0,0,1,0,0,0
