seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
42,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251,0.0303
42,7,5,5,335,337,2,2,191,80,3152,2961,2957,8,10,18,2,6,8,0.0328,0.0407
42,8,5,5,305,324,2,3,220,121,3132,2912,2911,12,5,17,7,4,11,0.0393,0.0433
42,9,5,5,322,329,2,5,125,88,3188,3063,3064,11,13,24,8,5,13,0.0433,0.0537
42,10,5,5,306,296,2,7,175,81,3532,3357,3360,13,10,23,12,0,12,0.045,0.0582
42,11,5,5,270,288,2,8,144,73,2998,2854,2858,9,12,21,9,5,14,0.0438,0.0637
42,12,5,5,311,306,2,8,67,42,2352,2285,2285,11,13,24,9,7,16,0.0465,0.0705
42,13,5,5,283,303,3,11,63,35,1690,1627,1625,12,9,21,11,16,27,0.0476,0.0674
42,14,5,5,346,339,2,5,270,121,3220,2950,2950,17,6,23,13,0,13,0.0532,0.0691
42,15,5,5,321,329,2,6,177,110,3014,2837,2838,8,18,26,8,11,19,0.0528,0.0845
42,16,5,5,360,365,2,5,177,75,3212,3035,3033,7,6,13,10,7,17,0.0487,0.0856
42,17,5,5,305,314,2,9,153,122,3458,3305,3306,14,14,28,8,9,17,0.0567,0.0922
42,18,5,5,308,328,3,7,165,107,3028,2863,2865,11,9,20,9,9,18,0.0591,0.0946
42,19,5,5,313,321,2,8,118,31,2374,2256,2258,8,9,17,5,7,12,0.0632,0.0961
42,20,5,5,269,267,2,10,59,68,1616,1557,1552,7,4,11,8,0,8,0.0627,0.0893
42,21,5,5,283,301,2,12,239,84,3058,2819,2816,7,11,18,13,18,31,0.0542,0.0873
42,22,5,5,283,293,2,10,197,73,3120,2923,2928,12,10,22,16,12,28,0.0488,0.0871
42,23,5,5,292,302,2,8,277,77,3292,3015,3012,10,10,20,7,0,7,0.0533,0.0907
42,24,5,5,287,299,2,9,216,67,3350,3134,3137,7,4,11,10,18,28,0.0487,0.083
42,25,5,5,315,313,2,10,236,67,3178,2942,2940,7,12,19,7,0,7,0.0494,0.0868
42,26,5,5,272,282,2,11,82,43,2434,2352,2355,11,7,18,8,19,27,0.0515,0.0806
42,27,5,5,305,324,2,8,68,37,1694,1626,1620,5,2,7,6,11,17,0.05,0.0724
