seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
44,7,4,0,0,0,0,0,0,0,0.0174,0.032,0,0,0,0,0,0,0,0,0,-25,-27,-28,-15,-11,-15,-15
44,7,5,0,0,0,0,0,0,0,0.0174,0.032,0,0,0,0,18,2,198,168,216,0,0,0,0,0,0,0
44,7,6,16,20,1,0,3,3,0,0.02,0.032,0,0,3,0,33,4,191,186,224,0,0,2,0,1,0,0
44,7,7,25,25,0,0,4,0,1,0.0214,0.0334,0,0,1,0,3,5,129,150,132,0,0,0,1,0,0,0
44,7,8,16,32,0,0,3,0,1,0.0214,0.0347,0,0,1,0,13,4,131,137,144,1,0,0,0,0,0,0
44,7,9,28,14,0,0,3,0,0,0.0187,0.0347,2,0,0,2,7,3,177,165,184,0,0,0,0,0,0,0
44,7,10,26,31,0,0,5,0,0,0.0187,0.0347,0,0,0,0,5,3,193,186,198,0,0,0,0,0,0,0
44,7,11,18,27,0,0,4,1,0,0.0187,0.0347,1,0,1,1,12,1,200,193,212,1,0,0,0,0,0,0
44,7,12,29,18,0,0,4,0,0,0.0187,0.0347,0,0,0,0,10,1,210,213,220,0,0,0,0,0,0,0
44,7,13,29,22,0,0,5,0,3,0.0187,0.0374,0,0,3,0,11,0,219,216,230,1,0,1,0,0,0,1
44,7,14,12,30,0,0,3,3,0,0.0214,0.0387,0,0,3,0,21,0,381,356,402,0,1,0,1,1,0,0
44,7,15,20,20,0,0,4,0,1,0.0214,0.0401,1,0,1,1,6,1,208,230,214,1,0,0,0,0,0,0
44,7,16,25,25,0,0,4,0,2,0.0214,0.0414,0,0,2,0,11,0,173,190,184,0,1,0,0,0,1,0
44,7,17,30,12,0,0,4,0,2,0.0214,0.0454,0,0,2,0,6,0,126,126,132,0,1,0,0,1,0,0
44,7,18,18,33,0,0,3,0,1,0.0214,0.0467,0,0,1,0,3,1,159,153,162,0,0,0,0,0,1,0
44,7,19,28,15,1,2,5,0,0,0.0214,0.0441,0,2,0,2,0,7,106,109,106,0,0,0,0,0,0,0
44,7,20,0,0,0,0,0,1,0,0.0214,0.0441,0,0,1,0,1,2,83,91,84,1,0,0,0,0,0,0
44,7,21,0,0,0,0,0,0,0,0.0227,0.0441,0,0,0,0,1,8,83,86,84,0,0,0,0,0,0,0
44,7,22,0,0,0,0,0,0,0,0.0227,0.0441,0,0,0,0,0,2,0,18,0,0,0,0,0,0,0,0
44,7,23,0,0,0,0,0,0,0,0.0227,0.0441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,0,0,0,0,0,0,0,0,0.0227,0.0441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,1,0,0,0,0,0,0,0,0.0227,0.0441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,2,0,0,0,0,0,0,0,0.0227,0.0441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,3,0,0,0,0,0,0,0,0.0227,0.0441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,4,0,0,0,0,0,0,0,0.0227,0.0441,0,0,0,0,1,0,29,24,30,0,0,0,0,0,0,0
44,8,5,0,0,0,0,0,0,0,0.0227,0.0441,0,0,0,0,20,8,188,152,208,0,0,0,0,0,0,0
44,8,6,0,18,1,0,2,1,2,0.024,0.0454,0,0,3,0,18,13,192,199,210,0,0,2,0,0,0,1
44,8,7,33,35,0,0,4,0,1,0.024,0.0481,0,0,1,0,3,15,121,132,124,1,0,0,0,0,0,0
44,8,8,31,11,0,0,4,1,1,0.024,0.0494,1,0,2,1,0,2,124,127,124,0,0,1,1,0,0,0
44,8,9,22,30,0,0,4,0,0,0.024,0.0494,0,0,0,0,7,3,153,148,160,0,0,0,0,0,0,0
44,8,10,23,23,0,0,4,0,0,0.0227,0.0494,1,0,0,1,6,2,150,146,156,0,0,0,0,0,0,0
44,8,11,25,23,0,0,4,0,0,0.0214,0.0494,2,0,0,2,3,5,197,186,200,0,0,0,0,0,0,0
44,8,12,20,34,0,0,3,1,0,0.02,0.0494,0,0,1,0,16,9,190,190,206,0,0,0,0,0,0,1
