seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
49,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133,0.0226
49,7,5,5,327,337,2,3,159,91,3154,2995,2993,11,12,23,3,10,13,0.0237,0.0343
49,8,5,5,286,298,2,6,152,105,3152,3000,2999,11,11,22,14,8,22,0.0197,0.0407
49,9,5,5,300,321,2,4,195,68,3244,3049,3039,9,11,20,9,6,15,0.0197,0.0498
49,10,5,5,324,322,2,5,102,75,3392,3290,3300,12,15,27,7,0,7,0.0264,0.062
49,11,5,5,290,311,2,4,128,108,3074,2946,2945,16,16,32,8,4,12,0.0369,0.0778
49,12,5,5,300,314,2,9,43,12,2278,2235,2239,5,8,13,10,9,19,0.0303,0.0765
49,13,5,5,273,283,2,6,35,14,1652,1617,1615,2,5,7,9,0,9,0.0199,0.0758
49,14,5,5,304,315,2,2,208,42,3080,2872,2871,15,6,21,8,9,17,0.029,0.0804
49,15,5,5,287,298,2,5,126,92,3026,2900,2904,7,7,14,10,8,18,0.0249,0.0827
49,16,5,5,336,330,2,4,174,58,3116,2942,2941,9,12,21,8,5,13,0.0262,0.0931
49,17,5,5,293,319,2,9,136,86,3386,3250,3248,9,17,26,6,0,6,0.0305,0.1048
49,18,5,5,260,278,2,14,196,63,3094,2898,2896,12,14,26,9,4,13,0.0349,0.1062
49,19,5,5,290,303,2,7,61,28,2326,2265,2266,11,4,15,9,9,18,0.0375,0.1019
49,20,5,5,225,257,2,15,61,32,1640,1579,1579,7,6,13,11,14,25,0.0322,0.0899
49,21,5,5,310,320,2,3,191,117,3014,2823,2820,16,9,25,11,7,18,0.0387,0.0975
49,22,5,5,286,303,2,11,207,52,3120,2913,2912,7,10,17,13,15,28,0.0305,0.0956
49,23,5,5,289,297,2,6,218,91,3168,2950,2952,16,16,32,11,3,14,0.0373,0.1093
49,24,5,5,268,288,1,0,221,58,3292,3071,3071,11,12,23,14,10,24,0.0329,0.1237
49,25,5,5,292,319,2,20,213,118,3060,2847,2852,14,10,24,8,7,15,0.0415,0.1124
49,26,5,5,274,274,2,10,82,28,2228,2146,2147,8,13,21,14,10,24,0.0335,0.1165
49,27,5,5,257,278,2,9,42,37,1652,1610,1606,7,6,13,14,12,26,0.024,0.112
