seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
43,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239,0.0305
43,7,5,5,312,323,2,4,211,63,3014,2803,2804,6,9,15,4,11,15,0.0263,0.0368
43,8,5,5,307,316,2,3,237,130,3138,2901,2900,12,12,24,3,6,9,0.0354,0.0485
43,9,5,5,299,310,2,1,185,89,3148,2963,2963,12,11,23,9,0,9,0.0394,0.0617
43,10,5,5,281,296,2,6,169,75,3470,3301,3307,10,14,24,12,3,15,0.0369,0.0725
43,11,5,5,300,301,2,8,156,52,3178,3022,3020,13,5,18,10,7,17,0.0409,0.0686
43,12,5,5,313,315,1,0,91,47,2370,2279,2282,10,7,17,17,0,17,0.0317,0.0778
43,13,5,5,268,285,2,7,44,50,1692,1648,1642,10,4,14,9,8,17,0.0329,0.0738
43,14,5,5,305,313,2,4,146,58,3030,2884,2881,14,8,22,9,3,12,0.0396,0.0792
43,15,5,5,307,318,2,7,150,85,2938,2788,2795,7,10,17,11,8,19,0.0343,0.083
43,16,5,5,292,301,2,6,215,55,3262,3047,3045,13,16,29,14,0,14,0.0332,0.0969
43,17,5,5,300,316,2,8,192,51,3470,3278,3273,11,10,21,11,13,24,0.033,0.0989
43,18,5,5,305,326,2,4,247,113,3142,2895,2897,6,5,11,5,8,13,0.0341,0.0997
43,19,5,5,281,307,2,16,78,69,2326,2248,2255,9,13,22,16,4,20,0.0253,0.0973
43,20,5,5,219,231,2,14,27,19,1720,1693,1686,1,6,7,5,0,5,0.0204,0.0883
43,21,5,5,279,305,2,8,190,84,3236,3046,3047,13,6,19,10,16,26,0.0228,0.0847
43,22,5,5,309,328,2,2,162,82,3076,2914,2915,12,8,20,8,14,22,0.0278,0.0913
43,23,5,5,313,314,2,5,230,88,3268,3038,3038,18,15,33,8,10,18,0.0407,0.1038
43,24,5,5,275,298,2,8,169,91,3372,3203,3206,15,11,26,13,5,18,0.0435,0.1082
43,25,5,5,335,348,2,8,217,121,3304,3087,3082,14,9,23,8,8,16,0.0515,0.1095
43,26,5,5,274,287,2,12,63,43,2308,2245,2250,7,10,17,9,0,9,0.0496,0.1086
43,27,5,5,155,182,2,16,41,39,1610,1569,1563,6,12,18,22,8,30,0.0285,0.1043
