seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
42,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251,0.0303
42,7,5,5,343,362,2,1,196,94,3152,2956,2953,8,12,20,5,10,15,0.0274,0.0443
42,8,5,5,293,300,2,8,179,84,3132,2953,2956,10,14,24,6,1,7,0.0342,0.0526
42,9,5,5,309,327,2,8,116,95,3188,3072,3069,14,9,23,7,0,7,0.0426,0.0545
42,10,5,5,306,311,2,2,191,54,3532,3341,3342,14,8,22,13,16,29,0.0444,0.0614
42,11,5,5,312,314,2,0,105,54,2998,2893,2897,11,9,20,12,2,14,0.0417,0.0729
42,12,5,5,257,272,2,11,57,15,2352,2295,2294,10,12,22,8,0,8,0.0449,0.0753
42,13,5,5,267,287,2,11,72,46,1690,1618,1618,9,6,15,14,0,14,0.0389,0.0697
42,14,5,5,327,326,2,4,261,70,3220,2959,2961,8,13,21,11,11,22,0.0345,0.081
42,15,5,5,253,284,2,11,158,36,3014,2856,2855,13,18,31,11,11,22,0.0359,0.0903
42,16,5,5,312,325,2,5,190,75,3212,3022,3017,10,8,18,5,15,20,0.0419,0.0931
42,17,5,5,306,328,2,8,223,58,3458,3235,3240,13,14,27,7,0,7,0.0503,0.102
42,18,5,5,291,302,2,7,178,49,3028,2850,2851,12,10,22,12,13,25,0.0499,0.1051
42,19,5,5,287,308,2,12,116,48,2374,2258,2257,7,9,16,16,0,16,0.0387,0.1028
42,20,5,5,233,244,2,12,33,25,1616,1583,1577,5,3,8,11,7,18,0.0309,0.0914
42,21,5,5,310,343,2,13,148,99,3058,2910,2911,10,11,21,11,24,35,0.0291,0.0874
42,22,5,5,280,296,2,12,164,45,3120,2956,2958,15,11,26,7,0,7,0.0404,0.0875
42,23,5,5,291,314,2,3,206,38,3292,3086,3088,12,5,17,10,13,23,0.0425,0.089
42,24,5,5,343,351,2,6,192,72,3350,3158,3161,3,8,11,7,15,22,0.0367,0.0906
42,25,5,5,303,323,2,13,193,28,3178,2985,2985,7,8,15,1,0,1,0.0454,0.0854
42,26,5,5,302,325,2,10,85,43,2434,2349,2349,11,11,22,8,19,27,0.0488,0.0858
42,27,5,5,275,293,2,5,40,39,1694,1654,1651,10,7,17,11,10,21,0.0459,0.0878
