seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
45,7,4,0,0,0,0,0,0,0,0.0303,0.0408,0,0,0,0,0,0,0,0,0,-27,-23,-22,-18,-12,-14,-17
45,7,5,0,0,0,0,0,0,0,0.0303,0.0422,0,0,0,0,21,5,193,171,214,0,0,0,0,0,0,0
45,7,6,20,20,1,0,3,3,1,0.0316,0.0435,0,0,4,0,18,9,168,162,186,0,1,2,1,0,0,0
45,7,7,19,34,0,0,4,0,0,0.0329,0.0435,1,0,0,1,3,6,119,133,122,0,0,0,0,0,0,0
45,7,8,25,30,0,0,4,0,0,0.0329,0.0435,0,0,0,0,6,2,122,121,128,0,0,0,0,0,0,0
45,7,9,29,16,0,0,3,0,1,0.0316,0.0448,1,0,1,1,5,5,155,154,160,0,0,0,0,1,0,0
45,7,10,30,26,0,0,4,0,2,0.0316,0.0461,0,0,2,0,6,3,180,170,186,1,0,0,1,0,0,0
45,7,11,18,16,0,0,2,1,1,0.0329,0.0487,0,0,2,0,7,3,181,186,188,0,0,2,0,0,0,0
45,7,12,25,29,0,0,4,0,1,0.0329,0.0487,0,0,1,0,3,1,203,190,206,0,0,0,0,0,1,0
45,7,13,12,27,0,0,3,0,1,0.0316,0.0514,1,0,1,1,20,2,228,225,248,0,0,0,1,0,0,0
45,7,14,36,19,0,0,3,1,3,0.0329,0.054,0,0,4,0,63,5,353,326,416,0,0,0,0,2,1,1
45,7,15,13,30,0,0,3,0,0,0.0329,0.0553,0,0,0,0,16,7,194,222,210,0,0,0,0,0,0,0
45,7,16,28,23,0,0,4,1,0,0.0329,0.0553,1,0,1,1,10,2,184,182,194,0,0,0,0,1,0,0
45,7,17,19,14,0,0,3,0,0,0.0316,0.0553,1,0,0,1,5,4,161,168,166,0,0,0,0,0,0,0
45,7,18,21,31,0,0,6,0,0,0.0316,0.0553,1,0,0,1,0,4,136,147,136,0,0,0,0,0,0,0
45,7,19,22,14,1,5,4,1,0,0.0315,0.0486,0,7,1,7,6,2,92,96,98,0,0,0,0,1,0,0
45,7,20,0,0,0,0,0,0,0,0.0315,0.0486,0,0,0,0,0,1,82,86,82,0,0,0,0,0,0,0
45,7,21,0,0,0,0,0,0,0,0.0315,0.0486,0,0,0,0,11,3,69,68,80,0,0,0,0,0,0,0
