seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
42,7,4,0,0,0,0,0,0,0,0.0251,0.0303,0,0,0,0,0,0,0,0,0,-24,-20,-24,-16,-14,-17,-9
42,7,5,0,0,0,0,0,1,0,0.0264,0.0303,0,0,1,0,25,1,187,154,212,1,0,0,0,0,0,0
42,7,6,20,20,1,0,3,0,0,0.0262,0.0302,0,4,0,4,23,0,187,186,210,0,0,0,0,0,0,0
42,7,7,33,34,0,0,4,0,0,0.0262,0.0302,0,0,0,0,14,3,104,122,118,0,0,0,0,0,0,0
42,7,8,22,23,0,0,4,0,1,0.0249,0.0315,1,0,1,1,7,1,123,119,130,0,0,0,0,0,0,1
42,7,9,14,18,0,0,3,1,0,0.0249,0.0315,0,0,1,0,6,1,140,139,146,0,0,1,0,0,0,0
42,7,10,17,31,0,0,3,0,1,0.0249,0.0328,1,0,1,1,8,1,192,187,200,0,0,0,0,0,1,0
42,7,11,30,30,0,0,5,0,0,0.0249,0.0328,0,0,0,0,2,0,158,159,160,0,0,0,0,0,0,0
42,7,12,25,24,0,0,5,1,0,0.0249,0.0328,1,0,1,1,3,0,233,218,236,1,0,0,0,0,0,0
42,7,13,20,21,0,0,4,1,1,0.0249,0.0341,0,0,2,0,5,5,249,242,254,0,0,0,2,0,0,0
42,7,14,23,10,0,0,3,1,4,0.0276,0.0394,0,0,5,0,35,5,403,380,438,2,1,0,1,0,1,0
42,7,15,18,31,0,0,3,0,0,0.0276,0.0394,0,0,0,0,20,5,208,243,228,0,0,0,0,0,0,0
42,7,16,28,28,0,0,4,2,0,0.0302,0.0394,0,0,2,0,11,2,197,205,208,0,0,1,0,0,0,1
42,7,17,27,27,0,0,4,1,1,0.0302,0.0407,2,0,2,2,7,15,159,170,166,0,0,1,0,0,0,1
42,7,18,16,16,0,0,3,0,1,0.0289,0.042,0,0,1,0,9,5,149,145,158,1,0,0,0,0,0,0
42,7,19,26,14,1,4,4,1,1,0.0262,0.0367,3,4,2,7,1,0,103,108,104,2,0,0,0,0,0,0
42,7,20,0,0,0,0,0,0,0,0.0262,0.0381,0,0,0,0,1,7,65,73,66,0,0,0,0,0,0,0
42,7,21,0,0,0,0,0,0,0,0.0262,0.0381,0,0,0,0,0,12,78,76,78,0,0,0,0,0,0,0
42,7,22,0,0,0,0,0,0,0,0.0262,0.0381,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
42,7,23,0,0,0,0,0,0,0,0.0262,0.0381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,8,0,0,0,0,0,0,0,0,0.0262,0.0381,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,8,1,0,0,0,0,0,0,0,0.0262,0.0381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,8,2,0,0,0,0,0,0,0,0.0262,0.0381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,8,3,0,0,0,0,0,0,0,0.0262,0.0381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,8,4,0,0,0,0,0,1,0,0.0276,0.0381,0,0,1,0,0,1,40,33,40,1,0,0,0,0,0,0
42,8,5,0,0,0,0,0,0,1,0.0276,0.0394,0,0,1,0,32,8,208,169,240,0,1,0,0,0,0,0
